crime_multiplier,violent_only_delta_pct_points,property_only_delta_pct_points,combined_delta_pct_points
0.7,-0.0031,0.0004,-0.0027
0.7333,-0.0027,0.0007,-0.002
0.7667,-0.0024,0.0008,-0.0016
0.8,-0.002,0.0008,-0.0013
0.8333,-0.0008,0.0003,-0.0005
0.8667,-0.0006,0.0002,-0.0003
0.9,-0.0003,0.0003,0.0
0.9333,-0.0002,0.0001,-0.0001
0.9667,-0.0003,-0.0001,-0.0004
1.0,0.0,0.0,-0.0
1.0333,0.0003,-0.0001,0.0001
1.0667,0.0002,-0.0002,0.0001
1.1,-0.0,-0.0006,-0.0006
1.1333,-0.0004,-0.0011,-0.0015
1.1667,0.0004,-0.0011,-0.0007
1.2,0.0002,-0.0004,-0.0002
1.2333,-0.0,-0.0005,-0.0005
1.2667,-0.0004,-0.0011,-0.0016
1.3,-0.0011,-0.0035,-0.0046
1.3333,-0.0011,-0.0071,-0.0083
1.3667,-0.0013,-0.0078,-0.0091
1.4,-0.0021,-0.0087,-0.0109
1.4333,-0.0028,-0.0106,-0.0134
1.4667,-0.0033,-0.0134,-0.0167
1.5,-0.0035,-0.0139,-0.0174
