year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,murder,robbery,burglary,larceny / theft,total,murder_rate,robbery_rate,burglary_rate,target_pop_change,lag_violent_crime_rate,lag_property_crime_rate,lag_pop_change_1,lag_pop_change_2,income_growth,per_capita_income_inv,split,vulnerability_index,vulnerability_score_0_1,kmeans_cluster_4,kmeans_cluster_3,hier_cluster_4,hier_cluster_3,typology_label,net_migration_proxy
2024,Adjuntas,72001,17960,0,15305,121,7937,313,20.3,0,40.5,0,19549,20352.27,1426,313.7,13401,70.3,4281,482.3121396,17.9,2394,42,44.0,0.0,4.9,1.7,60.89,20.26,9682,30.24,17.07,23.22,20.72,9.34,99.64,15.03,4.81,0.0,2.27,11.42,56,0.31,18.1627,-66.7222,0.0,4.4,0.0,2.0,7.0,21.0,48.0,0.0,0.111358574610245,0.3897550111358575,-0.0834492350486826,0.1668984700973574,0.8344923504867872,0.0166926329846495,-0.5313261013947357,2.0609499184857105,-9682,test,-0.6624504204921471,1.0,0,1,1,1,Disaster-exposed,
2024,Aguada,72003,37758,0,33010,147,17824,465,5.0,0,38.8,0,21501,22384.47,1777,313.7,29032,70.7,7158,771.1841544,23.4,6799,162,93.0,0.0,5.1,1.5,46.53,5.05,13065,29.52,14.98,23.39,28.22,8.95,98.42,28.37,2.65,0.27,2.34,12.5,220,0.58,18.3605,-67.1882,0.0,0.0,3.0,7.0,7.0,51.0,148.0,0.0794533608771651,0.1853911753800519,0.1853911753800519,-0.3851836217813376,0.1319121992401857,0.4221190375685943,-0.2473814411284802,-0.8066410838750149,-3.731611915457278,-13065,test,-2.5712198769657544,0.7801437857542288,2,1,3,2,Disaster-exposed,
2024,Aguadilla,72005,54137,0,46599,158,28777,626,14.8,0,41.3,0,21540,22425.08,1608,313.7,40332,78.4,12475,769.0838706,28.1,11328,526,164.0,0.0,4.6,1.1,44.84,14.78,15387,21.83,16.34,24.7,24.73,13.28,98.99,34.01,11.49,0.05,1.55,14.91,944,1.74,18.4275,-67.1541,0.0,4.0,6.0,13.0,24.0,106.0,277.0,0.110829931470159,0.2401315181853446,0.4433197258806362,-0.640531512682152,0.2202400616672172,1.027786954447014,-0.4858270017533583,-0.8852120707445565,5.5298875575412465,-15387,test,-3.391186791604657,0.685698214526184,0,1,1,1,Disaster-exposed,
2024,Aguas Buenas,72007,23614,0,20425,136,10959,307,5.0,0,44.5,0,23072,24020.03,2719,313.7,17691,77.8,5897,573.8379562,22.3,3941,151,159.0,0.0,3.2,1.3,45.45,5.0,15546,22.6,15.88,23.32,28.41,13.18,99.94,16.38,2.94,0.0,2.96,13.56,148,0.63,18.2572,-66.1031,0.0,0.0,0.0,5.0,13.0,18.0,68.0,0.0,0.2117387990175319,0.5505208774455831,-1.147019423978568,0.4186202277294039,0.2930341594105827,-1.027510772290352,-1.7543859649122862,0.2210116718529331,-15546,test,-3.0304358357618053,0.7272502936251872,2,1,3,2,Disaster-exposed,
2024,Aibonito,72009,24636,0,21516,69,10919,375,6.8,0,37.8,0,21744,22637.46,1546,313.7,18823,78.6,6935,498.2248488,23.5,4417,340,176.0,0.0,2.6,0.9,46.58,6.79,14094,21.86,15.7,25.3,36.06,11.05,99.73,32.97,5.71,0.0,1.73,15.8,59,0.24,18.1408,-66.2663,0.0,0.0,1.0,1.0,15.0,10.0,54.0,0.0405910050332846,0.0405910050332846,0.6088650754992694,0.1056481105241813,0.2438033319788703,0.5282405526208858,0.2239869680309425,-0.0407083248524342,-2.733269770585467,-14094,test,-2.818050478804267,0.751713300607805,2,1,3,2,Disaster-exposed,
2024,Arecibo,72013,86467,0,74609,272,43237,932,14.5,0,43.0,0,23635,24606.16,1228,313.7,65020,81.8,18815,1071.004202,27.9,18131,850,287.0,0.0,6.1,0.9,41.25,14.45,15244,18.34,15.86,24.18,20.57,12.77,99.69,27.95,5.68,0.41,1.49,12.83,1955,2.26,18.4724,-66.7157,0.0,0.0,12.0,26.0,90.0,128.0,407.0,0.1387812691547064,0.3006927498351972,1.0408595186602982,-0.4696402877697792,0.3338129496402878,0.874820143884892,-0.3921253883990561,-0.908915323176207,-0.9394706499964544,-15244,test,-3.624759321717098,0.6587948228943838,2,0,3,2,Disaster-exposed,
2024,Arroyo,72015,15341,0,12947,91,8385,457,7.3,0,40.1,0,21186,22056.53,2219,313.7,11236,80.6,3398,450.6273405,25.4,2850,60,55.0,0.0,5.1,1.8,52.14,7.31,14862,20.22,18.03,23.06,24.46,19.25,99.82,20.92,2.49,0.13,3.64,12.69,59,0.38,17.9658,-66.0614,0.0,0.0,2.0,5.0,8.0,11.0,78.0,0.1303695978097907,0.3259239945244768,0.5214783912391631,-1.4897579143389184,0.7063507352469017,0.642137032042638,-1.4179907577388071,-2.3852190570351595,8.702656882216964,-14862,test,-1.9210677046011029,0.8550297259158205,2,0,3,2,High vulnerability decline,
2024,Añasco,72011,25094,0,21965,117,12640,403,6.1,0,46.5,0,24436,25440.07,1376,313.7,19178,74.6,5530,649.8530603,22.4,4294,64,60.0,0.0,5.6,1.8,42.95,6.14,14759,25.86,15.1,23.75,24.73,11.84,98.53,26.48,3.29,0.62,1.41,9.1,177,0.71,18.2827,-67.1399,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8769157844841224,0.2370042660767893,0.1975035550639911,-0.7098874377377773,-1.3998994547352983,0.6116968685486501,-14759,test,-3.3581261566713523,0.6895062103071026,0,1,1,1,Disaster-exposed,
2024,Barceloneta,72017,22494,0,19349,118,10798,424,10.9,0,48.1,0,24508,25515.03,3531,313.7,16712,79.5,5157,557.2880763,24.8,4137,191,138.0,0.0,5.2,1.7,41.95,10.88,16031,21.05,16.49,21.86,20.57,14.64,99.69,22.79,4.82,0.45,1.77,8.77,40,0.18,18.4505,-66.5385,0.0,0.0,7.0,8.0,43.0,144.0,250.0,0.311194096203432,0.3556503956610651,1.9116208766782257,-0.3146465765566097,0.5761134500332373,1.5510746731664082,-0.1725358343655947,-1.0159397442634388,9.449399176481643,-16031,test,-3.1894733372307473,0.7089320085764179,2,0,3,2,Disaster-exposed,
2024,Barranquitas,72019,29054,0,24152,163,11843,492,12.7,0,44.9,0,23407,24368.79,2527,313.7,20825,80.3,6596,737.1465255,23.5,4890,108,86.0,0.0,2.6,1.1,48.51,12.72,14715,20.1,19.36,19.69,20.2,17.63,99.78,18.33,3.4,0.0,5.49,9.23,155,0.53,18.1861,-66.3061,0.0,0.0,0.0,4.0,24.0,27.0,124.0,0.0,0.1376746747435809,0.8260480484614855,0.2415125586530564,0.3105161468396356,0.6555340877725642,0.2941278244922074,-0.2863846525429592,2.56604621719998,-14715,test,-1.713678946013495,0.8789172138392904,2,1,3,2,Disaster-exposed,
