target_mean_wind_knots,baseline_prediction_pct,Mayagüez_scenario_prediction_pct,Mayagüez_delta_pct_points
60.0,-2.2904,-2.2366,0.0538
63.0,-2.2904,-2.2366,0.0538
66.0,-2.2904,-2.2366,0.0538
69.0,-2.2904,-2.2366,0.0538
72.0,-2.2904,-2.2366,0.0538
75.0,-2.2904,-2.2366,0.0538
78.0,-2.2904,-2.2366,0.0538
81.0,-2.2904,-2.2366,0.0538
84.0,-2.2904,-2.2366,0.0538
87.0,-2.2904,-2.2366,0.0538
90.0,-2.2904,-2.2366,0.0538
93.0,-2.2904,-2.2366,0.0538
96.0,-2.2904,-2.2366,0.0538
99.0,-2.2904,-2.2366,0.0538
102.0,-2.2904,-2.2366,0.0538
105.0,-2.2904,-2.2366,0.0538
108.0,-2.2904,-2.2366,0.0538
111.0,-2.2904,-2.2366,0.0538
114.0,-2.2904,-2.2366,0.0538
117.0,-2.2904,-2.2366,0.0538
120.0,-2.2904,-2.2366,0.0538
123.0,-2.2904,-2.2366,0.0538
126.0,-2.2904,-2.2366,0.0538
129.0,-2.2904,-2.2366,0.0538
132.0,-2.2904,-2.2366,0.0538
135.0,-2.2904,-2.2366,0.0538
138.0,-2.2904,-2.2366,0.0538
141.0,-2.2904,-2.2366,0.0538
144.0,-2.2904,-2.2366,0.0538
147.0,-2.2904,-2.2366,0.0538
150.0,-2.2904,-2.2366,0.0538
