round,specification_name,target_name,feature_set_name,model_name,n_features,train_years,test_years,test_r2,test_rmse,test_mae
Round1_TargetRedesign,baseline_original_target,target_pop_change,baseline_original_target__momentum_only,MomentumOnly_Ridge,2,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024]",-0.2861679887167248,3.2060929140992296,2.082621028318515
Round1_TargetRedesign,baseline_original_target,target_pop_change,baseline_original_target__naive_zero,NaiveZero,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024]",-0.019310980889553298,2.8541750640447536,1.7835804949887002
Round1_TargetRedesign,baseline_original_target,target_pop_change,baseline_original_target,Ridge,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024]",-0.3999785592145495,3.344937045212681,2.3749558607047
Round1_TargetRedesign,baseline_original_target,target_pop_change,baseline_original_target,Lasso,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024]",-0.35052564654775953,3.285327538427589,2.271103080508035
Round1_TargetRedesign,baseline_original_target,target_pop_change,baseline_original_target,RandomForest,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024]",-0.24691165430145956,3.1567856824380724,1.7192489656112286
Round1_TargetRedesign,baseline_original_target,target_pop_change,baseline_original_target,HistGradientBoosting,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024]",-0.36368251015572817,3.3012916344295897,1.902895419215967
Round1_TargetRedesign,forward_avg_2y,target_pop_change_2y_avg,forward_avg_2y__momentum_only,MomentumOnly_Ridge,2,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]",-1.2653480385118834,1.4570412379203608,1.0766759445805856
Round1_TargetRedesign,forward_avg_2y,target_pop_change_2y_avg,forward_avg_2y__naive_zero,NaiveZero,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]",-0.5138590610622502,1.1910969115705226,0.8287523039461079
Round1_TargetRedesign,forward_avg_2y,target_pop_change_2y_avg,forward_avg_2y,Ridge,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]",-0.5044635757596319,1.187394997858778,0.8353949046632784
Round1_TargetRedesign,forward_avg_2y,target_pop_change_2y_avg,forward_avg_2y,Lasso,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]",-0.3922715076509371,1.1422636170114413,0.7764710571717711
