target_mean_seismic_magnitude,seismic_shift,scenario_mean_prediction_pct,delta_vs_baseline_pct_points
4.5,2.7954,-1.3474,0.0216
4.625,2.9204,-1.3474,0.0216
4.75,3.0454,-1.3474,0.0216
4.875,3.1704,-1.3474,0.0216
5.0,3.2954,-1.3474,0.0216
5.125,3.4204,-1.3474,0.0216
5.25,3.5454,-1.3474,0.0216
5.375,3.6704,-1.3474,0.0216
5.5,3.7954,-1.3474,0.0216
5.625,3.9204,-1.3474,0.0216
5.75,4.0454,-1.3474,0.0216
5.875,4.1704,-1.3451,0.0239
6.0,4.2954,-1.3399,0.0292
6.125,4.4204,-1.3431,0.026
6.25,4.5454,-1.2907,0.0784
6.375,4.6704,-1.2933,0.0758
6.5,4.7954,-1.2933,0.0758
6.625,4.9204,-1.2877,0.0814
6.75,5.0454,-1.2877,0.0814
6.875,5.1704,-1.2877,0.0814
7.0,5.2954,-1.2877,0.0814
7.125,5.4204,-1.2909,0.0782
7.25,5.5454,-1.2909,0.0782
7.375,5.6704,-1.2909,0.0782
7.5,5.7954,-1.2909,0.0782
