target_mean_wind_knots,wind_multiplier,scenario_mean_prediction_pct,delta_vs_baseline_pct_points
60.0,91.7698,-1.3048,0.0035
63.0,96.3583,-1.3048,0.0035
66.0,100.9467,-1.3048,0.0035
69.0,105.5352,-1.3048,0.0035
72.0,110.1237,-1.3048,0.0035
75.0,114.7122,-1.3048,0.0035
78.0,119.3007,-1.3048,0.0035
81.0,123.8892,-1.3048,0.0035
84.0,128.4777,-1.3048,0.0035
87.0,133.0662,-1.3048,0.0035
90.0,137.6547,-1.3048,0.0035
93.0,142.2431,-1.3048,0.0035
96.0,146.8316,-1.3048,0.0035
99.0,151.4201,-1.3048,0.0035
102.0,156.0086,-1.3048,0.0035
105.0,160.5971,-1.3048,0.0035
108.0,165.1856,-1.3048,0.0035
111.0,169.7741,-1.3048,0.0035
114.0,174.3626,-1.3048,0.0035
117.0,178.9511,-1.3048,0.0035
120.0,183.5395,-1.3048,0.0035
123.0,188.128,-1.3048,0.0035
126.0,192.7165,-1.3048,0.0035
129.0,197.305,-1.3048,0.0035
132.0,201.8935,-1.3048,0.0035
135.0,206.482,-1.3048,0.0035
138.0,211.0705,-1.3048,0.0035
141.0,215.659,-1.3048,0.0035
144.0,220.2475,-1.3048,0.0035
147.0,224.8359,-1.3048,0.0035
150.0,229.4244,-1.3048,0.0035
