year,municipio,geoid,total_population,total_births_est,crude_birth_rate
2010,Adjuntas Municipio,72001,19541.0,200.0,10.23
2010,Aguada Municipio,72003,42232.0,367.0,8.69
2010,Aguadilla Municipio,72005,61965.0,633.0,10.22
2010,Aguas Buenas Municipio,72007,28827.0,164.0,5.69
2010,Aibonito Municipio,72009,26161.0,266.0,10.17
2010,Arecibo Municipio,72013,97633.0,1110.0,11.37
2010,Arroyo Municipio,72015,19607.0,195.0,9.95
2010,Añasco Municipio,72011,29254.0,174.0,5.95
2010,Barceloneta Municipio,72017,24506.0,382.0,15.59
2010,Barranquitas Municipio,72019,30272.0,386.0,12.75
2010,Bayamón Municipio,72021,212183.0,2513.0,11.84
2010,Cabo Rojo Municipio,72023,50468.0,452.0,8.96
2010,Caguas Municipio,72025,143301.0,1687.0,11.77
2010,Camuy Municipio,72027,35381.0,527.0,14.9
2010,Canóvanas Municipio,72029,47151.0,636.0,13.49
2010,Carolina Municipio,72031,179356.0,2413.0,13.45
2010,Cataño Municipio,72033,28663.0,350.0,12.21
2010,Cayey Municipio,72035,48255.0,549.0,11.38
2010,Ceiba Municipio,72037,14493.0,76.0,5.24
2010,Ciales Municipio,72039,19067.0,156.0,8.18
2010,Cidra Municipio,72041,43604.0,567.0,13.0
2010,Coamo Municipio,72043,40229.0,516.0,12.83
2010,Comerío Municipio,72045,20773.0,144.0,6.93
2010,Corozal Municipio,72047,37312.0,237.0,6.35
2010,Culebra Municipio,72049,1939.0,15.0,7.74
2010,Dorado Municipio,72051,37631.0,449.0,11.93
2010,Fajardo Municipio,72053,37875.0,493.0,13.02
2010,Florida Municipio,72054,12697.0,112.0,8.82
2010,Guayama Municipio,72057,45416.0,447.0,9.84
2010,Guayanilla Municipio,72059,21986.0,269.0,12.24
2010,Guaynabo Municipio,72061,98875.0,863.0,8.73
2010,Gurabo Municipio,72063,44073.0,500.0,11.34
2010,Guánica Municipio,72055,19990.0,196.0,9.8
2010,Hatillo Municipio,72065,41645.0,471.0,11.31
2010,Hormigueros Municipio,72067,17213.0,156.0,9.06
2010,Humacao Municipio,72069,58924.0,512.0,8.69
2010,Isabela Municipio,72071,45681.0,547.0,11.97
2010,Jayuya Municipio,72073,16865.0,196.0,11.62
2010,Juana Díaz Municipio,72075,51020.0,522.0,10.23
2010,Juncos Municipio,72077,39829.0,520.0,13.06
2010,Lajas Municipio,72079,26000.0,391.0,15.04
2010,Lares Municipio,72081,31600.0,265.0,8.39
2010,Las Marías Municipio,72083,10156.0,94.0,9.26
2010,Las Piedras Municipio,72085,38146.0,513.0,13.45
2010,Loíza Municipio,72087,30703.0,412.0,13.42
2010,Luquillo Municipio,72089,20131.0,111.0,5.51
2010,Manatí Municipio,72091,44631.0,519.0,11.63
2010,Maricao Municipio,72093,6244.0,41.0,6.57
2010,Maunabo Municipio,72095,12393.0,172.0,13.88
2010,Mayagüez Municipio,72097,91205.0,1197.0,13.12
2010,Moca Municipio,72099,40280.0,387.0,9.61
2010,Morovis Municipio,72101,32339.0,341.0,10.54
2010,Naguabo Municipio,72103,26331.0,224.0,8.51
2010,Naranjito Municipio,72105,30460.0,288.0,9.46
2010,Orocovis Municipio,72107,23646.0,282.0,11.93
2010,Patillas Municipio,72109,19552.0,193.0,9.87
2010,Peñuelas Municipio,72111,24879.0,290.0,11.66
2010,Ponce Municipio,72113,170920.0,2197.0,12.85
2010,Quebradillas Municipio,72115,25985.0,245.0,9.43
2010,Rincón Municipio,72117,15203.0,134.0,8.81
2010,Río Grande Municipio,72119,54270.0,741.0,13.65
2010,Sabana Grande Municipio,72121,25532.0,253.0,9.91
2010,Salinas Municipio,72123,31265.0,287.0,9.18
2010,San Germán Municipio,72125,35997.0,260.0,7.22
2010,San Juan Municipio,72127,404748.0,5276.0,13.04
2010,San Lorenzo Municipio,72129,41300.0,446.0,10.8
2010,San Sebastián Municipio,72131,42982.0,331.0,7.7
2010,Santa Isabel Municipio,72133,23113.0,224.0,9.69
2010,Toa Alta Municipio,72135,72756.0,1171.0,16.09
2010,Toa Baja Municipio,72137,90867.0,1152.0,12.68
2010,Trujillo Alto Municipio,72139,75464.0,853.0,11.3
2010,Utuado Municipio,72141,33741.0,317.0,9.4
2010,Vega Alta Municipio,72143,39807.0,529.0,13.29
2010,Vega Baja Municipio,72145,60436.0,736.0,12.18
2010,Vieques Municipio,72147,9313.0,142.0,15.25
2010,Villalba Municipio,72149,26565.0,345.0,12.99
2010,Yabucoa Municipio,72151,38387.0,450.0,11.72
2010,Yauco Municipio,72153,43082.0,424.0,9.84
2011,Adjuntas Municipio,72001,19514.0,155.0,7.94
2011,Aguada Municipio,72003,42082.0,386.0,9.17
2011,Aguadilla Municipio,72005,61384.0,584.0,9.51
2011,Aguas Buenas Municipio,72007,28745.0,137.0,4.77
2011,Aibonito Municipio,72009,26011.0,378.0,14.53
2011,Arecibo Municipio,72013,96984.0,1133.0,11.68
2011,Arroyo Municipio,72015,19601.0,244.0,12.45
2011,Añasco Municipio,72011,29266.0,162.0,5.54
2011,Barceloneta Municipio,72017,24685.0,299.0,12.11
2011,Barranquitas Municipio,72019,30317.0,369.0,12.17
2011,Bayamón Municipio,72021,209900.0,2413.0,11.5
2011,Cabo Rojo Municipio,72023,50733.0,513.0,10.11
2011,Caguas Municipio,72025,143087.0,1572.0,10.99
2011,Camuy Municipio,72027,35260.0,457.0,12.96
2011,Canóvanas Municipio,72029,47458.0,717.0,15.11
2011,Carolina Municipio,72031,177873.0,2395.0,13.46
2011,Cataño Municipio,72033,28371.0,382.0,13.46
2011,Cayey Municipio,72035,48184.0,486.0,10.09
2011,Ceiba Municipio,72037,14087.0,124.0,8.8
2011,Ciales Municipio,72039,18912.0,144.0,7.61
2011,Cidra Municipio,72041,43564.0,521.0,11.96
2011,Coamo Municipio,72043,40433.0,620.0,15.33
2011,Comerío Municipio,72045,20778.0,141.0,6.79
2011,Corozal Municipio,72047,37238.0,173.0,4.65
2011,Culebra Municipio,72049,1831.0,16.0,8.74
2011,Dorado Municipio,72051,37942.0,414.0,10.91
2011,Fajardo Municipio,72053,37387.0,451.0,12.06
2011,Florida Municipio,72054,12691.0,215.0,16.94
2011,Guayama Municipio,72057,45390.0,460.0,10.13
2011,Guayanilla Municipio,72059,21767.0,279.0,12.82
2011,Guaynabo Municipio,72061,98326.0,789.0,8.02
2011,Gurabo Municipio,72063,44868.0,522.0,11.63
2011,Guánica Municipio,72055,19680.0,206.0,10.47
2011,Hatillo Municipio,72065,41843.0,353.0,8.44
2011,Hormigueros Municipio,72067,17239.0,229.0,13.28
2011,Humacao Municipio,72069,58665.0,489.0,8.34
2011,Isabela Municipio,72071,45668.0,473.0,10.36
2011,Jayuya Municipio,72073,16744.0,277.0,16.54
2011,Juana Díaz Municipio,72075,50894.0,467.0,9.18
2011,Juncos Municipio,72077,40104.0,518.0,12.92
2011,Lajas Municipio,72079,25856.0,370.0,14.31
2011,Lares Municipio,72081,31120.0,238.0,7.65
2011,Las Marías Municipio,72083,10012.0,91.0,9.09
2011,Las Piedras Municipio,72085,38466.0,476.0,12.37
2011,Loíza Municipio,72087,30359.0,358.0,11.79
2011,Luquillo Municipio,72089,20106.0,75.0,3.73
2011,Manatí Municipio,72091,44331.0,622.0,14.03
2011,Maricao Municipio,72093,6300.0,57.0,9.05
2011,Maunabo Municipio,72095,12304.0,172.0,13.98
2011,Mayagüez Municipio,72097,89981.0,1143.0,12.7
2011,Moca Municipio,72099,40199.0,439.0,10.92
2011,Morovis Municipio,72101,32508.0,306.0,9.41
2011,Naguabo Municipio,72103,26576.0,192.0,7.22
2011,Naranjito Municipio,72105,30442.0,265.0,8.71
2011,Orocovis Municipio,72107,23541.0,257.0,10.92
