year,municipio_fips,Total_All_Sectors,Micro_Businesses_1to4_Employees,Pct_Micro_Business,Tourism_Hospitality,Retail_Trade,Professional_Services,Healthcare,Construction
2012,72001,126,0,0.0,16,45,7.0,20.0,7.0
2012,72003,457,0,0.0,54,149,38.0,64.0,25.0
2012,72005,853,0,0.0,98,221,76.0,172.0,19.0
2012,72007,150,0,0.0,10,40,5.0,28.0,12.0
2012,72009,287,0,0.0,22,84,27.0,69.0,11.0
2012,72011,232,0,0.0,25,65,11.0,36.0,20.0
2012,72013,1031,0,0.0,87,270,86.0,241.0,32.0
2012,72015,82,0,0.0,9,26,,16.0,3.0
2012,72017,283,0,0.0,40,111,10.0,30.0,19.0
2012,72019,245,0,0.0,23,74,16.0,33.0,23.0
2012,72021,3220,0,0.0,260,832,201.0,621.0,115.0
2012,72023,547,0,0.0,91,123,23.0,94.0,28.0
2012,72025,2445,0,0.0,211,594,204.0,430.0,106.0
2012,72027,265,0,0.0,22,79,23.0,33.0,24.0
2012,72029,383,0,0.0,36,139,12.0,54.0,16.0
2012,72031,2040,0,0.0,242,489,129.0,241.0,81.0
2012,72033,337,0,0.0,23,48,16.0,21.0,12.0
2012,72035,484,0,0.0,62,130,34.0,94.0,23.0
2012,72037,93,0,0.0,7,20,4.0,15.0,4.0
2012,72039,114,0,0.0,9,39,8.0,15.0,12.0
2012,72041,349,0,0.0,32,99,23.0,53.0,18.0
2012,72043,256,0,0.0,30,80,21.0,47.0,14.0
2012,72045,83,0,0.0,4,32,2.0,12.0,6.0
2012,72047,276,0,0.0,24,83,17.0,56.0,22.0
2012,72049,29,0,0.0,10,4,,1.0,1.0
2012,72051,422,0,0.0,62,75,42.0,61.0,16.0
2012,72053,519,0,0.0,60,143,27.0,105.0,5.0
2012,72054,60,0,0.0,7,16,6.0,8.0,4.0
2012,72055,93,0,0.0,10,22,5.0,19.0,8.0
2012,72057,483,0,0.0,54,152,31.0,99.0,10.0
2012,72059,86,0,0.0,12,21,3.0,16.0,3.0
2012,72061,2013,0,0.0,174,307,285.0,250.0,103.0
2012,72063,308,0,0.0,27,44,19.0,50.0,34.0
2012,72065,520,0,0.0,64,179,32.0,67.0,19.0
2012,72067,182,0,0.0,20,49,10.0,26.0,12.0
2012,72069,810,0,0.0,79,199,67.0,173.0,35.0
2012,72071,421,0,0.0,57,130,33.0,76.0,22.0
2012,72073,103,0,0.0,9,41,4.0,14.0,11.0
2012,72075,257,0,0.0,21,81,12.0,53.0,12.0
2012,72077,244,0,0.0,28,62,14.0,55.0,14.0
2012,72079,170,0,0.0,23,49,12.0,21.0,8.0
2012,72081,181,0,0.0,18,68,11.0,35.0,6.0
2012,72083,52,0,0.0,4,14,1.0,10.0,6.0
2012,72085,260,0,0.0,37,55,12.0,50.0,28.0
2012,72087,78,0,0.0,10,27,3.0,14.0,1.0
2012,72089,141,0,0.0,23,25,13.0,19.0,9.0
2012,72091,647,0,0.0,49,157,43.0,193.0,20.0
2012,72093,19,0,0.0,2,4,,6.0,1.0
2012,72095,53,0,0.0,7,19,2.0,14.0,
2012,72097,1615,0,0.0,147,337,152.0,364.0,49.0
2012,72099,291,0,0.0,25,92,16.0,64.0,13.0
2012,72101,163,0,0.0,26,57,10.0,26.0,7.0
2012,72103,117,0,0.0,11,32,5.0,12.0,24.0
2012,72105,302,0,0.0,28,95,13.0,38.0,47.0
2012,72107,141,0,0.0,14,46,6.0,24.0,13.0
2012,72109,97,0,0.0,13,34,3.0,12.0,5.0
2012,72111,152,0,0.0,17,39,6.0,21.0,10.0
2012,72113,2377,0,0.0,210,537,212.0,518.0,84.0
2012,72115,205,0,0.0,21,56,13.0,36.0,16.0
2012,72117,138,0,0.0,32,35,6.0,15.0,13.0
2012,72119,324,0,0.0,36,89,12.0,56.0,8.0
2012,72121,177,0,0.0,11,47,13.0,37.0,6.0
2012,72123,182,0,0.0,32,54,10.0,25.0,7.0
2012,72125,372,0,0.0,47,85,27.0,106.0,9.0
2012,72127,10974,0,0.0,986,1761,1861.0,1559.0,430.0
2012,72129,241,0,0.0,19,69,15.0,36.0,21.0
2012,72131,427,0,0.0,37,139,32.0,74.0,26.0
2012,72133,162,0,0.0,29,49,5.0,26.0,10.0
2012,72135,325,0,0.0,27,101,16.0,51.0,26.0
2012,72137,721,0,0.0,59,164,37.0,90.0,52.0
2012,72139,580,0,0.0,49,106,53.0,75.0,48.0
2012,72141,188,0,0.0,20,62,14.0,31.0,10.0
2012,72143,439,0,0.0,44,136,21.0,79.0,22.0
2012,72145,391,0,0.0,36,122,25.0,64.0,23.0
2012,72147,101,0,0.0,31,22,4.0,8.0,7.0
2012,72149,125,0,0.0,13,39,5.0,27.0,11.0
2012,72151,185,0,0.0,20,59,9.0,40.0,8.0
2012,72153,426,0,0.0,40,135,19.0,83.0,24.0
