Storm_ID,Name,Year,Date,Lat,Lon,Wind_Knots,Pressure_mb,R34_NE,R34_SE,R34_SW,R34_NW,R64_NE,R64_SE,R64_SW,R64_NW
AL012010,ALEX,2010,2010-06-24,15.9,-82.0,25,1007,0,0,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-25,16.0,-82.1,25,1006,0,0,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-25,16.1,-82.3,25,1006,0,0,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-25,16.2,-82.5,30,1005,0,0,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-25,16.4,-83.1,30,1005,0,0,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-26,16.6,-83.9,30,1004,0,0,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-26,16.7,-84.9,40,1004,90,90,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-26,16.9,-86.1,40,1004,90,90,0,0,0,0,0,0
AL012010,ALEX,2010,2010-06-26,17.2,-87.2,55,996,100,75,30,30,0,0,0,0
AL012010,ALEX,2010,2010-06-27,17.5,-88.2,55,995,90,75,30,30,0,0,0,0
AL012010,ALEX,2010,2010-06-27,18.0,-89.1,55,991,90,90,30,30,0,0,0,0
AL012010,ALEX,2010,2010-06-27,18.5,-90.0,45,992,60,30,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-27,18.9,-90.7,35,993,30,30,30,30,0,0,0,0
AL012010,ALEX,2010,2010-06-28,19.2,-91.1,40,991,60,30,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-28,19.5,-91.4,40,991,60,30,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-28,20.0,-91.6,50,989,60,30,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-28,20.3,-91.7,50,990,60,30,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-29,20.7,-91.7,55,987,60,60,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-29,21.5,-91.9,55,985,90,90,30,60,0,0,0,0
AL012010,ALEX,2010,2010-06-29,22.4,-92.7,60,983,120,100,50,100,0,0,0,0
AL012010,ALEX,2010,2010-06-29,22.9,-93.6,60,981,150,100,50,100,0,0,0,0
AL012010,ALEX,2010,2010-06-30,23.0,-94.4,65,973,150,150,75,130,15,15,15,15
AL012010,ALEX,2010,2010-06-30,23.1,-94.8,70,966,180,150,90,130,20,20,15,15
AL012010,ALEX,2010,2010-06-30,23.5,-95.2,75,958,180,150,100,130,50,20,15,15
AL012010,ALEX,2010,2010-06-30,24.0,-95.5,75,958,180,150,100,130,50,20,15,15
AL012010,ALEX,2010,2010-06-30,24.3,-96.2,80,962,180,180,120,130,50,30,15,15
AL012010,ALEX,2010,2010-07-01,24.3,-97.3,90,948,180,180,120,120,50,30,15,15
AL012010,ALEX,2010,2010-07-01,24.2,-97.7,95,946,180,180,120,120,50,30,15,15
AL012010,ALEX,2010,2010-07-01,24.1,-98.4,75,963,180,180,120,90,20,20,10,10
AL012010,ALEX,2010,2010-07-01,23.5,-99.5,60,977,120,120,120,75,0,0,0,0
AL012010,ALEX,2010,2010-07-01,23.1,-100.7,40,987,60,60,105,60,0,0,0,0
AL012010,ALEX,2010,2010-07-02,23.2,-101.9,30,997,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-22,21.5,-73.8,30,1009,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-22,21.7,-74.4,30,1008,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-22,22.2,-74.9,30,1007,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-22,23.0,-75.7,35,1006,30,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-23,23.1,-75.9,35,1006,40,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-23,23.7,-77.5,40,1005,70,0,0,40,0,0,0,0
AL032010,BONNIE,2010,2010-07-23,23.8,-77.8,40,1005,75,0,0,45,0,0,0,0
AL032010,BONNIE,2010,2010-07-23,24.8,-79.7,35,1006,75,45,0,45,0,0,0,0
AL032010,BONNIE,2010,2010-07-23,25.4,-80.2,35,1007,75,40,0,40,0,0,0,0
AL032010,BONNIE,2010,2010-07-23,25.8,-81.1,30,1008,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-24,26.3,-82.6,30,1010,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-24,26.7,-84.4,30,1013,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-24,27.5,-85.9,25,1013,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-24,28.1,-87.1,25,1013,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-25,28.6,-88.3,25,1012,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-25,29.2,-89.5,25,1012,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-25,29.8,-90.5,20,1012,0,0,0,0,0,0,0,0
AL032010,BONNIE,2010,2010-07-25,30.1,-91.0,15,1014,0,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-02,12.5,-40.7,30,1007,0,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-02,12.9,-42.4,30,1007,0,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-03,13.3,-44.4,30,1007,0,0,0,0,0,0,0,0
AL042010,COLIN,2010,2010-08-03,13.7,-46.6,35,1006,30,0,0,30,0,0,0,0
AL042010,COLIN,2010,2010-08-03,14.3,-49.3,35,1007,30,0,0,30,0,0,0,0
AL042010,COLIN,2010,2010-08-03,15.3,-52.2,35,1009,60,0,0,45,0,0,0,0
AL042010,COLIN,2010,2010-08-04,16.1,-54.8,35,1009,90,0,0,60,0,0,0,0
