year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe
2012,Adjuntas Municipio,72001,19458.0,0.0,15081.0,80.0,7037.0,114.0,23.1,3.7,39.6,2.5,13095.0,18365.03,1366.0,229.59,12458.0,27.1,3226.0,389.8025141016923,5918.0,1628.0,23.0,27.0,126.0,,
2012,Aguada Municipio,72003,41876.0,0.0,33277.0,134.0,16280.0,180.0,30.7,2.6,48.7,1.7,15106.0,21185.34,958.0,229.59,27673.0,25.0,6223.0,476.2824792074552,13351.0,4294.0,117.0,84.0,457.0,,
2012,Aguadilla Municipio,72005,60714.0,0.0,48215.0,181.0,25553.0,269.0,24.5,2.7,40.1,1.4,15302.0,21460.22,996.0,229.59,40610.0,27.1,10614.0,714.2618567444296,19173.0,6210.0,401.0,123.0,853.0,,
2012,Aguas Buenas Municipio,72007,28573.0,0.0,22384.0,104.0,10250.0,152.0,13.2,2.7,33.1,2.0,13994.0,19625.82,1337.0,229.59,18601.0,32.0,5604.0,546.7952084647414,8913.0,2208.0,47.0,37.0,150.0,,
2012,Aibonito Municipio,72009,25823.0,0.0,20332.0,86.0,9556.0,125.0,10.0,2.3,36.9,2.0,16235.0,22768.7,1444.0,229.59,16868.0,30.7,4734.0,353.23646470884063,7942.0,3213.0,25.0,28.0,287.0,,
2012,Arecibo Municipio,72013,96176.0,0.0,77254.0,180.0,40017.0,426.0,15.0,1.5,38.2,1.2,17077.0,23949.56,791.0,229.59,64749.0,29.7,17172.0,770.6756775713114,30081.0,10088.0,350.0,123.0,1031.0,,
2012,Arroyo Municipio,72015,19542.0,0.0,15013.0,104.0,8053.0,127.0,28.5,4.7,43.1,2.9,16114.0,22599.01,1197.0,229.59,12420.0,30.6,3385.0,386.08030252785494,5612.0,1466.0,47.0,41.0,82.0,,
2012,Añasco Municipio,72011,29236.0,0.0,23220.0,135.0,11457.0,158.0,9.3,2.1,38.7,2.3,16771.0,23520.42,936.0,229.59,19510.0,33.7,6434.0,452.8399275682302,9211.0,2382.0,95.0,88.0,232.0,,
2012,Barceloneta Municipio,72017,24815.0,0.0,19166.0,108.0,9518.0,179.0,17.7,3.7,37.6,3.0,15034.0,21084.37,1166.0,229.59,16154.0,34.1,5124.0,572.2176159469402,7529.0,1962.0,43.0,43.0,283.0,,
2012,Barranquitas Municipio,72019,30322.0,0.0,22997.0,135.0,10348.0,176.0,12.4,2.9,36.5,2.6,14907.0,20906.26,1199.0,229.59,18272.0,31.8,4655.0,477.73004929562467,8764.0,2824.0,21.0,33.0,245.0,,
2012,Bayamón Municipio,72021,207337.0,0.0,166407.0,279.0,81952.0,427.0,18.5,1.0,52.4,0.7,24609.0,34512.78,722.0,229.59,139667.0,25.3,30089.0,1108.8683420496773,63511.0,26263.0,709.0,162.0,3220.0,,
2012,Cabo Rojo Municipio,72023,50866.0,0.0,40527.0,195.0,27085.0,313.0,10.7,2.5,35.4,1.9,16003.0,22443.34,906.0,229.59,34609.0,27.4,7981.0,729.2907513468136,16104.0,5468.0,462.0,179.0,547.0,,
2012,Caguas Municipio,72025,142549.0,0.0,112407.0,217.0,55096.0,367.0,14.4,0.9,51.5,1.0,23845.0,33441.32,695.0,229.59,94363.0,26.7,23609.0,1091.6162329317021,42492.0,18034.0,926.0,206.0,2445.0,,
2012,Camuy Municipio,72027,35085.0,0.0,27660.0,130.0,13204.0,166.0,18.9,2.8,42.4,1.8,17762.0,24910.24,1653.0,229.59,23086.0,24.2,5108.0,460.440006949874,10892.0,3282.0,34.0,35.0,265.0,,
2012,Canóvanas Municipio,72029,47656.0,0.0,36568.0,136.0,16751.0,254.0,18.0,2.2,52.3,1.6,22746.0,31900.03,1175.0,229.59,30148.0,31.9,9284.0,674.2647847841381,14150.0,4577.0,210.0,95.0,383.0,,
2012,Carolina Municipio,72031,176157.0,0.0,140890.0,272.0,74214.0,519.0,13.7,0.9,55.1,0.7,29470.0,41330.07,1001.0,229.59,118542.0,27.7,29617.0,1002.4021149219509,52435.0,23920.0,1117.0,204.0,2040.0,,
2012,Cataño Municipio,72033,28049.0,0.0,21686.0,113.0,10665.0,122.0,27.2,3.5,53.9,1.9,17780.0,24935.48,2039.0,229.59,17751.0,28.0,4634.0,360.51352263126,8064.0,2652.0,48.0,33.0,337.0,,
2012,Cayey Municipio,72035,48008.0,0.0,38070.0,169.0,18524.0,205.0,14.7,2.0,50.0,1.6,20912.0,29327.94,1129.0,229.59,31644.0,36.1,10123.0,548.2499430004531,14921.0,4809.0,80.0,57.0,484.0,,
2012,Ceiba Municipio,72037,13726.0,0.0,10869.0,72.0,7456.0,163.0,12.8,3.5,44.1,2.4,20455.0,28687.03,2556.0,229.59,9016.0,30.0,2448.0,331.2657543423407,4107.0,1305.0,27.0,43.0,93.0,,
2012,Ciales Municipio,72039,18712.0,0.0,14587.0,72.0,7035.0,102.0,21.0,3.9,33.6,2.7,13722.0,19244.36,1055.0,229.59,11927.0,28.1,3337.0,347.57013680694723,5806.0,1004.0,0.0,20.0,114.0,,
2012,Cidra Municipio,72041,43414.0,0.0,33871.0,154.0,15246.0,149.0,12.1,1.9,53.6,1.5,23804.0,33383.82,1394.0,229.59,28022.0,35.3,9275.0,577.9454991606043,13344.0,4533.0,128.0,69.0,349.0,,
2012,Coamo Municipio,72043,40577.0,0.0,31290.0,114.0,14995.0,155.0,13.3,2.0,40.3,1.6,16658.0,23361.94,1269.0,229.59,25792.0,32.8,7656.0,573.4457254178463,12165.0,3430.0,143.0,74.0,256.0,,
