year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,murder,robbery,burglary,larceny / theft,total,murder_rate,robbery_rate,burglary_rate,lag_violent_crime_rate,lag_property_crime_rate,target_pop_change,vulnerability_index
2011,Adjuntas,72001,19514,0,15000,107,6834,161,25.3,0,40.9,0,12975,18839.69,1619,224.92,12367,40.8,3251,317.4019534,14.5,1791,22,25.61249695,122.0,0.0,0.0,55.83,25.34,6889,39.48,26.21,13.45,0.0,10.62,99.17,14.35,3.95,0.18,5.98,23.81,82,0.0,18.1627,-66.7222,70.0,0.0,0.0,5.0,114.0,136.0,267.0,0.0,0.2562262990673363,5.841959618735267,0.8187912594033059,7.010900158640807,-0.1381710250243029,3.154755135463596
2012,Adjuntas,72001,19458,0,15081,80,7037,114,23.1,0,39.6,0,13095,18627.74,1366,229.59,12458,60.6,3226,389.8025141,15.4,1919,23,27.0,126.0,0.0,0.0,56.25,23.06,7167,39.98,25.57,13.89,21.88,12.77,99.28,14.1,4.15,0.0,5.73,22.95,72,0.37,18.1627,-66.7222,0.0,0.0,1.0,7.0,108.0,169.0,314.0,0.05139274334463974,0.3597492034124781,5.550416281221091,0.2562262990673363,5.841959618735267,-0.28697345495541926,2.4775187474460507
2013,Adjuntas,72001,19334,0,15087,79,7298,140,27.2,0,39.6,0,11528,16161.74,1354,232.95,12518,59.6,3075,304.3961235,15.6,1954,39,38.0,130.0,90.1,2.0,60.19,27.19,7235,41.03,24.9,14.47,22.51,12.3,99.42,14.69,3.55,0.0,4.94,22.16,65,0.34,18.1627,-66.7222,0.0,0.0,0.0,9.0,62.0,109.0,198.0,0.0,0.46550118961415127,3.206785972897486,0.41114194675711785,5.550416281221091,-0.6372700174735346,2.9078567432795817
2014,Adjuntas,72001,19188,0,15080,88,7514,136,34.0,0,42.4,0,10550,14555.49,1358,236.72,12567,58.9,3220,334.9776112,16.1,2018,70,55.0,128.0,90.8,1.8,62.07,34.05,7042,41.71,24.24,15.14,19.9,12.85,99.82,13.76,3.46,0.0,5.21,20.51,72,0.38,18.1627,-66.7222,40.0,0.0,0.0,6.0,32.0,69.0,117.0,0.0,0.31269543464665417,1.6677089847821556,0.46550118961415127,3.206785972897486,-0.7551463742629605,3.2980792600940965
2015,Adjuntas,72001,18962,0,15022,85,7694,126,36.5,0,42.9,0,10499,14467.6,1326,237.0,12556,62.0,3325,294.2685848,17.1,2148,65,48.0,124.0,7.8,2.0,61.7,36.5,7270,38.6,23.66,15.8,20.25,13.89,99.79,13.56,3.41,0.35,4.56,19.25,70,0.37,18.1627,-66.7222,45.0,0.0,1.0,2.0,36.0,40.0,95.0,0.05273705305347537,0.10547410610695074,1.8985339099251133,0.31269543464665417,1.6677089847821556,-1.1778194705023948,3.0105107274690583
2016,Adjuntas,72001,18760,0,14963,78,7673,143,35.6,0,42.3,0,11296,15371.06,1218,240.01,12590,62.4,3105,309.4010343,18.6,2342,71,48.0,119.0,6.9,1.9,63.01,35.62,7124,38.2,22.96,16.55,20.58,15.16,99.85,0.0,3.17,0.42,4.03,19.05,71,0.38,18.1627,-66.7222,0.0,0.0,0.0,20.0,30.0,28.0,78.0,0.0,1.0660980810234542,1.5991471215351811,0.1582111591604261,1.8985339099251133,-1.0652884716802036,2.987631297393976
2017,Adjuntas,72001,18525,0,14895,100,7705,150,40.9,0,42.2,0,11680,15561.9,1168,245.12,12603,63.2,3116,331.2959402,18.1,2287,80,49.0,124.0,6.1,1.7,64.14,40.89,7117,37.42,22.29,17.35,21.26,14.27,99.68,0.0,3.61,0.35,3.29,19.01,74,0.4,18.1627,-66.7222,135.0,0.0,0.0,50.0,27.0,22.0,71.0,0.0,2.6990553306342777,1.45748987854251,1.0660980810234542,1.5991471215351811,-1.2526652452025555,3.2398114102237177
2018,Adjuntas,72001,18181,0,14771,89,7594,144,38.4,0,41.7,0,12902,16780.75,1027,251.1,12554,63.9,3173,326.266762,17.9,2246,79,51.0,127.0,5.9,1.6,62.48,38.44,7126,36.7,21.49,18.17,20.15,14.09,99.71,0.0,3.81,0.38,3.8,17.59,77,0.42,18.1627,-66.7222,0.0,0.0,1.0,0.0,20.0,30.0,72.0,0.05500247511138001,0.0,1.1000495022276002,2.6990553306342777,1.45748987854251,-1.8569500674763817,2.8264297852830977
2019,Adjuntas,72001,17891,0,14696,67,7586,129,34.1,0,39.8,0,14012,17899.88,1363,255.65,12549,65.3,3272,385.0519445,16.9,2120,46,32.0,121.0,6.9,2.0,62.03,34.12,7595,35.26,20.65,19.04,19.38,13.33,99.7,0.0,4.11,0.46,2.91,16.15,75,0.42,18.1627,-66.7222,0.0,5.0,0.0,1.0,15.0,35.0,63.0,0.0,0.05589402492873512,0.8384103739310268,0.05500247511138001,1.1000495022276002,-1.5950717782300172,2.334171387417735
2020,Adjuntas,72001,17614,0,14565,88,7587,176,29.8,0,37.5,0,14253,17982.44,1303,258.86,12529,65.0,3533,368.7817783,16.3,2036,53,32.0,127.0,6.5,1.8,64.78,29.79,7349,35.57,19.85,19.93,17.66,13.89,99.63,0.0,4.22,0.0,2.46,15.9,73,0.41,18.1627,-66.7222,45.0,6.4,0.0,1.0,8.0,24.0,58.0,0.0,0.05677302146020211,0.4541841716816169,0.05589402492873512,0.8384103739310268,-1.5482644905259635,2.3338649493334658
