year,municipio,geoid,total_population,poverty_rate_pct,unemployment_rate_pct,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count
2010,Adjuntas Municipio,72001,19541.0,59.26,20.71,5974.0,42.18,26.95,13.0,0.0,9.5,99.13,14.52,4.15,0.2,7.1,24.56,94.0
2010,Aguada Municipio,72003,42232.0,56.55,25.59,7414.0,42.38,24.88,11.81,0.0,10.18,94.93,27.06,2.7,0.06,5.39,17.72,60.0
2010,Aguadilla Municipio,72005,61965.0,54.31,20.82,7908.0,38.52,24.51,14.7,0.0,13.07,98.3,26.74,10.37,0.12,4.59,23.11,1414.0
2010,Aguas Buenas Municipio,72007,28827.0,52.44,4.14,7494.0,40.1,25.95,12.74,0.0,13.22,99.0,11.85,1.65,0.56,9.48,19.55,77.0
2010,Aibonito Municipio,72009,26161.0,52.06,14.43,8213.0,35.08,25.39,13.65,0.0,15.54,99.57,23.21,2.46,0.0,6.31,24.17,0.0
2010,Arecibo Municipio,72013,97633.0,47.07,15.83,8867.0,34.1,23.79,15.55,0.0,13.34,99.4,23.83,4.6,0.1,3.25,19.41,1256.0
2010,Arroyo Municipio,72015,19607.0,53.41,27.0,7547.0,37.3,27.8,13.17,0.0,17.19,99.13,22.11,4.5,0.13,8.46,20.57,1.0
2010,Añasco Municipio,72011,29254.0,47.34,9.03,7584.0,41.16,24.8,13.92,0.0,12.16,98.81,18.09,2.97,0.44,6.77,20.28,10.0
2010,Barceloneta Municipio,72017,24506.0,48.87,17.0,8479.0,37.18,26.3,13.74,0.0,14.63,99.6,35.46,2.78,0.0,2.89,18.04,472.0
2010,Barranquitas Municipio,72019,30272.0,55.43,13.83,6588.0,38.52,29.03,10.45,0.0,18.22,99.73,19.0,2.49,0.0,10.2,21.01,365.0
2010,Bayamón Municipio,72021,212183.0,33.14,16.99,12180.0,25.57,23.51,15.58,0.0,14.37,99.16,27.7,10.35,0.06,4.52,15.67,5653.0
2010,Cabo Rojo Municipio,72023,50468.0,48.69,9.72,8999.0,38.64,23.87,16.95,0.0,8.7,99.01,18.58,8.92,3.72,5.76,18.94,86.0
2010,Caguas Municipio,72025,143301.0,36.95,12.58,11880.0,27.9,24.94,14.2,0.0,14.34,99.03,28.4,9.07,0.17,4.17,19.79,886.0
2010,Camuy Municipio,72027,35381.0,51.63,20.21,7368.0,40.95,25.59,13.28,0.0,9.92,99.56,15.3,1.8,0.21,3.72,20.02,13.0
2010,Canóvanas Municipio,72029,47151.0,42.51,15.33,9852.0,30.54,27.62,11.57,0.0,14.71,99.89,21.92,3.07,0.0,7.99,16.02,135.0
2010,Carolina Municipio,72031,179356.0,29.56,11.45,13740.0,22.22,23.75,15.16,0.0,14.52,99.04,29.28,12.13,0.07,6.87,16.27,663.0
2010,Cataño Municipio,72033,28663.0,47.04,23.5,9893.0,38.84,26.89,12.54,0.0,20.67,99.6,19.41,13.87,0.31,5.67,33.38,0.0
2010,Cayey Municipio,72035,48255.0,42.03,14.0,9633.0,35.73,24.69,13.96,0.0,16.73,99.71,17.2,3.1,0.14,6.55,24.55,139.0
2010,Ceiba Municipio,72037,14493.0,43.13,11.73,9658.0,32.01,25.74,15.12,0.0,15.16,99.3,33.28,12.35,0.33,9.29,17.38,0.0
2010,Ciales Municipio,72039,19067.0,59.01,23.61,6376.0,44.71,27.18,13.2,0.0,15.9,99.74,14.3,2.01,0.0,9.55,22.16,10.0
2010,Cidra Municipio,72041,43604.0,41.0,14.28,10175.0,32.04,26.08,11.17,0.0,17.05,99.7,18.79,2.02,0.21,7.18,18.76,0.0
2010,Coamo Municipio,72043,40229.0,54.16,13.92,7660.0,36.52,27.69,12.38,0.0,14.54,99.64,26.43,4.16,0.0,6.25,19.84,10.0
2010,Comerío Municipio,72045,20773.0,56.07,10.11,6755.0,43.67,26.5,12.37,0.0,15.17,99.38,9.88,2.11,0.0,11.21,20.61,27.0
2010,Corozal Municipio,72047,37312.0,54.55,9.38,6974.0,40.15,27.11,12.2,0.0,11.4,99.15,16.49,0.92,0.16,12.63,18.76,0.0
2010,Culebra Municipio,72049,1939.0,40.69,7.06,10349.0,45.03,20.27,20.78,0.0,16.1,93.04,31.69,4.33,3.07,35.25,30.0,0.0
2010,Dorado Municipio,72051,37631.0,33.43,13.77,14687.0,28.1,26.9,11.84,0.0,13.95,98.83,32.46,5.31,0.33,8.02,17.06,59.0
2010,Fajardo Municipio,72053,37875.0,42.12,17.63,9949.0,29.81,25.92,16.14,0.0,17.63,99.03,28.35,9.52,0.31,7.85,20.2,408.0
2010,Florida Municipio,72054,12697.0,51.05,14.15,7336.0,37.77,27.14,12.92,0.0,14.47,99.83,26.12,1.75,0.19,7.21,18.75,0.0
2010,Guayama Municipio,72057,45416.0,45.98,22.05,8821.0,28.69,26.73,12.06,0.0,16.59,99.72,27.67,5.79,0.0,7.95,21.64,85.0
2010,Guayanilla Municipio,72059,21986.0,54.72,23.76,6803.0,36.05,26.4,13.89,0.0,14.25,99.13,18.34,1.75,0.2,8.54,19.55,26.0
2010,Guaynabo Municipio,72061,98875.0,27.9,13.19,20409.0,22.5,22.51,15.43,0.0,11.26,98.84,37.31,15.63,0.09,4.13,15.38,1888.0
2010,Gurabo Municipio,72063,44073.0,33.47,11.64,12155.0,28.66,26.7,11.22,0.0,13.85,99.28,33.09,1.85,0.2,5.47,14.26,415.0
2010,Guánica Municipio,72055,19990.0,63.69,33.63,6104.0,40.83,25.8,15.63,0.0,12.16,98.24,16.78,4.61,0.14,8.83,21.67,7.0
2010,Hatillo Municipio,72065,41645.0,49.89,25.98,7934.0,40.79,25.27,13.69,0.0,12.24,99.63,16.0,3.8,0.19,4.37,14.06,0.0
