year,median_income_real,income_growth,employment_proxy_growth,establishment_growth
2010,23907.358138151878,,,
2011,23770.354625111784,-0.367026202224325,-1.5360706061381098,
2012,23773.888812695775,0.10690902963096217,-1.879926549585263,
2013,23756.671393857017,0.1851284717836979,-1.81583584386136,0.33488279852968084
2014,23395.214621661773,-1.3629737133889437,-1.935507561272156,-1.3462372614552907
2015,23039.460349110803,-1.5985834778979147,-1.6895546932230288,-1.3378017951872403
2016,23107.138908723882,0.33434295537757364,-0.6055149061961094,-0.08724374312895392
2017,22888.704741652622,-0.7593584967676037,-0.7748465560590894,1.1460728654063481
2018,22963.440240037984,0.5094959925931664,-0.66855409838683,-0.20399884326776258
2019,23003.085487801705,0.2857024008037127,0.9161243580859935,3.524642816463453
2020,23205.614285011114,1.1418725225287902,0.7939176492932305,2.0431265690823515
2021,23312.686368237446,0.6504073200390015,2.660805913492336,5.272882666787423
2022,23569.00177161235,1.3200879194812536,2.867716737674084,6.249290601718192
2023,23699.32051282051,0.604541919069464,3.966780240771407,0.0
2024,26009.536410256413,9.917867841365489,0.0,0.0
