feature_name,mean_abs_shap
num__target_pop_change_3y_avg_lag1,1.3858523714154103
num__target_pop_change_3y_avg_yoy_change,0.821331967857418
num__year,0.5437799643993454
num__natural_change_rate_pr_lag1,0.23179619094045295
cat__municipio_Isabela,0.0
cat__municipio_Jayuya,0.0
cat__municipio_Juana Díaz,0.0
cat__municipio_Juncos,0.0
cat__municipio_Lajas,0.0
cat__municipio_Lares,0.0
num__lag_pop_change_1,0.0
cat__municipio_Las Piedras,0.0
cat__municipio_Loíza,0.0
cat__municipio_Luquillo,0.0
cat__municipio_Manatí,0.0
cat__municipio_Maricao,0.0
cat__municipio_Maunabo,0.0
cat__municipio_Mayagüez,0.0
cat__municipio_Moca,0.0
cat__municipio_Las Marías,0.0
cat__municipio_Humacao,0.0
cat__municipio_Naguabo,0.0
cat__municipio_Hormigueros,0.0
cat__municipio_Hatillo,0.0
cat__municipio_Guánica,0.0
cat__municipio_Gurabo,0.0
cat__municipio_Guaynabo,0.0
cat__municipio_Guayanilla,0.0
cat__municipio_Guayama,0.0
cat__municipio_Florida,0.0
cat__municipio_Fajardo,0.0
cat__municipio_Dorado,0.0
cat__municipio_Culebra,0.0
cat__municipio_Corozal,0.0
cat__municipio_Comerío,0.0
cat__municipio_Morovis,0.0
cat__municipio_Orocovis,0.0
cat__municipio_Naranjito,0.0
cat__municipio_Toa Baja,0.0
cat__region_South,0.0
cat__region_North,0.0
cat__region_Metro,0.0
cat__region_East,0.0
cat__region_Central Mountains,0.0
cat__municipio_Yauco,0.0
cat__municipio_Yabucoa,0.0
cat__municipio_Villalba,0.0
cat__municipio_Vieques,0.0
cat__municipio_Vega Baja,0.0
cat__municipio_Vega Alta,0.0
cat__municipio_Utuado,0.0
cat__municipio_Trujillo Alto,0.0
cat__municipio_Toa Alta,0.0
cat__municipio_Cidra,0.0
cat__municipio_Santa Isabel,0.0
cat__municipio_San Sebastián,0.0
cat__municipio_San Lorenzo,0.0
cat__municipio_San Juan,0.0
cat__municipio_San Germán,0.0
cat__municipio_Salinas,0.0
cat__municipio_Sabana Grande,0.0
cat__municipio_Río Grande,0.0
cat__municipio_Rincón,0.0
cat__municipio_Quebradillas,0.0
cat__municipio_Ponce,0.0
cat__municipio_Peñuelas,0.0
cat__municipio_Patillas,0.0
cat__municipio_Coamo,0.0
cat__municipio_Ceiba,0.0
cat__municipio_Ciales,0.0
num__svi_pca_1_lag1,0.0
num__income_growth_lag2,0.0
num__income_growth_lag1,0.0
num__seismic_3yr_sum_yoy_change,0.0
num__seismic_3yr_sum_roll3_mean,0.0
num__seismic_3yr_sum_lag2,0.0
num__seismic_3yr_sum_lag1,0.0
num__wind_3yr_sum_yoy_change,0.0
num__wind_3yr_sum_roll3_mean,0.0
num__wind_3yr_sum_lag2,0.0
num__wind_3yr_sum_lag1,0.0
num__svi_pca_1_yoy_change,0.0
num__svi_pca_1_roll3_mean,0.0
num__svi_pca_1_lag2,0.0
num__target_pop_change_3y_avg_roll3_mean,0.0
num__income_growth_yoy_change,0.0
num__target_pop_change_3y_avg_lag2,0.0
num__death_rate_pr_lag1,0.0
num__birth_rate_pr_lag1,0.0
num__natural_change_rate_pr_roll3_mean,0.0
num__lag_total_crime_rate,0.0
num__establishment_growth,0.0
num__income_growth,0.0
num__seismic_3yr_x_svi,0.0
num__wind_3yr_x_svi,0.0
num__seismic_3yr_sum,0.0
num__wind_3yr_sum,0.0
num__svi_pca_1,0.0
num__total_population,0.0
num__income_growth_roll3_mean,0.0
num__establishment_growth_lag1,0.0
num__lag_pop_change_2,0.0
cat__municipio_Aibonito,0.0
cat__municipio_Cayey,0.0
cat__municipio_Cataño,0.0
cat__municipio_Carolina,0.0
cat__municipio_Canóvanas,0.0
cat__municipio_Camuy,0.0
cat__municipio_Caguas,0.0
cat__municipio_Cabo Rojo,0.0
cat__municipio_Bayamón,0.0
cat__municipio_Barranquitas,0.0
cat__municipio_Barceloneta,0.0
cat__municipio_Añasco,0.0
cat__municipio_Arroyo,0.0
cat__municipio_Arecibo,0.0
cat__municipio_Aguas Buenas,0.0
num__establishment_growth_lag2,0.0
cat__municipio_Aguadilla,0.0
cat__municipio_Aguada,0.0
cat__municipio_Adjuntas,0.0
num__total_population_yoy_change,0.0
num__total_population_roll3_mean,0.0
num__total_population_lag2,0.0
num__total_population_lag1,0.0
num__lag_total_crime_rate_yoy_change,0.0
num__lag_total_crime_rate_roll3_mean,0.0
num__lag_total_crime_rate_lag2,0.0
num__lag_total_crime_rate_lag1,0.0
num__establishment_growth_yoy_change,0.0
num__establishment_growth_roll3_mean,0.0
cat__region_West,0.0
