municipio,region,predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Maunabo,East,-0.9457398869618203,0.5578209357295922,58.0077991065203
Guanica,West,-2.8835976502734004,0.5427384695318329,69.76903025831713
Las Marias,West,-0.8242676591526064,0.507276341113966,44.35624326700519
Vieques,East,-0.9565995727790937,0.5032263223356062,40.650622318270266
Maricao,West,-2.196401614745631,0.4888135755718901,24.382021149525876
Guayanilla,South,-1.6247486183571926,0.48672623380498403,83.42974373651232
Culebra,East,1.9700421845394718,0.47929902437696503,6.647877468108506
Comerio,Central Mountains,-0.6285499215318506,0.47740604432585365,89.32744495381048
Lares,Central Mountains,-0.6715510235591873,0.4713323716793978,131.28963213129626
Adjuntas,Central Mountains,-0.4460153649421583,0.4564432866635926,81.97721428478123
Penuelas,South,-1.3648234701374091,0.4549412537580073,90.31948710857719
Barceloneta,North,-0.5768414593165703,0.4514979031488455,101.55993833430132
Naguabo,East,-0.8795309554071358,0.4465146130102826,102.93947888339055
San German,West,-0.9549602644193469,0.44142211865379366,138.1871942445701
Salinas,South,-1.3763781621517852,0.43940353356665574,110.19801218318159
Lajas,West,-0.780235825895583,0.43458018463003656,100.10554552952892
Vega Baja,North,-0.7121816983845888,0.42990380865353073,231.6837605595608
Luquillo,East,-0.8649442487930029,0.42758875473346925,74.96486047987183
Arroyo,South,-1.6116935580138785,0.41785072073975993,64.10247906868658
Manati,North,-0.88031179717063,0.41502179171397957,161.62193634717508
