feature,status,count
target_pop_change_3y_avg_lag1,created_missing_column,
target_pop_change_3y_avg_lag2,created_missing_column,
target_pop_change_3y_avg_roll3_mean,created_missing_column,
target_pop_change_3y_avg_yoy_change,created_missing_column,
svi_pca_1_lag1,created_missing_column,
svi_pca_1_lag2,created_missing_column,
svi_pca_1_roll3_mean,created_missing_column,
svi_pca_1_yoy_change,created_missing_column,
wind_3yr_sum_lag1,created_missing_column,
wind_3yr_sum_lag2,created_missing_column,
wind_3yr_sum_roll3_mean,created_missing_column,
wind_3yr_sum_yoy_change,created_missing_column,
seismic_3yr_sum_lag1,created_missing_column,
seismic_3yr_sum_lag2,created_missing_column,
seismic_3yr_sum_roll3_mean,created_missing_column,
seismic_3yr_sum_yoy_change,created_missing_column,
income_growth_lag1,created_missing_column,
income_growth_lag2,created_missing_column,
income_growth_roll3_mean,created_missing_column,
income_growth_yoy_change,created_missing_column,
establishment_growth_lag1,created_missing_column,
establishment_growth_lag2,created_missing_column,
establishment_growth_roll3_mean,created_missing_column,
establishment_growth_yoy_change,created_missing_column,
lag_total_crime_rate_lag1,created_missing_column,
lag_total_crime_rate_lag2,created_missing_column,
lag_total_crime_rate_roll3_mean,created_missing_column,
lag_total_crime_rate_yoy_change,created_missing_column,
total_population_lag1,created_missing_column,
total_population_lag2,created_missing_column,
total_population_roll3_mean,created_missing_column,
total_population_yoy_change,created_missing_column,
svi_pca_1,filled_from_last_valid_same_feature,78.0
target_pop_change_3y_avg_lag1,filled_from_derived_history,78.0
target_pop_change_3y_avg_lag2,filled_from_derived_history,78.0
target_pop_change_3y_avg_roll3_mean,filled_from_derived_history,78.0
target_pop_change_3y_avg_yoy_change,filled_from_derived_history,78.0
svi_pca_1_lag1,filled_from_derived_history,78.0
svi_pca_1_lag2,filled_from_derived_history,78.0
svi_pca_1_roll3_mean,filled_from_derived_history,78.0
svi_pca_1_yoy_change,filled_from_derived_history,78.0
wind_3yr_sum_lag1,filled_from_derived_history,78.0
wind_3yr_sum_lag2,filled_from_derived_history,78.0
wind_3yr_sum_roll3_mean,filled_from_derived_history,78.0
wind_3yr_sum_yoy_change,filled_from_derived_history,78.0
seismic_3yr_sum_lag1,filled_from_derived_history,78.0
seismic_3yr_sum_lag2,filled_from_derived_history,78.0
seismic_3yr_sum_roll3_mean,filled_from_derived_history,78.0
seismic_3yr_sum_yoy_change,filled_from_derived_history,78.0
income_growth_lag1,filled_from_derived_history,78.0
income_growth_lag2,filled_from_derived_history,78.0
income_growth_roll3_mean,filled_from_derived_history,78.0
income_growth_yoy_change,filled_from_derived_history,78.0
establishment_growth_lag1,filled_from_derived_history,78.0
establishment_growth_lag2,filled_from_derived_history,78.0
establishment_growth_roll3_mean,filled_from_derived_history,78.0
establishment_growth_yoy_change,filled_from_derived_history,78.0
lag_total_crime_rate_lag1,filled_from_derived_history,78.0
lag_total_crime_rate_lag2,filled_from_derived_history,78.0
lag_total_crime_rate_roll3_mean,filled_from_derived_history,78.0
lag_total_crime_rate_yoy_change,filled_from_derived_history,78.0
total_population_lag1,filled_from_derived_history,78.0
total_population_lag2,filled_from_derived_history,78.0
total_population_roll3_mean,filled_from_derived_history,78.0
total_population_yoy_change,filled_from_derived_history,78.0
