transformed_feature,feature_block,feature,coefficient,abs_coefficient,is_active
num__target_pop_change_3y_avg_lag1,num,target_pop_change_3y_avg_lag1,0.6860984960394125,0.6860984960394125,True
num__target_pop_change_3y_avg_yoy_change,num,target_pop_change_3y_avg_yoy_change,0.67808201478604,0.67808201478604,True
num__year,num,year,-0.22180629237703248,0.22180629237703248,True
num__natural_change_rate_pr_lag1,num,natural_change_rate_pr_lag1,-0.08162353338888308,0.08162353338888308,True
num__lag_pop_change_1,num,lag_pop_change_1,0.0,0.0,False
num__lag_pop_change_2,num,lag_pop_change_2,0.0,0.0,False
num__total_population,num,total_population,-0.0,0.0,False
num__svi_pca_1,num,svi_pca_1,0.0,0.0,False
num__wind_3yr_sum,num,wind_3yr_sum,-0.0,0.0,False
num__seismic_3yr_sum,num,seismic_3yr_sum,-0.0,0.0,False
num__wind_3yr_x_svi,num,wind_3yr_x_svi,-0.0,0.0,False
num__seismic_3yr_x_svi,num,seismic_3yr_x_svi,-0.0,0.0,False
num__income_growth,num,income_growth,0.0,0.0,False
num__establishment_growth,num,establishment_growth,0.0,0.0,False
num__lag_total_crime_rate,num,lag_total_crime_rate,-0.0,0.0,False
num__natural_change_rate_pr_roll3_mean,num,natural_change_rate_pr_roll3_mean,0.0,0.0,False
num__birth_rate_pr_lag1,num,birth_rate_pr_lag1,-0.0,0.0,False
num__death_rate_pr_lag1,num,death_rate_pr_lag1,0.0,0.0,False
num__target_pop_change_3y_avg_lag2,num,target_pop_change_3y_avg_lag2,0.0,0.0,False
num__target_pop_change_3y_avg_roll3_mean,num,target_pop_change_3y_avg_roll3_mean,0.0,0.0,False
num__svi_pca_1_lag1,num,svi_pca_1_lag1,-0.0,0.0,False
num__svi_pca_1_lag2,num,svi_pca_1_lag2,-0.0,0.0,False
num__svi_pca_1_roll3_mean,num,svi_pca_1_roll3_mean,-0.0,0.0,False
num__svi_pca_1_yoy_change,num,svi_pca_1_yoy_change,0.0,0.0,False
num__wind_3yr_sum_lag1,num,wind_3yr_sum_lag1,0.0,0.0,False
num__wind_3yr_sum_lag2,num,wind_3yr_sum_lag2,-0.0,0.0,False
num__wind_3yr_sum_roll3_mean,num,wind_3yr_sum_roll3_mean,0.0,0.0,False
num__wind_3yr_sum_yoy_change,num,wind_3yr_sum_yoy_change,-0.0,0.0,False
num__seismic_3yr_sum_lag1,num,seismic_3yr_sum_lag1,-0.0,0.0,False
num__seismic_3yr_sum_lag2,num,seismic_3yr_sum_lag2,0.0,0.0,False
num__seismic_3yr_sum_roll3_mean,num,seismic_3yr_sum_roll3_mean,-0.0,0.0,False
num__seismic_3yr_sum_yoy_change,num,seismic_3yr_sum_yoy_change,0.0,0.0,False
num__income_growth_lag1,num,income_growth_lag1,0.0,0.0,False
num__income_growth_lag2,num,income_growth_lag2,0.0,0.0,False
num__income_growth_roll3_mean,num,income_growth_roll3_mean,0.0,0.0,False
num__income_growth_yoy_change,num,income_growth_yoy_change,0.0,0.0,False
num__establishment_growth_lag1,num,establishment_growth_lag1,0.0,0.0,False
num__establishment_growth_lag2,num,establishment_growth_lag2,0.0,0.0,False
num__establishment_growth_roll3_mean,num,establishment_growth_roll3_mean,0.0,0.0,False
