region,year,p05,p10,p25,p50,p75,p90,p95,observed_population,abs_error,pct_error
Central Mountains,2018,395284.6942625786,395395.2181916973,395929.3193289691,396818.67526240984,397677.73276550166,398457.1811628618,398874.9747942248,404200.0,-7381.324737590156,-1.8261565407199791
Central Mountains,2019,375068.5984126742,375609.2067776841,377077.06714091386,378479.79040741816,380199.3756967997,382256.1388904903,382781.99504040444,396616.0,-18136.209592581843,-4.572737759591606
Central Mountains,2020,357477.9746755519,358370.61423940776,360468.49869099114,362410.884032342,365406.92307567346,367805.53955905465,368538.8906404409,389848.0,-27437.115967658,-7.037900917192855
Central Mountains,2021,341324.89097460103,342827.3814173199,345480.4841882142,347645.0517698635,351651.0859084077,354685.56175953936,355662.5090957766,400440.0,-52794.94823013648,-13.184234399694455
East,2018,598334.8984613618,599192.9500106913,600782.515417213,601752.6768246959,603193.4233962694,604137.4561551274,604460.2432586487,613537.0,-11784.323175304104,-1.9207192354013047
East,2019,567421.790427572,568746.5986622184,571775.4239932654,573717.0452606791,576412.3369307148,578106.9378576729,579320.533654723,603974.0,-30256.954739320907,-5.009645239583311
East,2020,538838.3877856595,541773.7422394773,546144.6948124951,549154.77120733,552754.1287512317,555405.5102219245,557157.1628510151,595309.0,-46154.22879266995,-7.75298690136886
East,2021,514311.57415575534,518165.36097741115,522498.8967096611,527203.3866098234,531653.8415343544,535249.9462952479,537638.1606019455,582876.0,-55672.61339017656,-9.551364851216478
Metro,2018,995869.2265103719,998769.6465583622,1002070.3161937781,1004199.0427518417,1007966.5648871085,1011548.0540824326,1013280.6131973265,1019476.0,-15276.957248158287,-1.4985107298414369
Metro,2019,940686.1872469845,944508.7933729911,950398.6778836802,957893.2514932957,965078.6971978592,971332.1904408406,977676.7909138395,995659.0,-37765.748506704345,-3.793040439217076
Metro,2020,890313.1674670215,895416.0490803974,905872.8593061999,915483.2417716463,927417.4006749538,936741.1387824471,946137.7426787143,973505.0,-58021.75822835369,-5.960088364040625
Metro,2021,846175.7012704883,853160.5808172099,864753.5812946846,878369.294850591,892126.641853837,905642.0391730748,919156.9010816817,1012017.0,-133647.705149409,-13.206073134088559
North,2018,379744.59765533905,380565.28640856326,381833.4187974501,382628.61247505364,383302.4529030422,384174.8496666676,384709.14099641895,388094.0,-5465.38752494636,-1.408263854877004
North,2019,361232.16431367164,363273.4709361175,365112.6233222347,367016.6520374883,368958.3306301276,370153.45099700784,371010.8617173006,381280.0,-14263.347962511703,-3.740911656135046
North,2020,345303.4765313335,347164.2567217422,350198.0568989613,353035.8671021754,356191.9000623281,358212.6151062694,359236.4299164233,375181.0,-22145.132897824573,-5.902519823185228
North,2021,331399.43743109866,333024.67902225314,336419.1273407289,340328.5258076859,344150.44915482856,346785.8076838128,348764.6012996198,383940.0,-43611.47419231408,-11.358929570327156
South,2018,447106.9476654742,447754.4027189943,448708.22864660854,449652.1944126687,450483.66069878207,451337.3863436711,452129.31387780234,457425.0,-7772.805587331299,-1.6992524648480731
South,2019,422652.9167112452,423665.5583194461,425482.3692279367,427734.53791137785,429473.40423336474,431364.40778565395,432381.8527961566,446946.0,-19211.462088622153,-4.298385507113197
South,2020,401096.28268674755,402420.43736738805,405375.0549307602,408196.5951676781,411205.68598559167,414925.9552683166,415898.0687398566,437371.0,-29174.404832321918,-6.670402205981174
South,2021,382291.6045271744,384035.1643926801,387063.5343588147,391287.96871895785,395253.64491659147,399793.527320688,401053.47440116416,433474.0,-42186.031281042146,-9.732078805428271
West,2018,493396.5849551099,494218.91625154426,494915.4908859987,496105.80420732684,497067.3582627529,497938.34573235933,498351.51098133856,504209.0,-8103.195792673156,-1.6071105023260503
West,2019,469122.44516016403,470525.5151200871,472506.09243082517,474262.0137775128,475890.85913164937,477409.0046280438,479037.27151879744,493972.0,-19709.986222487176,-3.9901019131625226
West,2020,446949.25722346967,449163.4975434363,452048.6428935746,454821.3558232129,457723.88734752545,460959.1117197013,461950.36144112895,484428.0,-29606.644176787115,-6.111670707883754
West,2021,427539.59807882353,430285.3978885568,433301.1128621063,437555.3791462521,441430.0399644673,444818.83750647295,446723.1619298492,498527.0,-60971.62085374788,-12.23035479597853
