scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,Metro,834186.7967727137,853573.4886306203,-19386.69185790664,-2.271238752858705
earthquake_m6_0,West,411514.54535098525,423128.3641478759,-11613.818796890671,-2.7447507141903267
earthquake_m6_0,East,481827.9307570569,493026.12960381317,-11198.198846756248,-2.2713195456303534
earthquake_m6_0,South,349804.30558756075,360559.50191759854,-10755.196330037783,-2.982918567625421
earthquake_m6_0,Central Mountains,334552.8759945743,343158.4535760998,-8605.577581525547,-2.5077562542451397
earthquake_m6_0,North,321131.43016175675,328198.75240361365,-7067.322241856891,-2.15336657744683
earthquake_m6_5,Metro,821458.0132245447,853573.4886306203,-32115.475406075595,-3.7624733937786825
earthquake_m6_5,West,403913.80330472393,423128.3641478759,-19214.560843151994,-4.541071332300674
earthquake_m6_5,East,474475.46107133594,493026.12960381317,-18550.668532477226,-3.762613666619294
earthquake_m6_5,South,342776.98310794146,360559.50191759854,-17782.51880965708,-4.931923500859798
earthquake_m6_5,Central Mountains,328911.7620569659,343158.4535760998,-14246.691519133921,-4.151636473083282
earthquake_m6_5,North,316487.47568555956,328198.75240361365,-11711.276718054083,-3.5683489447430135
earthquake_m6_8,Metro,808884.1172571424,853573.4886306203,-44689.37137347786,-5.235562253130961
earthquake_m6_8,West,396425.0530957524,423128.3641478759,-26703.31105212355,-6.310924370645881
earthquake_m6_8,East,467212.4334709141,493026.12960381317,-25813.696132899087,-5.235766338316085
earthquake_m6_8,South,335862.3173329602,360559.50191759854,-24697.184584638337,-6.849683465083823
earthquake_m6_8,Central Mountains,323346.502246554,343158.4535760998,-19811.951329545816,-5.773411997601353
earthquake_m6_8,North,311897.05482297984,328198.75240361365,-16301.697580633801,-4.967019972271628
earthquake_m7_2,Metro,796463.7002690264,853573.4886306203,-57109.78836159385,-6.690670354958486
earthquake_m7_2,West,389047.06102168537,423128.3641478759,-34081.303126190556,-8.054601396156874
earthquake_m7_2,East,460038.03502040065,493026.12960381317,-32988.094583412516,-6.690942447598294
earthquake_m7_2,South,329058.95754829596,360559.50191759854,-31500.544369302574,-8.736573076501985
earthquake_m7_2,Central Mountains,317856.33422349,343158.4535760998,-25302.11935260985,-7.3733049816879355
earthquake_m7_2,North,307359.7065474362,328198.75240361365,-20839.045856177458,-6.349520131798042
earthquake_m7_5,Metro,796463.7002690264,853573.4886306203,-57109.78836159385,-6.690670354958486
earthquake_m7_5,West,389047.06102168537,423128.3641478759,-34081.303126190556,-8.054601396156874
earthquake_m7_5,East,460038.03502040065,493026.12960381317,-32988.094583412516,-6.690942447598294
earthquake_m7_5,South,329058.95754829596,360559.50191759854,-31500.544369302574,-8.736573076501985
earthquake_m7_5,Central Mountains,317856.33422349,343158.4535760998,-25302.11935260985,-7.3733049816879355
earthquake_m7_5,North,307359.7065474362,328198.75240361365,-20839.045856177458,-6.349520131798042
hurricane_cat1,Metro,835589.6971683867,853573.4886306203,-17983.79146223364,-2.106882617814766
hurricane_cat1,East,480580.28164041246,493026.12960381317,-12445.847963400709,-2.524378976303338
hurricane_cat1,West,414210.9649327484,423128.3641478759,-8917.399215127516,-2.10749265960602
hurricane_cat1,South,352199.91126436525,360559.50191759854,-8359.590653233288,-2.3185051590025134
hurricane_cat1,Central Mountains,335569.94918547384,343158.4535760998,-7588.504390625982,-2.2113703776040396
