year,wind_3yr_sum,seismic_3yr_sum,hurricane_event,earthquake_event
2010,0.8486031864072927,16444.98138585472,1.0,1.0
2011,4.6241909035459265,23118.62767004141,1.0,1.0
2012,4.629865619625722,26559.672135174722,0.5,1.0
2013,4.374665245583212,14111.897008256605,1.0,1.0
2014,1.1142157083963502,25796.590910972558,1.0,1.0
2015,1.7567471767514933,27420.986284175116,1.0,1.0
2016,1.1633443643867105,31087.02749838584,0.0,1.0
2017,11.10960620122578,19023.72344486894,1.0,1.0
2018,10.732607464699113,21185.501292338406,1.0,1.0
2019,13.994300640384804,29468.310486178754,1.0,1.0
2020,4.790122524901098,262876.2884054665,1.0,1.0
2021,5.40858251716344,285753.04582642805,1.0,1.0
2022,5.749968511455649,296827.42853362515,1.0,1.0
2023,4.705369862912833,79854.4789994448,1.0,1.0
2024,3.81570242274222,65212.30999474662,0.0,1.0
