year,target_pop_change,target_pop_change_1y,target_pop_change_2y_avg,target_pop_change_3y_avg
2010,,-0.412055898689367,-0.5471761382213715,-0.6299133579924093
2011,-0.412055898689367,-0.6778856345045001,-0.738174470553801,-0.8180273802361386
2012,-0.6778856345045001,-0.7922990875598602,-0.8799014048366567,-1.051108188292535
2013,-0.7922990875598602,-0.9632676191351581,-1.1792042972632353,-1.246373678243787
2014,-0.9632676191351581,-1.3922294799857995,-1.3857217362657686,-1.4487110557183287
2015,-1.3922294799857995,-1.3791209339690889,-1.4769265126265538,-1.7603022637241306
2016,-1.3791209339690889,-1.5744149181583524,-1.9501213660978531,-1.9290103789577684
2017,-1.5744149181583524,-2.32041445079622,-2.1052560415792985,-1.9729084396805787
2018,-2.32041445079622,-1.8848457711072537,-1.7941440505976836,-0.9879136214877992
2019,-1.8848457711072537,-1.7026224108670074,-0.5242055197769244,-0.7855549002582881
2020,-1.7026224108670074,0.7459492088053807,-0.3043066059513808,-0.3656642023253174
2021,0.7459492088053807,-1.2918666696916274,-0.8801611970336535,-0.7769579305916637
2022,-1.2918666696916274,-0.45842967737984053,-0.5127700627754979,
2023,-0.45842967737984053,-0.567062506924432,,
2024,-0.567062506924432,,,
