scenario,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,2379985.5635795994,2863598.256697273,-483612.6931176735,-16.888287034908576
hurricane_cat4,2527691.391763679,2863598.256697273,-335906.86493359366,-11.730237094117083
hurricane_cat3,2647563.302895937,2863598.256697273,-216034.95380133577,-7.544178143567505
earthquake_m7_2,2653540.072042432,2863598.256697273,-210058.18465484073,-7.335462792784036
earthquake_m7_5,2653540.072042432,2863598.256697273,-210058.18465484073,-7.335462792784036
earthquake_m6_8,2699110.05967721,2863598.256697273,-164488.1970200627,-5.7441087148088625
hurricane_cat2,2735934.3092629155,2863598.256697273,-127663.94743435737,-4.458165426514766
earthquake_m6_5,2745308.65097752,2863598.256697273,-118289.60571975308,-4.130803105606798
earthquake_m6_0,2792142.379192602,2863598.256697273,-71455.87750467099,-2.4953178169302466
hurricane_cat1,2799184.6423292267,2863598.256697273,-64413.61436804617,-2.2493942443706305
