scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,Metro,852446.5155663791,872654.0384943262,-20207.52292794711,-2.315639650601181
earthquake_m6_0,West,420601.8550658185,432700.03338873613,-12098.178322917607,-2.795973512682549
earthquake_m6_0,East,492423.6777808746,504089.95392130024,-11666.276140425645,-2.314324268848058
earthquake_m6_0,South,357538.7312829994,368745.11508925306,-11206.383806253667,-3.0390595963667786
earthquake_m6_0,Central Mountains,341957.0400473931,350925.69941587886,-8968.659368485736,-2.5557146095068575
earthquake_m6_0,North,328126.25820259575,335487.2392543479,-7360.981051752169,-2.1941165536169556
earthquake_m6_5,Metro,839182.9440286781,872654.0384943262,-33471.09446564806,-3.835551431515627
earthquake_m6_5,West,412687.71398924035,432700.03338873613,-20012.319399495784,-4.624986793453004
earthquake_m6_5,East,484766.21805783745,504089.95392130024,-19323.73586346279,-3.8333903925567334
earthquake_m6_5,South,350219.5516114135,368745.11508925306,-18525.563477839576,-5.023948174433592
earthquake_m6_5,Central Mountains,336079.9331054477,350925.69941587886,-14845.76631043118,-4.230458565771097
earthquake_m6_5,North,323290.7387585929,335487.2392543479,-12196.500495754997,-3.6354588397647767
earthquake_m6_8,Metro,826084.0638523842,872654.0384943262,-46569.97464194195,-5.336590743600247
earthquake_m6_8,West,404892.47620893875,432700.03338873613,-27807.557179797383,-6.426520691949006
earthquake_m6_8,East,477203.76877668285,504089.95392130024,-26886.185144617397,-5.333608602089884
earthquake_m6_8,South,343020.0416004106,368745.11508925306,-25725.073488842463,-6.976383533274964
earthquake_m6_8,Central Mountains,330283.4526684348,350925.69941587886,-20642.246747444035,-5.882227144322393
earthquake_m6_8,North,318512.0732753184,335487.2392543479,-16975.165979029494,-5.059854442380105
earthquake_m7_2,Metro,813148.345437581,872654.0384943262,-59505.69305674522,-6.818932868220734
earthquake_m7_2,West,397214.8047502168,432700.03338873613,-35485.22863851936,-8.200884192361398
