municipio,region,year,total_population,policy_package,predicted_target,policy_intensity,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Adjuntas,Central Mountains,2024,17960.0,baseline,-0.9024586516057509,1.0,-0.9024586516057509,0.0,0.0
Aguada,West,2024,37758.0,baseline,-1.1391544878557884,1.0,-1.1391544878557884,0.0,0.0
Aguadilla,West,2024,54137.0,baseline,-1.3760643177940752,1.0,-1.3760643177940752,0.0,0.0
Aguas Buenas,Central Mountains,2024,23614.0,baseline,-1.7346220298719508,1.0,-1.7346220298719508,0.0,0.0
Aibonito,Central Mountains,2024,24636.0,baseline,-0.7656238152337702,1.0,-0.7656238152337702,0.0,0.0
Anasco,West,2024,25094.0,baseline,-1.477242760984962,1.0,-1.477242760984962,0.0,0.0
Arecibo,North,2024,86467.0,baseline,-1.273984422852209,1.0,-1.273984422852209,0.0,0.0
Arroyo,South,2024,15341.0,baseline,-2.0295442787536384,1.0,-2.0295442787536384,0.0,0.0
Barceloneta,North,2024,22494.0,baseline,-1.0283393624654158,1.0,-1.0283393624654158,0.0,0.0
Barranquitas,Central Mountains,2024,29054.0,baseline,-0.6799285095950736,1.0,-0.6799285095950736,0.0,0.0
Bayamon,Metro,2024,182469.0,baseline,-1.3358704247787252,1.0,-1.3358704247787252,0.0,0.0
Cabo Rojo,West,2024,46876.0,baseline,-0.9788287345264305,1.0,-0.9788287345264305,0.0,0.0
Caguas,East,2024,125586.0,baseline,-1.278250073485681,1.0,-1.278250073485681,0.0,0.0
Camuy,North,2024,32734.0,baseline,-0.9203640320056288,1.0,-0.9203640320056288,0.0,0.0
Canovanas,East,2024,41816.0,baseline,-1.2496836437807302,1.0,-1.2496836437807302,0.0,0.0
Carolina,Metro,2024,152204.0,baseline,-1.4178011023703043,1.0,-1.4178011023703043,0.0,0.0
Catano,Metro,2024,22467.0,baseline,-1.9630459682404542,1.0,-1.9630459682404542,0.0,0.0
Cayey,Central Mountains,2024,40917.0,baseline,-1.4614547668226348,1.0,-1.4614547668226348,0.0,0.0
Ceiba,East,2024,10995.0,baseline,-1.8833568342914937,1.0,-1.8833568342914937,0.0,0.0
Ciales,Central Mountains,2024,16805.0,baseline,-1.1775290623320578,1.0,-1.1775290623320578,0.0,0.0
Cidra,Central Mountains,2024,39643.0,baseline,-1.0784940265940748,1.0,-1.0784940265940748,0.0,0.0
Coamo,South,2024,33998.0,baseline,-1.5469007042723855,1.0,-1.5469007042723855,0.0,0.0
