region,policy_package,mean_predicted_target,mean_delta_vs_baseline,approx_retained_residents,municipalities
Central Mountains,baseline,-1.1307705839058735,0.0,0.0,15
Central Mountains,family_demography_support,-1.1132432723866221,0.017527311519251295,69.20518734884216,15
Central Mountains,jobs_push,-0.8361070960355179,0.29466348787035557,1163.4552087770694,15
Central Mountains,public_safety,-0.9288671706897159,0.20190341321615743,797.1994748109403,15
Central Mountains,resilience_and_vulnerability,-0.95397249118366,0.17679809272221336,698.0731252662416,15
Central Mountains,retention_bundle,-0.709436445954307,0.4213341379515665,1663.604136970724,15
East,baseline,-1.2731703367878335,0.0,0.0,17
East,family_demography_support,-1.2556430252685824,0.017527311519251222,99.57160510217506,17
East,jobs_push,-0.9785068489174781,0.2946634878703557,1673.9655947822182,17
East,public_safety,-1.071266923571676,0.20190341321615765,1147.0011762761983,17
East,resilience_and_vulnerability,-1.0963722440656205,0.1767980927222134,1004.3793568693306,17
East,retention_bundle,-0.8518361988362673,0.4213341379515665,2393.573957654572,17
Metro,baseline,-1.4151091556798079,0.0,0.0,8
Metro,family_demography_support,-1.3975818441605568,0.017527311519251187,173.36702006479345,8
Metro,jobs_push,-1.1204456678094525,0.29466348787035535,2914.5902243976525,8
Metro,public_safety,-1.2132057424636504,0.20190341321615746,1997.0771359743176,8
Metro,resilience_and_vulnerability,-1.2383110629575944,0.17679809272221345,1748.754134638595,8
Metro,retention_bundle,-0.9937750177282414,0.4213341379515665,4167.521292013433,8
North,baseline,-1.116505220188861,0.0,0.0,10
North,family_demography_support,-1.0989779086696099,0.017527311519251243,66.31616059112373,10
North,jobs_push,-0.8218417323185054,0.2946634878703557,1114.8858260713987,10
North,public_safety,-0.9146018069727034,0.20190341321615762,763.9197352105216,10
North,resilience_and_vulnerability,-0.9397071274666476,0.1767980927222134,668.9314956428393,10
North,retention_bundle,-0.6951710822372947,0.4213341379515665,1594.1556310121675,10
South,baseline,-1.8080847522628325,0.0,0.0,12
South,family_demography_support,-1.7905574407435811,0.017527311519251226,72.8506928717309,12
South,jobs_push,-1.5134212643924767,0.29466348787035573,1224.7422676192252,12
South,public_safety,-1.6061813390466748,0.2019034132161576,839.1933657257694,12
South,resilience_and_vulnerability,-1.6312866595406188,0.17679809272221347,734.8453605715351,12
South,retention_bundle,-1.386750614311266,0.42133413795156643,1751.2374243232698,12
West,baseline,-1.4099285918186066,0.0,0.0,16
West,family_demography_support,-1.3924012802993553,0.01752731151925136,85.57674794651433,16
West,jobs_push,-1.1152651039482508,0.2946634878703557,1438.6885862572542,16
West,public_safety,-1.2080251786024492,0.20190341321615746,985.7893769596246,16
West,resilience_and_vulnerability,-1.2331304990963932,0.17679809272221353,863.2131517543532,16
West,retention_bundle,-0.9885944538670399,0.4213341379515666,2057.155501865765,16
