municipio,region,predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Adjuntas,0.0,-0.7073578623040506,-0.015023409873643923,-2.6982044133064487
Mayagüez,0.0,-0.7073578623040506,-0.015023409873643923,-10.640780745304518
Peñuelas,0.0,-0.7073578623040506,-0.015023409873643923,-2.982597562214528
Patillas,0.0,-0.7073578623040506,-0.015023409873643923,-2.3380932786352036
Orocovis,0.0,-0.7073578623040506,-0.015023409873643923,-3.2013384099747837
Naranjito,0.0,-0.7073578623040506,-0.015023409873643923,-4.403361433965034
Naguabo,0.0,-0.7073578623040506,-0.015023409873643923,-3.46349691226987
Morovis,0.0,-0.7073578623040506,-0.015023409873643923,-4.2661977018186645
Moca,0.0,-0.7073578623040506,-0.015023409873643923,-5.6223609111125015
Maunabo,0.0,-0.7073578623040506,-0.015023409873643923,-1.5622843927602315
Quebradillas,0.0,-0.7073578623040506,-0.015023409873643923,-3.516830017321306
Maricao,0.0,-0.7073578623040506,-0.015023409873643923,-0.7493676844973589
Manatí,0.0,-0.7073578623040506,-0.015023409873643923,-5.850566507093153
Luquillo,0.0,-0.7073578623040506,-0.015023409873643923,-2.6339042190472526
Loíza,0.0,-0.7073578623040506,-0.015023409873643923,-3.4205299600312484
Las Piedras,0.0,-0.7073578623040506,-0.015023409873643923,-5.250831984937287
Las Marías,0.0,-0.7073578623040506,-0.015023409873643923,-1.3136469593514246
Lares,0.0,-0.7073578623040506,-0.015023409873643923,-4.184770820303514
Ponce,0.0,-0.7073578623040506,-0.015023409873643923,-19.945078948249673
Rincón,0.0,-0.7073578623040506,-0.015023409873643923,-2.3102999703689626
