region,policy_package,mean_predicted_target,mean_delta_vs_baseline,approx_retained_residents,municipalities
Central Mountains,baseline,-1.1307705839058735,0.0,0.0,15
Central Mountains,family_demography_support,-1.109652121128275,0.021118462777598258,83.48446238206348,15
Central Mountains,jobs_push,-0.8290167964966301,0.3017537874092433,1183.440077060494,15
Central Mountains,public_safety,-0.95140251870658,0.17936806519929352,712.6626525197413,15
Central Mountains,resilience_and_vulnerability,-0.9412783458063311,0.18949223809954238,724.5304677865803,15
Central Mountains,retention_bundle,-0.7259783651627899,0.40479221874308363,1578.065752585757,15
East,baseline,-1.2731703367878335,0.0,0.0,17
East,family_demography_support,-1.251455861679016,0.021714475108817737,122.48023002909241,17
East,jobs_push,-0.9784032599708276,0.29476707681700615,1678.2418254935292,17
East,public_safety,-1.0495609712550102,0.22360936553282343,1185.8612535069353,17
East,resilience_and_vulnerability,-1.1190982766667013,0.15407206012113253,811.6770244395984,17
East,retention_bundle,-0.870772548123507,0.40239778866432685,2163.721509938144,17
Metro,baseline,-1.4151091556798079,0.0,0.0,8
Metro,family_demography_support,-1.3936302652297157,0.02147889045009216,212.81023076502365,8
Metro,jobs_push,-1.1164765544226223,0.2986326012571855,3012.1287395247255,8
Metro,public_safety,-1.1869085220134579,0.22820063366635004,2609.814501452413,8
Metro,resilience_and_vulnerability,-1.295211120944816,0.11989803473499194,1092.4093833671973,8
Metro,retention_bundle,-1.0551861261825863,0.3599230294972215,3606.1862611033625,8
North,baseline,-1.116505220188861,0.0,0.0,10
North,family_demography_support,-1.095689693656947,0.020815526531914187,79.29795724211856,10
North,jobs_push,-0.8337908566323131,0.2827143635565479,1094.7412725621855,10
North,public_safety,-0.890081109050311,0.2264241111385501,851.5817083556599,10
North,resilience_and_vulnerability,-0.9561762070427259,0.16032901314613518,596.8845907655833,10
North,retention_bundle,-0.7208676292434368,0.3956375909454243,1492.1871635884124,10
South,baseline,-1.8080847522628325,0.0,0.0,12
South,family_demography_support,-1.7857239488891017,0.02236080337373066,91.5973396938982,12
South,jobs_push,-1.523468288780084,0.28461646348274855,1251.4371814171964,12
South,public_safety,-1.6172398445565304,0.1908449077063018,771.7366636849467,12
South,resilience_and_vulnerability,-1.6098334252416173,0.19825132702121506,781.9755626343658,12
South,retention_bundle,-1.4036070253912936,0.4044777268715387,1664.5729121388938,12
West,baseline,-1.4099285918186066,0.0,0.0,16
West,family_demography_support,-1.388063787390219,0.02186480442838757,103.9933267416944,16
West,jobs_push,-1.1093007961858792,0.30062779563272746,1398.2854835538628,16
West,public_safety,-1.238905089232838,0.17102350258576865,829.207893221604,16
West,resilience_and_vulnerability,-1.204498443775781,0.20543014804282542,936.0441100450942,16
West,retention_bundle,-1.0007000538210935,0.409228537997513,1911.9703416553061,16
