region,scenario,endpoint_2030,gain_vs_baseline_2030,gain_vs_latest_observed
Central Mountains,Baseline decline,369488.64186834707,0.0,-25353.35813165293
Central Mountains,Retention bundle,371066.70762093284,1578.0657525857678,-23775.292379067163
Central Mountains,"Recovery bundle, model-implied",373562.72676826344,4074.084899916372,-21279.27323173656
Central Mountains,Recovery rebound sensitivity,397211.052,27722.410131652956,2369.052000000025
East,Baseline decline,531615.8881617376,0.0,-36478.11183826241
East,Retention bundle,533779.6096716757,2163.7215099381283,-34314.39032832428
East,"Recovery bundle, model-implied",537212.439989874,5596.551828136435,-30881.560010125977
East,Recovery rebound sensitivity,571502.564,39886.675838262425,3408.564000000013
Metro,Baseline decline,925611.8976401417,0.0,-63513.10235985834
Metro,Retention bundle,929218.083901245,3606.186261103372,-59906.91609875497
Metro,"Recovery bundle, model-implied",935021.9946104388,9410.096970297163,-54103.00538956118
Metro,Recovery rebound sensitivity,995059.75,69447.85235985834,5934.75
North,Baseline decline,354064.0383967915,0.0,-24294.961603208503
North,Retention bundle,355556.2255603799,1492.1871635884163,-22802.774439620087
North,"Recovery bundle, model-implied",357925.18613554747,3861.1477387559717,-20433.81386445253
North,Recovery rebound sensitivity,380629.154,26565.115603208484,2270.1539999999804
South,Baseline decline,388952.1089316781,0.0,-26688.891068321886
South,Retention bundle,390616.681843817,1664.5729121388867,-25024.318156183
South,"Recovery bundle, model-implied",393322.5815597673,4370.472628089192,-22318.418440232694
South,Recovery rebound sensitivity,418134.846,29182.737068321905,2493.8460000000196
West,Baseline decline,456896.9117138925,0.0,-31351.088286107522
West,Retention bundle,458808.8820555478,1911.9703416553093,-29439.117944452213
West,"Recovery bundle, model-implied",461936.7026309283,5039.7909170358325,-26311.29736907169
West,Recovery rebound sensitivity,491177.488,34280.576286107535,2929.488000000012
