feature_raw,importance_mean,importance_std,feature,base_driver,lag,driver_label,plot_label
lag_total_crime_rate_lag0,0.00029063021190692815,0.00031857834258354934,lag_total_crime_rate_lag0,lag_total_crime_rate,0,Crime,Crime (lag 0)
lag_total_crime_rate_lag1,0.00031921659158886675,0.0004592883998826659,lag_total_crime_rate_lag1,lag_total_crime_rate,1,Crime,Crime (lag 1)
lag_total_crime_rate_lag2,0.004225683967551364,0.0021679782453640434,lag_total_crime_rate_lag2,lag_total_crime_rate,2,Crime,Crime (lag 2)
lag_total_crime_rate_lag3,0.00421984130435501,0.001669521939625375,lag_total_crime_rate_lag3,lag_total_crime_rate,3,Crime,Crime (lag 3)
establishment_growth_lag0,0.002761004856152649,0.0017994131115207665,establishment_growth_lag0,establishment_growth,0,Establishment growth,Establishment growth (lag 0)
establishment_growth_lag1,0.002228839157066664,0.002156861042792068,establishment_growth_lag1,establishment_growth,1,Establishment growth,Establishment growth (lag 1)
establishment_growth_lag2,-0.0009324354857528694,0.001446225306328721,establishment_growth_lag2,establishment_growth,2,Establishment growth,Establishment growth (lag 2)
establishment_growth_lag3,-0.0007307201052979106,0.001386887477170363,establishment_growth_lag3,establishment_growth,3,Establishment growth,Establishment growth (lag 3)
income_growth_lag0,0.0017133723678662504,0.0011742912441798346,income_growth_lag0,income_growth,0,Income growth,Income growth (lag 0)
income_growth_lag1,0.0004428124460193028,0.00179174677479479,income_growth_lag1,income_growth,1,Income growth,Income growth (lag 1)
income_growth_lag2,0.001489973152909152,0.0006427873382797871,income_growth_lag2,income_growth,2,Income growth,Income growth (lag 2)
income_growth_lag3,0.002340066997727519,0.0008160970728366481,income_growth_lag3,income_growth,3,Income growth,Income growth (lag 3)
svi_pca_1_lag0,0.0033168380143261955,0.0016588164807022905,svi_pca_1_lag0,svi_pca_1,0,SVI,SVI (lag 0)
svi_pca_1_lag1,0.002600668064471645,0.0009706425025654299,svi_pca_1_lag1,svi_pca_1,1,SVI,SVI (lag 1)
svi_pca_1_lag2,0.0035844357836042674,0.0009388957830294255,svi_pca_1_lag2,svi_pca_1,2,SVI,SVI (lag 2)
svi_pca_1_lag3,0.0027831503225542176,0.0010898151684451277,svi_pca_1_lag3,svi_pca_1,3,SVI,SVI (lag 3)
seismic_3yr_sum_lag0,0.0046137924333152554,0.002633840328850629,seismic_3yr_sum_lag0,seismic_3yr_sum,0,Seismic exposure,Seismic exposure (lag 0)
seismic_3yr_sum_lag1,0.01275360291719796,0.005241830827405088,seismic_3yr_sum_lag1,seismic_3yr_sum,1,Seismic exposure,Seismic exposure (lag 1)
seismic_3yr_sum_lag2,0.0019575085221879007,0.003186449350900402,seismic_3yr_sum_lag2,seismic_3yr_sum,2,Seismic exposure,Seismic exposure (lag 2)
seismic_3yr_sum_lag3,0.0006305755654293033,0.00030730059198320176,seismic_3yr_sum_lag3,seismic_3yr_sum,3,Seismic exposure,Seismic exposure (lag 3)
wind_3yr_sum_lag0,-0.005830523916810859,0.0017016268242608836,wind_3yr_sum_lag0,wind_3yr_sum,0,Wind exposure,Wind exposure (lag 0)
wind_3yr_sum_lag1,0.10963017320513743,0.0283874879235496,wind_3yr_sum_lag1,wind_3yr_sum,1,Wind exposure,Wind exposure (lag 1)
wind_3yr_sum_lag2,7.755417564722089e-05,6.537025761661967e-05,wind_3yr_sum_lag2,wind_3yr_sum,2,Wind exposure,Wind exposure (lag 2)
wind_3yr_sum_lag3,-8.287841966218013e-05,6.185095326853998e-05,wind_3yr_sum_lag3,wind_3yr_sum,3,Wind exposure,Wind exposure (lag 3)
