feature,mean_abs_shap,feature_pretty
seismic_3yr_sum,0.13770627160994173,3-year earthquake exposure
region_South,0.10633093839032863,Region: South
region_East,0.1029224004208552,Region: East
lag_pop_change_1,0.09228957544764446,Lagged population change (t-1)
wind_3yr_sum,0.029415988224322016,3-year hurricane exposure
lag_pop_change_2,0.0242229797317745,Lagged population change (t-2)
seismic_3yr_x_svi,0.015914809259768875,Earthquake × vulnerability
region_North,0.015087246141690706,Region: North
establishment_growth,0.013630879043798684,Establishment growth
region_Metro,0.012992578031813763,Region: Metro
income_growth,0.012739711459078734,Income growth
wind_3yr_x_svi,0.010714175175870732,Hurricane × vulnerability
lag_total_crime_rate,0.010144738561672676,Lagged crime rate
region_Central Mountains,0.009602394936717586,Region: Central Mountains
svi_pca_1,0.008587673411296558,Social vulnerability (PCA)
region_West,0.007819358179420186,Region: West
