scenario,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,2860116.811695253,2978438.0367121017,-118321.22501684865,-3.97259313634953
hurricane_cat4,2902221.102615893,2978438.0367121017,-76216.93409620877,-2.5589565119959543
earthquake_m7_2,2924767.6824631123,2978438.0367121017,-53670.35424898937,-1.8019630956713166
earthquake_m7_5,2924767.6824631123,2978438.0367121017,-53670.35424898937,-1.8019630956713166
hurricane_cat3,2932527.735144919,2978438.0367121017,-45910.301567182876,-1.5414220810134183
earthquake_m6_8,2937325.1053076107,2978438.0367121017,-41112.931404490955,-1.380352080444001
earthquake_m6_5,2949940.399861888,2978438.0367121017,-28497.636850213632,-0.9567980431002077
hurricane_cat2,2953203.3917112965,2978438.0367121017,-25234.645000805147,-0.8472442498304137
earthquake_m6_0,2961170.6528891684,2978438.0367121017,-17267.383822933305,-0.5797462834578481
hurricane_cat1,2964963.131082196,2978438.0367121017,-13474.905629905872,-0.45241517412196436
