region,year,p05,p10,p25,p50,p75,p90,p95,observed_population
Central Mountains,2018,400339.2859172702,400564.6651584847,401211.07633706444,402407.80296694295,403516.7816050622,404631.78077013156,405072.93558778387,404200.0
Central Mountains,2019,393598.57168970443,394039.8035869219,395372.2953731584,396721.4366289954,397999.04602832376,399328.8189188058,400160.7935418414,396616.0
Central Mountains,2020,391370.2881131848,391814.78368831595,393021.6911550622,394265.9373090928,396034.4780876816,397344.098208677,398262.0525996657,389848.0
Central Mountains,2021,386985.2739911882,387415.2321233041,388381.48943875264,390325.4999166311,391858.5551051268,393408.2433567025,394728.9372860206,400440.0
East,2018,597787.1721176341,598948.5254194959,601051.5252731564,602389.5113834264,604252.2261777851,605637.6823407761,606082.7117835323,613537.0
East,2019,580250.8669492832,582060.6976907155,584799.7290552054,586885.5659625388,589075.2409827961,590726.1277566353,591996.3249101418,603974.0
East,2020,572795.3346048389,574680.9359717222,577222.0281307254,579498.4632360473,581905.3870908036,584592.6306216451,586117.1233654949,595309.0
East,2021,565276.3299888799,566477.887991485,568729.9005037488,571517.6888081892,574551.3766529823,576966.2427489018,577653.3765902608,582876.0
Metro,2018,1015202.4677690982,1019118.5868442073,1022856.5691467639,1025953.6728732941,1030825.7210428352,1035098.8114364183,1037511.9964103311,1019476.0
Metro,2019,997547.7664236432,999494.1350327857,1004917.0637304592,1011607.7348408923,1018135.8944204428,1023126.8568926663,1026565.5232473175,995659.0
Metro,2020,986242.0243311768,991051.3504861549,996159.9000847131,1002293.9349586314,1007911.5100256487,1016488.9245716792,1018413.5224246724,973505.0
Metro,2021,977399.2770064734,979414.1551433188,984110.8647692869,991090.3806072262,999235.1855241307,1006997.2176314412,1009020.831911738,1012017.0
North,2018,383928.1891872567,384929.22421217215,386565.18240346416,387717.108100745,388653.52846083365,389706.81564394303,390480.24790239515,388094.0
North,2019,377385.00134665245,378404.00745793845,379874.02339004655,381664.82159105875,383500.3614956751,384731.4863961525,385416.26363145834,381280.0
North,2020,374854.85361137486,375736.91251105774,376941.29605361493,379026.0856069011,380636.45176290773,382261.5241110239,383107.4751023374,375181.0
North,2021,370100.94577727,370902.2424804706,372640.81463830016,374690.03756949457,376788.2913004853,378801.5032765352,379335.5460564175,383940.0
South,2018,447862.3430233444,448823.1829728531,450261.6710934625,451475.703388434,452668.38005501445,453813.9293735436,454913.2475520953,457425.0
South,2019,434173.3025709198,434948.31374993775,436503.35203778895,438807.94070870336,440584.73195950955,442570.64082021225,443146.50536876055,446946.0
South,2020,425742.11340624635,426517.7928508373,428818.10019976884,430899.1491959209,433397.4953841403,435904.053883641,436797.6591373262,437371.0
South,2021,418485.2439952962,419676.8487499256,421386.6826846882,423929.14294751815,426628.18305123877,429551.7275378056,430170.1953675397,433474.0
West,2018,499966.58509542485,501150.58648308803,502148.78302516515,503835.04938606767,505067.70340541424,506195.07039531367,506778.8114923629,504209.0
West,2019,491320.3218329935,492779.08014447277,494474.16625615524,495833.1141728812,497187.2929261561,499047.1028452006,499784.4078289963,493972.0
West,2020,486558.40053940663,487822.10888514936,489205.26050118526,491531.9498237064,493313.0605019694,495038.1670690184,496245.6663288897,484428.0
West,2021,480189.1958620631,481251.07527543954,483021.9093944312,485434.5028398787,487388.50925528014,489693.32144424896,490313.5791691123,498527.0
