municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Adjuntas,Central Mountains,2030,16220.424797908949,16389.88200308321,16586.512169787922,16763.24403947364,17029.49185805471,17200.610662381816,17277.253668753434,baseline,16763.24403947364,0.0,0.0
Aguada,West,2030,33863.440725206914,34159.46368642449,34614.67217164031,35062.05450983974,35514.02396539204,35911.15230182111,36279.221774171936,baseline,35062.05450983974,0.0,0.0
Aguadilla,West,2030,47285.864197819166,48076.750271747085,49386.87452705244,50400.442917010456,51475.83514105112,52861.80430614057,53491.903205095805,baseline,50400.442917010456,0.0,0.0
Aguas Buenas,Central Mountains,2030,21474.987770491523,21577.605215091953,21872.02461712084,22080.670549273622,22306.471830772218,22482.905088059953,22662.746021138308,baseline,22080.670549273622,0.0,0.0
Aibonito,Central Mountains,2030,21304.83549087922,21506.24881811226,22152.294416291938,22867.330605295763,23546.905810124856,24115.602182783492,24567.855536871837,baseline,22867.330605295763,0.0,0.0
Arecibo,North,2030,76973.70947441843,77763.66015558671,79263.52639131472,80689.11899703197,82338.57266282309,83751.36312005711,84591.4933917292,baseline,80689.11899703197,0.0,0.0
Arroyo,South,2030,13121.019665188278,13258.326119947485,13507.542181464189,13806.294679763378,14124.089153203271,14447.88255240197,14566.48977397106,baseline,13806.294679763378,0.0,0.0
Añasco,West,2030,22889.73933483498,23022.38599608121,23203.45829475483,23440.507747586067,23731.13568573977,23925.69854276201,24082.247879601204,baseline,23440.507747586067,0.0,0.0
Barceloneta,North,2030,20245.359068207617,20394.077447952997,20682.941796501647,20925.354861224136,21248.25520325118,21500.144192488413,21735.7128331029,baseline,20925.354861224136,0.0,0.0
Barranquitas,Central Mountains,2030,25929.69890791535,26165.791791172185,26599.306218015532,27084.886572337047,27482.948057508514,27830.564438559315,28129.17690640563,baseline,27084.886572337047,0.0,0.0
Bayamón,Metro,2030,159456.05705491654,160810.0419187694,163508.18068547896,168400.82569344994,173236.84826584542,176339.0361613687,177691.5674778805,baseline,168400.82569344994,0.0,0.0
Cabo Rojo,West,2030,42644.41338464806,42882.47404427511,43264.42143963483,43726.58439435572,44146.879748286505,44404.69884579431,44649.69803960753,baseline,43726.58439435572,0.0,0.0
Caguas,East,2030,109159.49989292536,110054.76823336484,111290.57598975937,112879.85262330543,114143.40926659494,115168.12639402488,115830.61661257259,baseline,112879.85262330543,0.0,0.0
Camuy,North,2030,29087.453861374688,29350.59033784004,29902.549223675247,30481.28791056414,31175.57779524384,31694.6119832394,32010.438223701763,baseline,30481.28791056414,0.0,0.0
Canóvanas,East,2030,35608.30812099841,36078.829471664576,36705.27463231169,37361.72981237517,37984.91236907277,38636.71949857019,38883.627913459815,baseline,37361.72981237517,0.0,0.0
Carolina,Metro,2030,135021.78630644645,135947.98684720547,137458.50342223904,139659.4564176036,142649.652779015,144890.58273577678,146214.5359285217,baseline,139659.4564176036,0.0,0.0
Cataño,Metro,2030,20299.402754798462,20437.9647143125,20609.27627866548,20851.2510626115,21053.32317496392,21203.117000333954,21335.904174029394,baseline,20851.2510626115,0.0,0.0
Cayey,Central Mountains,2030,37213.52297797348,37390.63274042575,37700.892070797934,38102.48540123623,38496.78156780235,38827.71473185268,39036.272482350214,baseline,38102.48540123623,0.0,0.0
Ceiba,East,2030,9546.502693261431,9618.871766926519,9744.21980870721,9919.294772083329,10047.44991748064,10226.623185447565,10298.795087763907,baseline,9919.294772083329,0.0,0.0
Ciales,Central Mountains,2030,15012.971019285842,15126.01880618452,15339.350493155796,15674.525737195108,16001.353299879731,16223.462312707841,16521.07251391948,baseline,15674.525737195108,0.0,0.0
Cidra,Central Mountains,2030,35511.57690425887,35824.45767221534,36319.957099512845,36839.569658490356,37422.01285410224,37855.180568392694,38176.73546666711,baseline,36839.569658490356,0.0,0.0
Coamo,South,2030,29128.966057214515,29514.5352542613,30216.057943955246,31137.665417468073,31841.434599235374,32681.87191428809,33000.73728682758,baseline,31137.665417468073,0.0,0.0
Comerío,Central Mountains,2030,16995.069736726695,17081.458749727582,17238.570020866784,17444.721756530314,17576.19999448196,17755.435201476404,17859.333085003345,baseline,17444.721756530314,0.0,0.0
Corozal,Central Mountains,2030,30541.589967936903,30852.14974037932,31454.61361933577,32083.23820941755,32562.50513057009,33098.34815727311,33336.54157358044,baseline,32083.23820941755,0.0,0.0
Culebra,East,2030,1043.1866187316846,1071.3910630543164,1115.9644245137263,1173.1849954390273,1241.8983676529022,1293.0062215850915,1335.03271930948,baseline,1173.1849954390273,0.0,0.0
Dorado,North,2030,32316.013154386506,32714.81559637679,33019.431993857484,33340.7663419366,33610.99561267985,33926.54247822218,34209.04420798575,baseline,33340.7663419366,0.0,0.0
