region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Central Mountains,2030,363351.6529989276,364047.87741420045,366045.59158659115,367970.5178183665,370071.4797551352,371313.53049718984,372959.3432220253,baseline,367970.5178183665,0.0,0.0
East,2030,501701.2413764303,503074.90266451787,505895.76966318395,508403.1491761129,510894.6736111888,513133.45284452016,515226.991332824,baseline,508403.1491761129,0.0,0.0
Metro,2030,891776.6542717,897577.2663896632,904658.6920697617,912886.8281887735,922098.9393733451,930750.876766589,936010.5564418744,baseline,912886.8281887735,0.0,0.0
North,2030,347557.13676529884,348317.20206206996,350676.5665538042,352370.9488644615,354746.3991608359,356564.98013196426,358197.9314374097,baseline,352370.9488644615,0.0,0.0
South,2030,374216.31929520576,375683.61101198307,377753.94240561884,380408.9096786669,383698.38699019834,386349.6891563621,387839.81065211643,baseline,380408.9096786669,0.0,0.0
West,2030,449981.671809385,451414.4951208892,453077.27257303894,455203.26449139847,457576.5357691909,460134.8567833782,462181.1141678554,baseline,455203.26449139847,0.0,0.0
Central Mountains,2030,361856.2991812433,362731.1827560434,364674.75731522363,366604.53000801645,368430.58192514407,369723.44559383957,371239.39858785976,hurricane_cat1,367970.5178183665,-1365.9878103500814,-0.37122208008641194
East,2030,498427.5860143485,500016.90128173947,502628.2142998923,505204.60985266935,507634.5951598193,509803.36739011575,511859.54195488937,hurricane_cat1,508403.1491761129,-3198.539323443547,-0.6291344435271309
Metro,2030,887918.3020249556,894036.3635810402,901159.7637565501,909068.7096521931,918483.5955769429,926874.6298697391,933044.2962722984,hurricane_cat1,912886.8281887735,-3818.118536580354,-0.41824664555142593
North,2030,346314.9235938051,347092.7006895253,349443.0563734756,351184.60488918534,353511.2978702973,355451.8544302945,356746.0710727951,hurricane_cat1,352370.9488644615,-1186.3439752761624,-0.33667473981587687
South,2030,372242.45576879743,373731.9836573434,375565.5389437885,378289.23063467466,381514.86846251716,384110.2396714192,385546.5054656428,hurricane_cat1,380408.9096786669,-2119.679043992248,-0.5572106725320262
West,2030,448087.8769195329,449834.2360307385,451401.87475340255,453709.57245080546,456000.6224347102,458379.492303195,460286.9329219614,hurricane_cat1,455203.26449139847,-1493.692040593014,-0.3281373744676295
Central Mountains,2030,360772.4083121894,361545.5562615505,363341.26121969835,365238.2371523761,367122.5506474922,368464.23836902203,369863.7451006355,hurricane_cat2,367970.5178183665,-2732.280665990431,-0.7425270595561976
East,2030,495597.17849321716,497252.0098473247,499704.8249168128,502255.1297088318,504664.51257891435,506832.1352025366,508813.3592067988,hurricane_cat2,508403.1491761129,-6148.019467281119,-1.2092803668199585
Metro,2030,884037.4102847112,890554.9154143005,897575.12503938,905528.9871990121,915739.1419733049,923023.0336301642,929301.614417065,hurricane_cat2,912886.8281887735,-7357.840989761404,-0.8059970592805941
North,2030,344918.4093956337,345983.2864578207,348448.4347177707,350074.83201886463,352285.2513921038,354100.2138590272,355533.57693532534,hurricane_cat2,352370.9488644615,-2296.1168455968727,-0.6516192248527468
South,2030,370331.68429020164,371748.9461519335,373644.266737666,376369.26088853274,379490.8141406399,382049.3584777,383456.0504349843,hurricane_cat2,380408.9096786669,-4039.648790134175,-1.0619227592609448
West,2030,446529.47856553755,448002.13461141515,449522.6658725309,452007.23099929537,454403.24534521723,456608.2515463595,458485.03222281433,hurricane_cat2,455203.26449139847,-3196.0334921031026,-0.7021112855317616
Central Mountains,2030,358363.69165990496,359294.5059894979,361239.35039435636,363086.52342805406,364846.4981909616,366247.0166691886,367493.66837535065,hurricane_cat3,367970.5178183665,-4883.994390312466,-1.327278723107716
East,2030,491209.6663563246,492752.01743766,495100.7778645514,497716.8409041662,500188.1916069125,502410.24615171785,504174.7747782084,hurricane_cat3,508403.1491761129,-10686.308271946677,-2.1019358926600384
Metro,2030,878709.4876193369,884967.5510372167,891622.7837911425,899884.210104031,910185.8307660169,916777.001329908,923024.250260027,hurricane_cat3,912886.8281887735,-13002.618084742455,-1.4243406393036133
North,2030,343018.23964501155,344236.7006576538,346644.2753524015,348274.8901264657,350514.96553572244,352143.4378383363,353652.0705556085,hurricane_cat3,352370.9488644615,-4096.0587379958015,-1.1624280466921633
South,2030,367344.7051114346,368699.4406905104,370627.7461304935,373347.3238716177,376424.3152203443,378894.88472105656,380382.03453497385,hurricane_cat3,380408.9096786669,-7061.5858070492395,-1.8563145150869869
West,2030,443987.64451530244,445325.94738829456,446832.28845238825,449478.7465983669,451676.2160159431,453931.6259245749,455442.4061592333,hurricane_cat3,455203.26449139847,-5724.517893031589,-1.2575739981626954
Central Mountains,2030,354882.5298161068,356067.3233139271,357858.70205044356,359711.3481002449,361465.00131129276,363171.3044923346,363899.50401673454,hurricane_cat4,367970.5178183665,-8259.169718121644,-2.244519416144758
East,2030,484565.22389334464,485812.55895758036,488276.1833833034,490980.49123672734,493263.89915458194,495538.8957683273,497124.5913465112,hurricane_cat4,508403.1491761129,-17422.657939385565,-3.426937454581007
Metro,2030,870529.0300877679,875683.8812234155,883599.9085121367,891437.820746507,899925.4957624448,908371.9428511645,914111.4404452754,hurricane_cat4,912886.8281887735,-21449.007442266447,-2.3495801209907548
North,2030,339964.29108531744,341159.7064548298,343567.09794058953,345136.4648082276,347467.64292154025,349273.33779800904,350696.1282376399,hurricane_cat4,352370.9488644615,-7234.484056233894,-2.053087542984884
South,2030,362614.92432703753,364199.26973869023,366005.6712503484,368784.5120108807,371967.89783175744,374336.2255891522,375747.9907550904,hurricane_cat4,380408.9096786669,-11624.397667786223,-3.0557637773535333
West,2030,440384.1898141428,441401.66094154195,443041.71049059666,445839.405456767,447931.49462215824,450318.00653103477,451322.6512551993,hurricane_cat4,455203.26449139847,-9363.85903463146,-2.057072030248676
Central Mountains,2030,350420.03211832274,351323.8518641646,353226.112269107,354972.73161105276,356705.31422396854,358256.55462862225,359581.37346153107,hurricane_cat5_maria_like,367970.5178183665,-12997.786207313766,-3.5322901096466612
East,2030,475055.9795052307,476227.6297967737,478594.1349714425,481409.3205894626,483777.5915493765,486054.7609052789,487450.6136620118,hurricane_cat5_maria_like,508403.1491761129,-26993.828586650314,-5.3095321361393735
Metro,2030,858231.7672430307,863734.5875097899,872404.5755134035,879958.977044384,887908.3260918581,896762.6001166467,901667.3969922225,hurricane_cat5_maria_like,912886.8281887735,-32927.85114438948,-3.6070025470430402
North,2030,335905.49937017326,337158.341883028,339394.2793039381,341208.4475647236,343546.78928985726,345477.86118703167,346713.08849638695,hurricane_cat5_maria_like,352370.9488644615,-11162.501299737894,-3.167826784730633
South,2030,356053.44701796013,357689.9727320727,359339.29915418616,362220.78894615395,365286.5074406182,367679.06142408325,368861.3361928107,hurricane_cat5_maria_like,380408.9096786669,-18188.120732512965,-4.781202613754907
West,2030,434693.72050636756,435579.8497291059,437448.1509974703,440241.3886534352,442474.8590579758,444583.30236430786,445843.53391084506,hurricane_cat5_maria_like,455203.26449139847,-14961.875837963249,-3.2868560058944762
Central Mountains,2030,361230.8770819259,362134.5246628806,364090.2987385346,365993.65249324136,367889.20321288187,369148.4154288629,370681.2562948241,earthquake_m6_0,367970.5178183665,-1976.8653251251671,-0.5372347047925631
East,2030,498592.9938581198,500188.91568840784,502851.8065921179,505383.0427191328,507895.7040784541,509992.38940693944,512167.6362185855,earthquake_m6_0,508403.1491761129,-3020.106456980109,-0.5940377163033528
Metro,2030,886761.5816927343,892960.2632832698,899709.8769333127,908001.3830722831,917375.2541180406,925845.6502508434,932183.6283911652,earthquake_m6_0,912886.8281887735,-4885.4451164903585,-0.5351643780624371
North,2030,345846.45802189666,346633.23523559386,348946.9183181824,350690.84144553577,353056.5833811419,354922.36936963565,356248.08833835577,earthquake_m6_0,352370.9488644615,-1680.1074189257342,-0.4768007760968918
South,2030,371130.8255249394,372656.9922310559,374549.13178551244,377265.6143863569,380474.11466937984,383133.99078755727,384591.1693781351,earthquake_m6_0,380408.9096786669,-3143.2952923100092,-0.8262938149806125
West,2030,447047.90575808374,448602.97531274916,450200.7916588694,452609.87014522887,455165.2632571516,457328.28855366656,459063.15619476826,earthquake_m6_0,455203.26449139847,-2593.3943461696035,-0.5697222644189996
Central Mountains,2030,359940.3623212017,360860.26934191835,362678.3533544765,364574.1211958841,366442.7732829848,367855.00814687565,369530.85325422365,earthquake_m6_5,367970.5178183665,-3396.3966224824544,-0.9230078112287642
East,2030,496615.61183451023,498257.93419997575,500721.20242484676,503346.07952721685,505730.60344265716,507934.593205768,510101.85996513296,earthquake_m6_5,508403.1491761129,-5057.069648896053,-0.9946967592728785
Metro,2030,883087.1796449258,889181.5856819173,896471.7857990419,904652.1821559286,914714.0351911787,922475.3077761225,929082.3654771316,earthquake_m6_5,912886.8281887735,-8234.646032844903,-0.9020445665957273
North,2030,344498.1389803998,345493.3644551026,347823.6509942531,349563.873870812,351873.31357776583,353593.2972649393,355058.7236154222,earthquake_m6_5,352370.9488644615,-2807.0749936494976,-0.7966249779374495
South,2030,369120.60418737057,370566.0749672825,372569.7792412537,375240.3346301312,378403.85215791,381015.4853503053,382508.9039579499,earthquake_m6_5,380408.9096786669,-5168.575048535713,-1.3586892727884925
West,2030,445208.2884618263,446649.5327610783,448267.6156871592,450780.84894762223,453276.2453412359,455606.72365209856,457072.492982709,earthquake_m6_5,455203.26449139847,-4422.415543776238,-0.9715254456088823
Central Mountains,2030,358376.0111330354,359427.0597137797,361260.3852890362,363078.905753033,365019.1273482477,366504.3722042224,367991.3036461793,earthquake_m6_8,367970.5178183665,-4891.612065333524,-1.329348909346065
