scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,Metro,908001.3830722831,912886.8281887735,-4885.4451164903585,-0.5351643780624371
earthquake_m6_0,South,377265.6143863569,380408.9096786669,-3143.2952923100092,-0.8262938149806125
earthquake_m6_0,East,505383.0427191328,508403.1491761129,-3020.106456980109,-0.5940377163033528
earthquake_m6_0,West,452609.87014522887,455203.26449139847,-2593.3943461696035,-0.5697222644189996
earthquake_m6_0,Central Mountains,365993.65249324136,367970.5178183665,-1976.8653251251671,-0.5372347047925631
earthquake_m6_0,North,350690.84144553577,352370.9488644615,-1680.1074189257342,-0.4768007760968918
earthquake_m6_5,Metro,904652.1821559286,912886.8281887735,-8234.646032844903,-0.9020445665957273
earthquake_m6_5,South,375240.3346301312,380408.9096786669,-5168.575048535713,-1.3586892727884925
earthquake_m6_5,East,503346.07952721685,508403.1491761129,-5057.069648896053,-0.9946967592728785
earthquake_m6_5,West,450780.84894762223,455203.26449139847,-4422.415543776238,-0.9715254456088823
earthquake_m6_5,Central Mountains,364574.1211958841,367970.5178183665,-3396.3966224824544,-0.9230078112287642
earthquake_m6_5,North,349563.873870812,352370.9488644615,-2807.0749936494976,-0.7966249779374495
earthquake_m6_8,Metro,900918.1081689639,912886.8281887735,-11968.720019809552,-1.3110847533594352
earthquake_m6_8,South,373223.0802814757,380408.9096786669,-7185.829397191235,-1.888975051415367
earthquake_m6_8,East,501279.23416765616,508403.1491761129,-7123.915008456737,-1.4012334541989597
earthquake_m6_8,West,448992.03836020373,455203.26449139847,-6211.226131194737,-1.3644950763115857
earthquake_m6_8,Central Mountains,363078.905753033,367970.5178183665,-4891.612065333524,-1.329348909346065
earthquake_m6_8,North,348479.36324835854,352370.9488644615,-3891.585616102966,-1.1044002431652937
earthquake_m7_2,Metro,897413.4675078285,912886.8281887735,-15473.360680944985,-1.694992216247126
earthquake_m7_2,East,499083.1313561293,508403.1491761129,-9320.017819983594,-1.8331943527665093
earthquake_m7_2,South,371167.7180955688,380408.9096786669,-9241.191583098087,-2.4292784285478914
earthquake_m7_2,West,446982.6959189846,455203.26449139847,-8220.568572413875,-1.805911603379815
earthquake_m7_2,Central Mountains,361653.5914111086,367970.5178183665,-6316.92640725791,-1.7166936211927717
earthquake_m7_2,North,347302.2523598922,352370.9488644615,-5068.696504569321,-1.4384547082849843
earthquake_m7_5,Metro,897413.4675078285,912886.8281887735,-15473.360680944985,-1.694992216247126
earthquake_m7_5,East,499083.1313561293,508403.1491761129,-9320.017819983594,-1.8331943527665093
earthquake_m7_5,South,371167.7180955688,380408.9096786669,-9241.191583098087,-2.4292784285478914
earthquake_m7_5,West,446982.6959189846,455203.26449139847,-8220.568572413875,-1.805911603379815
earthquake_m7_5,Central Mountains,361653.5914111086,367970.5178183665,-6316.92640725791,-1.7166936211927717
earthquake_m7_5,North,347302.2523598922,352370.9488644615,-5068.696504569321,-1.4384547082849843
hurricane_cat1,Metro,909068.7096521931,912886.8281887735,-3818.118536580354,-0.41824664555142593
hurricane_cat1,East,505204.60985266935,508403.1491761129,-3198.539323443547,-0.6291344435271309
hurricane_cat1,South,378289.23063467466,380408.9096786669,-2119.679043992248,-0.5572106725320262
hurricane_cat1,West,453709.57245080546,455203.26449139847,-1493.692040593014,-0.3281373744676295
hurricane_cat1,Central Mountains,366604.53000801645,367970.5178183665,-1365.9878103500814,-0.37122208008641194
hurricane_cat1,North,351184.60488918534,352370.9488644615,-1186.3439752761624,-0.33667473981587687
hurricane_cat2,Metro,905528.9871990121,912886.8281887735,-7357.840989761404,-0.8059970592805941
hurricane_cat2,East,502255.1297088318,508403.1491761129,-6148.019467281119,-1.2092803668199585
hurricane_cat2,South,376369.26088853274,380408.9096786669,-4039.648790134175,-1.0619227592609448
hurricane_cat2,West,452007.23099929537,455203.26449139847,-3196.0334921031026,-0.7021112855317616
hurricane_cat2,Central Mountains,365238.2371523761,367970.5178183665,-2732.280665990431,-0.7425270595561976
hurricane_cat2,North,350074.83201886463,352370.9488644615,-2296.1168455968727,-0.6516192248527468
hurricane_cat3,Metro,899884.210104031,912886.8281887735,-13002.618084742455,-1.4243406393036133
hurricane_cat3,East,497716.8409041662,508403.1491761129,-10686.308271946677,-2.1019358926600384
hurricane_cat3,South,373347.3238716177,380408.9096786669,-7061.5858070492395,-1.8563145150869869
hurricane_cat3,West,449478.7465983669,455203.26449139847,-5724.517893031589,-1.2575739981626954
hurricane_cat3,Central Mountains,363086.52342805406,367970.5178183665,-4883.994390312466,-1.327278723107716
hurricane_cat3,North,348274.8901264657,352370.9488644615,-4096.0587379958015,-1.1624280466921633
hurricane_cat4,Metro,891437.820746507,912886.8281887735,-21449.007442266447,-2.3495801209907548
hurricane_cat4,East,490980.49123672734,508403.1491761129,-17422.657939385565,-3.426937454581007
hurricane_cat4,South,368784.5120108807,380408.9096786669,-11624.397667786223,-3.0557637773535333
hurricane_cat4,West,445839.405456767,455203.26449139847,-9363.85903463146,-2.057072030248676
hurricane_cat4,Central Mountains,359711.3481002449,367970.5178183665,-8259.169718121644,-2.244519416144758
hurricane_cat4,North,345136.4648082276,352370.9488644615,-7234.484056233894,-2.053087542984884
hurricane_cat5_maria_like,Metro,879958.977044384,912886.8281887735,-32927.85114438948,-3.6070025470430402
hurricane_cat5_maria_like,East,481409.3205894626,508403.1491761129,-26993.828586650314,-5.3095321361393735
hurricane_cat5_maria_like,South,362220.78894615395,380408.9096786669,-18188.120732512965,-4.781202613754907
hurricane_cat5_maria_like,West,440241.3886534352,455203.26449139847,-14961.875837963249,-3.2868560058944762
hurricane_cat5_maria_like,Central Mountains,354972.73161105276,367970.5178183665,-12997.786207313766,-3.5322901096466612
