scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,San Juan,Metro,282848.12607080775,289431.64590439474,-6583.519833586994,-2.274637181782695
earthquake_m6_0,Bayamón,Metro,153331.4575484902,156902.74167779938,-3571.284129309177,-2.2761132731783795
earthquake_m6_0,Ponce,South,111226.9977278342,114649.38023057082,-3422.3825027366256,-2.9850859166040746
earthquake_m6_0,Carolina,Metro,128248.70182973181,131226.06253544748,-2977.3607057156623,-2.2688790993110852
earthquake_m6_0,Caguas,East,106123.9044734766,108592.64469146203,-2468.7402179854253,-2.2733954265500333
earthquake_m6_0,Guaynabo,Metro,75952.68347525969,77715.8245290668,-1763.1410538071068,-2.2687027571169467
earthquake_m6_0,Mayagüez,West,59902.18189107466,61592.12087609472,-1689.9389850200605,-2.7437583914665353
earthquake_m6_0,Arecibo,North,73560.19937771819,75175.79700653075,-1615.597628812553,-2.1490927840408545
earthquake_m6_0,Toa Baja,Metro,61648.44002010427,63082.72121924925,-1434.281199144978,-2.2736514396073915
earthquake_m6_0,Trujillo Alto,Metro,56613.19043357334,57932.11465003071,-1318.9242164573661,-2.2766719710216328
earthquake_m6_0,Toa Alta,Metro,56318.7711266913,57628.66421612508,-1309.8930894337755,-2.2729888107787413
earthquake_m6_0,Aguadilla,West,45429.489319557106,46711.722970192684,-1282.2336506355787,-2.744993267436929
earthquake_m6_0,Juana Díaz,South,38801.04572358102,39994.66517273764,-1193.6194491566202,-2.9844466605767486
earthquake_m6_0,Cabo Rojo,West,39429.781856358575,40543.96741601448,-1114.1855596559035,-2.7480920853734974
earthquake_m6_0,Isabela,West,36199.73654320056,37221.41004842993,-1021.6735052293661,-2.744854383270368
earthquake_m6_0,Vega Baja,North,45331.49156005895,46329.54681641854,-998.0552563595847,-2.154252145643454
earthquake_m6_0,Humacao,East,42556.23199279128,43545.550044930904,-989.3180521396207,-2.2719153877234954
earthquake_m6_0,San Sebastián,West,33330.18472662745,34265.764456680976,-935.5797300535269,-2.7303629289703824
earthquake_m6_0,Guayama,South,29710.98573106806,30623.739166124647,-912.7534350565875,-2.9805420889499237
earthquake_m6_0,Río Grande,East,38905.42269368936,39812.077682038056,-906.654988348695,-2.277336529858498
earthquake_m6_0,Aguada,West,31674.242037574015,32568.39396648024,-894.1519289062235,-2.7454590785977806
earthquake_m6_0,Cayey,Central Mountains,34615.086128982744,35506.056745983,-890.9706170002537,-2.5093482595784287
earthquake_m6_0,Moca,West,31312.51355454534,32200.227564016765,-887.7140094714232,-2.756856322541737
earthquake_m6_0,Coamo,South,28637.984121299527,29520.510152782776,-882.5260314832485,-2.989535163571882
earthquake_m6_0,Cidra,Central Mountains,33585.215829867855,34449.29369099025,-864.0778611223941,-2.5082600208676618
earthquake_m6_0,Yauco,South,27732.390331623996,28586.127429302716,-853.7370976787206,-2.986543384689394
earthquake_m6_0,Canóvanas,East,35428.50670935223,36253.1792731491,-824.6725637968702,-2.2747592909945515
earthquake_m6_0,Gurabo,East,33711.628091632185,34495.71063609977,-784.0825444675866,-2.2729856263550747
earthquake_m6_0,Corozal,Central Mountains,29402.530122907374,30160.214554681897,-757.6844317745235,-2.512198414241403
earthquake_m6_0,San Lorenzo,East,31932.135308949524,32673.639341861868,-741.504032912344,-2.269425897599108
earthquake_m6_0,San Germán,West,26195.701903838526,26937.15074451924,-741.448840680714,-2.7525139823170526
earthquake_m6_0,Juncos,East,31324.33983109726,32052.989371269712,-728.6495401724533,-2.2732654721608245
earthquake_m6_0,Manatí,North,33097.672376107555,33826.163114067414,-728.490737959859,-2.1536310089420065
earthquake_m6_0,Hatillo,North,32563.75999806601,33279.90417461506,-716.1441765490526,-2.151881726556492
earthquake_m6_0,Las Piedras,East,29511.96672532656,30198.7787285634,-686.8120032368388,-2.274303902850284
earthquake_m6_0,Dorado,North,30580.93855040152,31254.09846805875,-673.1599176572308,-2.1538292596895436
earthquake_m6_0,Vega Alta,North,29819.88186521447,30475.32482494106,-655.4429597265917,-2.150733301422192
earthquake_m6_0,Salinas,South,21068.489962834272,21716.105832204106,-647.6158693698344,-2.9821915327445416
earthquake_m6_0,Barranquitas,Central Mountains,24679.25989288763,25313.920172988455,-634.6602801008266,-2.5071592063328425
earthquake_m6_0,Naranjito,Central Mountains,24564.84597596162,25196.619146755285,-631.7731707936655,-2.507372783284787
earthquake_m6_0,Fajardo,East,26750.237590511693,27373.249106107138,-623.0115155954445,-2.275986724047482
earthquake_m6_0,Morovis,Central Mountains,24145.616340524924,24765.856182764444,-620.2398422395199,-2.504415101429725
earthquake_m6_0,Camuy,North,27678.745568286344,28289.04159455817,-610.2960262718261,-2.15735843942209
earthquake_m6_0,Lares,Central Mountains,23635.80086504735,24241.791121349102,-605.9902563017531,-2.4997750919818524
earthquake_m6_0,Utuado,Central Mountains,23290.700399427973,23890.013559631316,-599.3131602033427,-2.50863465902776
earthquake_m6_0,Añasco,West,21119.13632118747,21715.54323079694,-596.4069096094681,-2.7464517155787522
earthquake_m6_0,Yabucoa,East,24835.216816964654,25412.82085392617,-577.6040369615148,-2.2728843849394136
earthquake_m6_0,Villalba,South,18149.474891156115,18706.608049753955,-557.1331585978405,-2.9782692678225455
earthquake_m6_0,Lajas,West,19489.77260823905,20040.045886218148,-550.2732779790967,-2.7458683533131443
earthquake_m6_0,Aibonito,Central Mountains,21008.71001841704,21549.164234152406,-540.4542157353644,-2.508005460735318
earthquake_m6_0,Sabana Grande,West,18921.034188104637,19455.394156479215,-534.3599683745779,-2.7465902981802115
earthquake_m6_0,Santa Isabel,South,16834.75484237419,17351.114525196113,-516.3596828219233,-2.9759453323422007
earthquake_m6_0,Aguas Buenas,Central Mountains,19996.049828471732,20510.680681744376,-514.6308532726434,-2.5090871495585856
earthquake_m6_0,Peñuelas,South,16578.705222642006,17087.27593536822,-508.57071272621397,-2.97631240140241
earthquake_m6_0,Orocovis,Central Mountains,17920.792175010967,18381.877775514284,-461.0856005033165,-2.5083705056374
earthquake_m6_0,Naguabo,East,19793.50886871123,20254.59199035036,-461.0831216391307,-2.276437470864872
earthquake_m6_0,Loíza,East,19294.35843058399,19742.512828899326,-448.15439831533513,-2.269996743572183
earthquake_m6_0,Cataño,Metro,19037.522854575902,19480.10528452896,-442.5824299530577,-2.271971447220849
earthquake_m6_0,Guayanilla,South,14386.724186776682,14828.913343772288,-442.189156995606,-2.981939045326693
earthquake_m6_0,Quebradillas,North,19687.585902168892,20120.91961021853,-433.3337080496385,-2.153647628657924
earthquake_m6_0,Barceloneta,North,18989.58629522084,19408.38915473382,-418.8028595129799,-2.157844508238498
earthquake_m6_0,Comerío,Central Mountains,15902.33982713514,16310.975935526356,-408.6361083912161,-2.5052830070160326
earthquake_m6_0,Patillas,South,13072.114583223465,13473.816807714024,-401.70222449055836,-2.98135435729374
earthquake_m6_0,Arroyo,South,12767.981132325942,13160.551518361613,-392.5703860356716,-2.982932633848643
earthquake_m6_0,Adjuntas,Central Mountains,15208.314790523604,15600.014532777845,-391.69974225424085,-2.510893444562017
earthquake_m6_0,Hormigueros,West,13024.456858499087,13392.318669501756,-367.8618110026691,-2.746811960503886
earthquake_m6_0,Rincón,West,12962.739362415343,13328.837244701675,-366.0978822863326,-2.746660309261857
earthquake_m6_0,Ciales,Central Mountains,14194.032122246084,14558.878643179347,-364.8465209332626,-2.5060070206999674
earthquake_m6_0,Luquillo,East,14848.613575058902,15193.948895806192,-345.3353207472901,-2.2728477179662554
earthquake_m6_0,Jayuya,Central Mountains,12368.492371720626,12686.645047744147,-318.15267602352105,-2.507776286214398
earthquake_m6_0,Guánica,West,10779.78763894558,11084.828031593845,-305.04039264826497,-2.7518730266165834
earthquake_m6_0,Ceiba,East,9378.482088823268,9596.129160304234,-217.64707148096568,-2.268071509304961
earthquake_m6_0,Florida,North,9742.118909607361,9956.632954937322,-214.51404532996094,-2.154483812959954
earthquake_m6_0,Las Marías,West,7342.771460801181,7550.410805216625,-207.6393444154437,-2.7500403590223783
earthquake_m6_0,Maunabo,East,8819.851594166246,9024.84194767252,-204.9903535062731,-2.271401036105009
earthquake_m6_0,Vieques,East,6845.511266591853,7004.709148534811,-159.1978819429578,-2.2727265125099096
earthquake_m6_0,Maricao,West,4159.7483024238945,4277.046543060134,-117.29824063623983,-2.7425055924763324
earthquake_m6_0,Culebra,East,1218.750041338913,1246.8664388394513,-28.11639750053837,-2.2549646557740646
earthquake_m6_5,San Juan,Metro,278525.6785493019,289431.64590439474,-10905.967355092813,-3.7680632057405634
earthquake_m6_5,Bayamón,Metro,150986.72766324322,156902.74167779938,-5916.01401455616,-3.7704975396189866
earthquake_m6_5,Ponce,South,108990.91056443026,114649.38023057082,-5658.4696661405615,-4.935455956901677
earthquake_m6_5,Carolina,Metro,126293.80502525572,131226.06253544748,-4932.257510191761,-3.7585959792548325
earthquake_m6_5,Caguas,East,104503.00797154353,108592.64469146203,-4089.6367199185042,-3.76603473608931
earthquake_m6_5,Guaynabo,Metro,74795.02934263703,77715.8245290668,-2920.7951864297647,-3.758301741156136
earthquake_m6_5,Mayagüez,West,58796.185093995366,61592.12087609472,-2795.9357820993537,-4.539437418828223
earthquake_m6_5,Arecibo,North,72498.55939576161,75175.79700653075,-2677.237610769138,-3.5613025965478733
earthquake_m6_5,Toa Baja,Metro,60706.741374932404,63082.72121924925,-2375.9798443168474,-3.7664510953148826
earthquake_m6_5,Trujillo Alto,Metro,55747.24409799684,57932.11465003071,-2184.87055203387,-3.7714324174643465
earthquake_m6_5,Toa Alta,Metro,55458.73328466778,57628.66421612508,-2169.9309314572965,-3.765367393072644
earthquake_m6_5,Aguadilla,West,44590.312378040966,46711.722970192684,-2121.4105921517184,-4.541495062182605
earthquake_m6_5,Juana Díaz,South,38021.15124138747,39994.66517273764,-1973.513931350164,-4.934442938393218
earthquake_m6_5,Cabo Rojo,West,38700.61116508422,40543.96741601448,-1843.3562509302574,-4.546561099992768
earthquake_m6_5,Isabela,West,35531.104678464566,37221.41004842993,-1690.305369965361,-4.541217991919308
earthquake_m6_5,Vega Baja,North,44675.67002614087,46329.54681641854,-1653.8767902776672,-3.569809989359871
earthquake_m6_5,Humacao,East,41906.66889430477,43545.550044930904,-1638.8811506261336,-3.763601904063936
earthquake_m6_5,San Sebastián,West,32717.827282151295,34265.764456680976,-1547.9371745296812,-4.517445325017028
earthquake_m6_5,Guayama,South,29114.59139133511,30623.739166124647,-1509.147774789537,-4.928032356215094
earthquake_m6_5,Río Grande,East,38310.15813191206,39812.077682038056,-1501.9195501259965,-3.7725224041839316
earthquake_m6_5,Aguada,West,31089.064693978922,32568.39396648024,-1479.3292725013162,-4.542223586535641
earthquake_m6_5,Cayey,Central Mountains,34031.04554111192,35506.056745983,-1475.0112048710798,-4.154252372837646
earthquake_m6_5,Moca,West,30731.58538882219,32200.227564016765,-1468.6421751945745,-4.560968310782246
earthquake_m6_5,Coamo,South,28061.37847177996,29520.510152782776,-1459.1316810028147,-4.942772578966656
earthquake_m6_5,Cidra,Central Mountains,33018.79922839078,34449.29369099025,-1430.4944625994685,-4.1524638369395515
earthquake_m6_5,Yauco,South,27174.583858564452,28586.127429302716,-1411.543570738264,-4.93786216488819
earthquake_m6_5,Canóvanas,East,34887.0585627418,36253.1792731491,-1366.1207104073037,-3.768278362883115
earthquake_m6_5,Gurabo,East,33196.83070156854,34495.71063609977,-1298.879934531229,-3.765337517563563
earthquake_m6_5,Corozal,Central Mountains,28905.869438467023,30160.214554681897,-1254.345116214874,-4.158939632013184
earthquake_m6_5,San Lorenzo,East,31445.276640494805,32673.639341861868,-1228.362701367063,-3.7594915231658006
earthquake_m6_5,San Germán,West,25710.47974145881,26937.15074451924,-1226.67100306043,-4.553826106905587
earthquake_m6_5,Manatí,North,32618.97745607365,33826.163114067414,-1207.185657993763,-3.5687927534758623
earthquake_m6_5,Juncos,East,30845.93217239444,32052.989371269712,-1207.0571988752708,-3.7658178614603766
earthquake_m6_5,Hatillo,North,32093.1761548285,33279.90417461506,-1186.728019786562,-3.5658997500712863
earthquake_m6_5,Las Piedras,East,29061.029052822072,30198.7787285634,-1137.7496757413282,-3.7675353893208667
earthquake_m6_5,Dorado,North,30138.603121696397,31254.09846805875,-1115.4953463623533,-3.5691170151728224
earthquake_m6_5,Vega Alta,North,29389.180871304052,30475.32482494106,-1086.143953637009,-3.5640110806894723
earthquake_m6_5,Salinas,South,20645.341949968424,21716.105832204106,-1070.763882235682,-4.930736157344484
earthquake_m6_5,Barranquitas,Central Mountains,24263.2263837738,25313.920172988455,-1050.6937892146561,-4.150656168758139
earthquake_m6_5,Naranjito,Central Mountains,24150.710692538,25196.619146755285,-1045.908454217286,-4.150987273830242
earthquake_m6_5,Fajardo,East,26341.189672510747,27373.249106107138,-1032.0594335963906,-3.7703212709452596
earthquake_m6_5,Morovis,Central Mountains,23738.929708395182,24765.856182764444,-1026.926474369262,-4.146541378544956
earthquake_m6_5,Camuy,North,27277.724523980585,28289.04159455817,-1011.3170705775847,-3.5749428526844365
earthquake_m6_5,Lares,Central Mountains,23238.543348252977,24241.791121349102,-1003.2477730961255,-4.138505146233158
earthquake_m6_5,Utuado,Central Mountains,22897.842211427687,23890.013559631316,-992.1713482036284,-4.153079887238625
earthquake_m6_5,Añasco,West,20728.816058144308,21715.54323079694,-986.7271726526305,-4.543875150464834
earthquake_m6_5,Yabucoa,East,24455.981152876906,25412.82085392617,-956.8397010492627,-3.765184929879341
earthquake_m6_5,Villalba,South,17785.441014623262,18706.608049753955,-921.167035130693,-4.924286822499651
