scenario,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,2863215.7172579337,2981143.1626422983,-117927.44538436458,-3.9557793420374043
hurricane_cat4,2905452.417187292,2981143.1626422983,-75690.74545500614,-2.5389839174284607
earthquake_m7_2,2927468.3869812815,2981143.1626422983,-53674.775661016814,-1.800476284857211
earthquake_m7_5,2927468.3869812815,2981143.1626422983,-53674.775661016814,-1.800476284857211
hurricane_cat3,2935486.4970805217,2981143.1626422983,-45656.66556177661,-1.531515364103125
earthquake_m6_8,2939975.699618787,2981143.1626422983,-41167.46302351123,-1.3809287503999965
earthquake_m6_5,2952630.30869331,2981143.1626422983,-28512.853948988486,-0.956440277887107
hurricane_cat2,2955984.228900806,2981143.1626422983,-25158.93374149222,-0.843935777951466
earthquake_m6_0,2963899.5755733135,2981143.1626422983,-17243.58706898475,-0.5784219719827584
hurricane_cat1,2967768.302740081,2981143.1626422983,-13374.859902217053,-0.44864869523281853
