municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Adjuntas,Central Mountains,2030,16229.282385981163,16399.214140412107,16598.855713304074,16775.140544575253,17037.896196790905,17210.774780246826,17286.536953352337,baseline,16775.140544575253,0.0,0.0
Aguada,West,2030,33902.48491748677,34177.6093418559,34635.002628169714,35074.98882129394,35533.2700899442,35938.53383058314,36310.722863619034,baseline,35074.98882129394,0.0,0.0
Aguadilla,West,2030,47323.909986512845,48114.34859545157,49442.715754545745,50460.53383745808,51529.124853670044,52913.17900659818,53553.49464830559,baseline,50460.53383745808,0.0,0.0
Aguas Buenas,Central Mountains,2030,21500.205713033407,21601.44229599191,21898.034236030293,22105.39176892521,22331.20004495768,22504.967420728426,22693.07461838158,baseline,22105.39176892521,0.0,0.0
Aibonito,Central Mountains,2030,21328.554263513095,21524.93106739223,22170.403139802667,22884.973699729395,23561.259810455507,24130.864562666673,24579.599868963505,baseline,22884.973699729395,0.0,0.0
Arecibo,North,2030,77075.69750634405,77881.59294441012,79347.88827890463,80780.55067571937,82429.39674136743,83838.85121398319,84671.63859637611,baseline,80780.55067571937,0.0,0.0
Arroyo,South,2030,13108.43118599748,13244.335916603608,13494.651426784167,13792.16731790864,14114.65829267374,14436.163916860796,14555.557379284075,baseline,13792.16731790864,0.0,0.0
Añasco,West,2030,22894.703634041824,23040.363199928976,23227.01840909703,23456.200146733834,23744.683511896772,23938.942361038902,24092.69239852376,baseline,23456.200146733834,0.0,0.0
Barceloneta,North,2030,20268.312463636947,20414.34255713318,20706.617778629618,20944.37620592169,21268.681101158807,21526.045670306215,21759.26216672728,baseline,20944.37620592169,0.0,0.0
Barranquitas,Central Mountains,2030,25974.296183599832,26206.46569910825,26644.69838253036,27126.519272996455,27520.58668013219,27876.28032738904,28174.746888130652,baseline,27126.519272996455,0.0,0.0
Bayamón,Metro,2030,159715.3354157624,161099.35756181696,163829.43183767694,168650.71142058505,173462.9812343485,176607.53311222637,178005.78406814658,baseline,168650.71142058505,0.0,0.0
Cabo Rojo,West,2030,42663.82505098995,42902.72065420332,43290.81095556919,43755.86582754467,44179.529027687,44431.03384846624,44664.264201662154,baseline,43755.86582754467,0.0,0.0
Caguas,East,2030,109472.94335706768,110271.77071154346,111558.41694223598,113126.81334654687,114393.70769335148,115365.7888030131,115994.26533307358,baseline,113126.81334654687,0.0,0.0
