scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,San Juan,Metro,308999.25718319754,310672.4505599049,-1673.1933767073788,-0.5385715320724095
earthquake_m6_0,Ponce,South,120565.2248106931,121528.73921075082,-963.5144000577275,-0.7928284340931366
earthquake_m6_0,Bayamón,Metro,167731.45886358523,168650.71142058505,-919.2525569998252,-0.5450629583811075
earthquake_m6_0,Carolina,Metro,139176.19634265895,139877.07162691333,-700.8752842543763,-0.5010651682241273
earthquake_m6_0,Caguas,East,112490.20357019102,113126.81334654687,-636.60977635585,-0.562739953087596
earthquake_m6_0,Guaynabo,Metro,81838.87459266308,82310.13768677108,-471.26309410799877,-0.5725456272487082
earthquake_m6_0,Mayagüez,West,66457.10468297047,66843.64402029655,-386.539337326074,-0.5782738852608101
earthquake_m6_0,Juana Díaz,South,42056.475417638794,42411.152503143814,-354.67708550501993,-0.8362825921288717
earthquake_m6_0,Trujillo Alto,Metro,61420.21763661002,61768.33622351152,-348.11858690150257,-0.5635874433169443
earthquake_m6_0,Arecibo,North,80442.45031993528,80780.55067571937,-338.1003557840886,-0.4185417813519724
earthquake_m6_0,Toa Alta,Metro,60960.27974104138,61285.884998354086,-325.605257312709,-0.5312891497307309
earthquake_m6_0,Toa Baja,Metro,67850.55884948187,68133.91665316725,-283.3578036853869,-0.41588362684007657
earthquake_m6_0,Coamo,South,30849.9803928669,31124.8626291133,-274.8822362464016,-0.8831596769499784
earthquake_m6_0,Guayama,South,31736.400941184533,32009.807738982196,-273.4067977976629,-0.8541344578733677
earthquake_m6_0,Vega Baja,North,49776.860427845546,50039.66651522549,-262.80608737994044,-0.5251955212370907
earthquake_m6_0,Humacao,East,44889.90421591461,45150.927065703785,-261.02284978917305,-0.5781118279350759
earthquake_m6_0,Gurabo,East,35531.46306598264,35790.0332448611,-258.5701788784572,-0.7224642042364795
earthquake_m6_0,San Sebastián,West,36180.78960860531,36437.452483790126,-256.6628751848184,-0.7043930288457999
