region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Central Mountains,2030,363717.9699577565,364397.654499257,366381.1782297534,368299.85835839866,370378.37017800775,371673.93420642207,373334.09973550297,baseline,368299.85835839866,0.0,0.0
East,2030,502485.45525705337,503767.8985340736,506618.1751823184,509146.07241677435,511596.32184893,513795.26273811166,515889.88617208326,baseline,509146.07241677435,0.0,0.0
Metro,2030,892927.5413029101,898674.362689258,905881.735708655,914050.0061197367,923326.335464997,931955.9542304626,937242.5700824677,baseline,914050.0061197367,0.0,0.0
North,2030,347903.45857286616,348754.7364620214,351062.18913475634,352760.8671887701,355157.7202260775,356963.6917244116,358632.953844579,baseline,352760.8671887701,0.0,0.0
South,2030,373916.9352073288,375382.92584353406,377491.84490558703,380131.98752100463,383485.53350447956,386122.0993842327,387616.9828127629,baseline,380131.98752100463,0.0,0.0
West,2030,450288.82771867333,451680.0973814722,453350.35626835335,455520.22752818116,457885.77068243665,460480.27216281457,462495.34196667257,baseline,455520.22752818116,0.0,0.0
Central Mountains,2030,362239.20473653794,363101.2773322093,365050.72473278025,366939.7657342828,368780.53848983743,370082.67392281175,371625.28828074713,hurricane_cat1,368299.85835839866,-1360.092624115874,-0.36928947792109806
East,2030,499189.0725436623,500747.14965203305,503333.7106992414,505954.18578083534,508347.2407597779,510517.1201956613,512524.9237457202,hurricane_cat1,509146.07241677435,-3191.8866359390086,-0.6269098022868002
Metro,2030,889148.7205847024,895178.0840981274,902230.50349603,910201.23155191,919723.6396091618,927961.4801222832,934139.5799264507,hurricane_cat1,914050.0061197367,-3848.774567826651,-0.42106827220156245
North,2030,346737.5957643397,347504.61706113943,349866.8517129532,351620.79713395017,353958.61791829945,355837.21809373266,357163.2000228848,hurricane_cat1,352760.8671887701,-1140.0700548199238,-0.32318495639989664
South,2030,371929.51116170594,373439.2808919845,375288.74415290693,378030.0511033591,381264.69569759036,383876.52357001026,385317.3959148733,hurricane_cat1,380131.98752100463,-2101.936417645542,-0.5529491036397974
West,2030,448421.4858133588,450122.3456818422,451678.7728319422,453995.33261500846,456331.4504554384,458696.69923267263,460543.8784457105,hurricane_cat1,455520.22752818116,-1524.8949131726986,-0.3347589900556852
Central Mountains,2030,361135.5446589328,361952.6082410938,363709.81903271907,365613.2805438406,367466.4402117643,368831.2326399652,370199.30326322577,hurricane_cat2,368299.85835839866,-2686.5778145580553,-0.7294539364019256
East,2030,496439.6642901493,498019.78460731363,500481.7899583744,502967.37024564843,505422.14322889934,507591.51053201343,509538.50052631844,hurricane_cat2,509146.07241677435,-6178.702171125915,-1.2135421455373976
