scenario,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,Metro,909117.6114510008,914050.0061197367,-4932.394668735913,-0.5396197840066301
earthquake_m6_0,South,377003.8534433977,380131.98752100463,-3128.1340776069555,-0.8229073533134611
earthquake_m6_0,East,506167.0320725445,509146.07241677435,-2979.040344229841,-0.5851052390700311
earthquake_m6_0,West,452900.4013652734,455520.22752818116,-2619.8261629077606,-0.5751283926783872
earthquake_m6_0,Central Mountains,366343.5233917923,368299.85835839866,-1956.334966606344,-0.531179939988628
earthquake_m6_0,North,351135.9649892857,352760.8671887701,-1624.902199484408,-0.46062427854699856
earthquake_m6_5,Metro,905864.8820788654,914050.0061197367,-8185.1240408712765,-0.8954788016049813
earthquake_m6_5,South,374963.4288275532,380131.98752100463,-5168.558693451458,-1.3596747611685436
earthquake_m6_5,East,504093.31069005583,509146.07241677435,-5052.761726718512,-0.9923992348078936
earthquake_m6_5,West,451050.4722633844,455520.22752818116,-4469.755264796782,-0.9812418844825628
earthquake_m6_5,Central Mountains,364910.20814042934,368299.85835839866,-3389.65021796932,-0.9203506710748706
earthquake_m6_5,North,349957.49894168164,352760.8671887701,-2803.3682470884523,-0.7946936601639286
earthquake_m6_8,Metro,902088.1823570174,914050.0061197367,-11961.823762719287,-1.3086618546723512
earthquake_m6_8,South,372943.9715232927,380131.98752100463,-7188.015997711918,-1.890926371281695
earthquake_m6_8,East,502031.4394044661,509146.07241677435,-7114.6330123082735,-1.3973657851345285
earthquake_m6_8,West,449289.79222812527,455520.22752818116,-6230.435300055891,-1.3677625983514508
earthquake_m6_8,Central Mountains,363417.783332258,368299.85835839866,-4882.075026140665,-1.3255707042357419
earthquake_m6_8,North,348870.3981086695,352760.8671887701,-3890.4690801005927,-1.1028629992619667
earthquake_m7_2,Metro,898615.3360417354,914050.0061197367,-15434.670078001334,-1.6886023712776452
earthquake_m7_2,South,370851.7805389599,380131.98752100463,-9280.206982044736,-2.4413117776708932
earthquake_m7_2,East,499877.45507178595,509146.07241677435,-9268.617344988394,-1.8204240093599964
earthquake_m7_2,West,447244.89449115284,455520.22752818116,-8275.333037028322,-1.8166774024357373
earthquake_m7_2,Central Mountains,361993.97478215117,368299.85835839866,-6305.883576247492,-1.7121601958671222
earthquake_m7_2,North,347679.63258786453,352760.8671887701,-5081.234600905562,-1.4404190128567977
earthquake_m7_5,Metro,898615.3360417355,914050.0061197367,-15434.670078001218,-1.6886023712776324
earthquake_m7_5,South,370851.7805389599,380131.98752100463,-9280.206982044736,-2.4413117776708932
earthquake_m7_5,East,499877.45507178595,509146.07241677435,-9268.617344988394,-1.8204240093599964
earthquake_m7_5,West,447244.89449115284,455520.22752818116,-8275.333037028322,-1.8166774024357373
earthquake_m7_5,Central Mountains,361993.97478215117,368299.85835839866,-6305.883576247492,-1.7121601958671222
earthquake_m7_5,North,347679.63258786453,352760.8671887701,-5081.234600905562,-1.4404190128567977
hurricane_cat1,Metro,910201.23155191,914050.0061197367,-3848.774567826651,-0.42106827220156245
hurricane_cat1,East,505954.18578083534,509146.07241677435,-3191.8866359390086,-0.6269098022868002
hurricane_cat1,South,378030.0511033591,380131.98752100463,-2101.936417645542,-0.5529491036397974
hurricane_cat1,West,453995.33261500846,455520.22752818116,-1524.8949131726986,-0.3347589900556852
hurricane_cat1,Central Mountains,366939.7657342828,368299.85835839866,-1360.092624115874,-0.36928947792109806
hurricane_cat1,North,351620.79713395017,352760.8671887701,-1140.0700548199238,-0.32318495639989664
hurricane_cat2,Metro,906842.9617202166,914050.0061197367,-7207.044399520149,-0.7884737543096801
hurricane_cat2,East,502967.37024564843,509146.07241677435,-6178.702171125915,-1.2135421455373976
hurricane_cat2,South,376095.60374466935,380131.98752100463,-4036.3837763352785,-1.0618374430045152
hurricane_cat2,West,452265.02013022464,455520.22752818116,-3255.2073979565175,-0.7146131392716543
hurricane_cat2,Central Mountains,365613.2805438406,368299.85835839866,-2686.5778145580553,-0.7294539364019256
hurricane_cat2,North,350520.6783592021,352760.8671887701,-2240.188829567982,-0.6350445976109951
hurricane_cat3,Metro,901024.7791590824,914050.0061197367,-13025.226960654254,-1.4250015725012757
hurricane_cat3,East,498516.1771527364,509146.07241677435,-10629.895264037943,-2.087788915581887
hurricane_cat3,South,373062.35735817335,380131.98752100463,-7069.630162831279,-1.859783021401386
hurricane_cat3,West,449793.00251825666,455520.22752818116,-5727.225009924499,-1.257293236131908
hurricane_cat3,Central Mountains,363430.02413878054,368299.85835839866,-4869.834219618118,-1.3222471062910923
hurricane_cat3,North,348706.85903830425,352760.8671887701,-4054.0081504658447,-1.1492227532983288
hurricane_cat4,Metro,892700.0608917971,914050.0061197367,-21349.945227939636,-2.335752429844947
hurricane_cat4,East,491811.02518538665,509146.07241677435,-17335.047231387696,-3.404729638609027
hurricane_cat4,South,368452.8329800796,380131.98752100463,-11679.154540925054,-3.072394569341447
hurricane_cat4,West,446167.82774049323,455520.22752818116,-9352.39978768793,-2.053125025520263
hurricane_cat4,Central Mountains,360074.04450420593,368299.85835839866,-8225.813854192733,-2.2334556116467623
hurricane_cat4,North,345630.8211009023,352760.8671887701,-7130.046087867813,-2.021212314361493
hurricane_cat5_maria_like,Metro,881153.9803318849,914050.0061197367,-32896.02578785177,-3.598930645764093
hurricane_cat5_maria_like,East,482303.49528989184,509146.07241677435,-26842.577126882505,-5.272077814421366
hurricane_cat5_maria_like,South,361767.1596471857,380131.98752100463,-18364.827873818926,-4.831171402749724
hurricane_cat5_maria_like,West,440596.7573238801,455520.22752818116,-14923.470204301062,-3.276137765666577
hurricane_cat5_maria_like,Central Mountains,355398.7408754546,368299.85835839866,-12901.117482944042,-3.5028841825917163
hurricane_cat5_maria_like,North,341710.0255596783,352760.8671887701,-11050.841629091767,-3.1326722028887115
