region,policy_package,mean_predicted_target,mean_delta_vs_baseline,approx_retained_residents,municipalities
Central Mountains,baseline,-1.1307705839058735,0.0,0.0,15
Central Mountains,family_demography_support,-1.109652121128275,0.021118462777598258,83.48446238206348,15
Central Mountains,jobs_push,-0.8406633386590506,0.29010724524682274,1143.8298202083215,15
Central Mountains,public_safety,-0.95140251870658,0.17936806519929352,712.6626525197413,15
Central Mountains,resilience_and_vulnerability,-0.9412783458063311,0.18949223809954238,724.5304677865803,15
Central Mountains,retention_bundle,-0.7330425032729498,0.3977280806329236,1552.3215570633688,15
East,baseline,-1.2731703367878335,0.0,0.0,17
East,family_demography_support,-1.251455861679016,0.021714475108817737,122.48023002909241,17
East,jobs_push,-0.9761042971238247,0.2970660396640089,1718.1846553016023,17
East,public_safety,-1.0495609712550102,0.22360936553282343,1185.8612535069353,17
East,resilience_and_vulnerability,-1.1190982766667013,0.15407206012113253,811.6770244395984,17
East,retention_bundle,-0.8695574110758775,0.4036129257119563,2186.7442659243825,17
Metro,baseline,-1.4151091556798079,0.0,0.0,8
Metro,family_demography_support,-1.3936302652297157,0.02147889045009216,212.81023076502365,8
Metro,jobs_push,-1.1019342146508297,0.31317494102897814,3133.4160928010515,8
Metro,public_safety,-1.1869085220134579,0.22820063366635004,2609.814501452413,8
Metro,resilience_and_vulnerability,-1.295211120944816,0.11989803473499194,1092.4093833671973,8
Metro,retention_bundle,-1.037466126648614,0.3776430290311939,3825.8656740333113,8
North,baseline,-1.116505220188861,0.0,0.0,10
North,family_demography_support,-1.095689693656947,0.020815526531914187,79.29795724211856,10
North,jobs_push,-0.8287852458852761,0.2877199743035849,1114.2064449085399,10
North,public_safety,-0.890081109050311,0.2264241111385501,851.5817083556599,10
North,resilience_and_vulnerability,-0.9561762070427259,0.16032901314613518,596.8845907655833,10
North,retention_bundle,-0.7081525549401657,0.40835266524869535,1556.0465881033895,10
South,baseline,-1.8080847522628325,0.0,0.0,12
South,family_demography_support,-1.7857239488891017,0.02236080337373066,91.5973396938982,12
South,jobs_push,-1.5299854874723595,0.2780992647904728,1260.7498809179867,12
South,public_safety,-1.6172398445565304,0.1908449077063018,771.7366636849467,12
South,resilience_and_vulnerability,-1.6098334252416173,0.19825132702121506,781.9755626343658,12
South,retention_bundle,-1.4114676699102737,0.3966170823525587,1659.344033343159,12
West,baseline,-1.4099285918186066,0.0,0.0,16
West,family_demography_support,-1.388063787390219,0.02186480442838757,103.9933267416944,16
West,jobs_push,-1.1078822035873424,0.3020463882312642,1399.419522900142,16
West,public_safety,-1.238905089232838,0.17102350258576865,829.207893221604,16
West,resilience_and_vulnerability,-1.204498443775781,0.20543014804282542,936.0441100450942,16
West,retention_bundle,-1.0062799452732207,0.4036486465453859,1898.7442865592602,16
