feature,importance_mean,importance_std,base_driver,lag
svi_pca_1_lag3,0.009504574165652379,0.005278635158342734,svi_pca_1,3
establishment_growth_lag1,0.009458205943814423,0.00405743433653777,establishment_growth,1
establishment_growth_lag0,0.006566329876389498,0.005164727893838153,establishment_growth,0
wind_3yr_sum_lag1,0.006387602487453514,0.04073363043686367,wind_3yr_sum,1
seismic_3yr_sum_lag3,0.004910933286660912,0.001035906270182693,seismic_3yr_sum,3
wind_3yr_sum_lag2,0.0047332229749250665,0.003239611094407187,wind_3yr_sum,2
lag_total_crime_rate_lag1,0.00026433757056421037,0.0004607190648575162,lag_total_crime_rate,1
establishment_growth_lag3,0.0,0.0,establishment_growth,3
svi_pca_1_lag2,0.0,0.0,svi_pca_1,2
svi_pca_1_lag1,0.0,0.0,svi_pca_1,1
svi_pca_1_lag0,0.0,0.0,svi_pca_1,0
lag_total_crime_rate_lag3,0.0,0.0,lag_total_crime_rate,3
lag_total_crime_rate_lag2,0.0,0.0,lag_total_crime_rate,2
lag_total_crime_rate_lag0,0.0,0.0,lag_total_crime_rate,0
wind_3yr_sum_lag3,0.0,0.0,wind_3yr_sum,3
establishment_growth_lag2,0.0,0.0,establishment_growth,2
seismic_3yr_sum_lag0,0.0,0.0,seismic_3yr_sum,0
income_growth_lag3,0.0,0.0,income_growth,3
income_growth_lag2,0.0,0.0,income_growth,2
income_growth_lag1,0.0,0.0,income_growth,1
income_growth_lag0,0.0,0.0,income_growth,0
seismic_3yr_sum_lag2,0.0,0.0,seismic_3yr_sum,2
seismic_3yr_sum_lag1,0.0,0.0,seismic_3yr_sum,1
wind_3yr_sum_lag0,0.0,0.0,wind_3yr_sum,0
