region,year,p05,p10,p25,p50,p75,p90,p95,observed_population,abs_error,pct_error
Central Mountains,2018,395271.9355285929,395386.0984984511,395908.9196534932,396795.67730439035,397650.33031333046,398412.065360168,398834.0033132998,404200.0,-7404.322695609648,-1.8318462878796753
Central Mountains,2019,374810.2852381806,375351.04747835005,376811.87420808617,378199.9473895586,379923.5597217258,381977.96856120817,382503.9024337193,396616.0,-18416.052610441402,-4.643295431964773
Central Mountains,2020,356710.1092413027,357585.23386248905,359687.28994404234,361622.6535699469,364628.0867441719,367006.81750305137,367778.476217695,389848.0,-28225.34643005312,-7.2400900941015776
Central Mountains,2021,339755.6683358248,341263.43771377415,343922.8154493098,346087.91114217864,350102.75908241986,353145.99390921596,354122.7368116663,400440.0,-54352.08885782136,-13.573091813460534
East,2018,598347.8663370841,599201.4581657168,600775.9113712345,601731.299437545,603168.7807027516,604092.0798274114,604416.107232266,613537.0,-11805.700562454993,-1.9242035219481455
East,2019,567108.3983565643,568409.4278222519,571427.0102176525,573328.9277083867,576034.8499064661,577704.3827920762,578916.1233677301,603974.0,-30645.072291613324,-5.073905878665857
East,2020,537731.4822376855,540675.0043469607,544999.8352029931,548026.886608433,551640.8414438479,554283.66351367,555987.9633627929,595309.0,-47282.11339156702,-7.9424489452649
East,2021,511969.13404081017,515848.058403581,520187.44303500303,524880.5955585069,529378.8834926208,532900.9144111009,535358.9172455616,582876.0,-57995.4044414931,-9.949870030931638
Metro,2018,995804.8766182762,998680.1797654441,1001967.8776438202,1004067.9863639695,1007802.4340588874,1011363.7510537015,1013085.513425744,1019476.0,-15408.01363603049,-1.5113659993987587
Metro,2019,939922.8172453883,943743.9270000639,949651.9006973826,957055.3839256335,964203.8687743397,970485.9163358,976777.8552648221,995659.0,-38603.616074366495,-3.8771925000794947
Metro,2020,888216.2848369207,893316.0291352567,903738.8028726693,913333.7321110421,925286.0864052123,934590.6791321174,944043.4293889567,973505.0,-60171.26788895787,-6.1808894550061755
Metro,2021,841935.1598397923,848843.8737847751,860535.6734932138,874345.8261083367,888033.8375817995,901397.6543502646,915368.9113198279,1012017.0,-137671.17389166332,-13.603642418226505
North,2018,379745.8556138231,380567.45740056416,381822.95261836617,382607.02543005894,383275.4020554042,384140.30266484834,384665.3974040907,388094.0,-5486.974569941056,-1.4138261786940938
North,2019,361021.06340714946,363048.4665961671,364879.813869699,366789.1273480542,368703.03737653233,369905.2916927993,370751.4033926913,381280.0,-14490.8726519458,-3.800585567547681
North,2020,344586.68976363825,346492.4381042639,349536.8756928536,352339.6804684476,355522.12017156166,357537.7478866104,358541.4689745419,375181.0,-22841.319531552377,-6.088080028453567
North,2021,329926.1534665019,331579.76745107875,335009.1613556171,338903.3504863669,342746.32351476955,345420.7859684501,347361.6804506304,383940.0,-45036.64951363311,-11.730126976515368
South,2018,447082.32550684066,447720.80271866784,448661.5064872079,449598.81637713406,450419.1880286502,451265.6098226167,452048.8172021802,457425.0,-7826.183622865938,-1.7109217080102612
South,2019,422312.7704371003,423316.26824270224,425138.00018655206,427374.10569652927,429090.0741480004,430992.52023360686,431986.8957607184,446946.0,-19571.894303470734,-4.379028854374071
South,2020,400099.3338256593,401464.68856310763,404380.20507774735,407208.4867523996,410207.0693417312,413927.9724552281,414895.73659158597,437371.0,-30162.513247600407,-6.89632217216057
South,2021,380399.0635605666,382138.00818104896,385137.64992262924,389418.3899236028,393353.78043453384,397867.19464259665,399163.4184961307,433474.0,-44055.61007639719,-10.16338005887255
West,2018,493383.04797624086,494207.2777075846,494888.71733861323,496068.94456952834,497024.4765100396,497879.0929502272,498284.4525501259,504209.0,-8140.055430471664,-1.614420891033612
West,2019,468791.14595504734,470180.81905065407,472163.02002639516,473913.97115564335,475539.516568898,477038.50407813245,478653.7619704359,493972.0,-20058.028844356653,-4.060559878769779
West,2020,445956.13792264106,448177.9589976422,451090.74533827935,453826.00066460314,456715.25258750917,459966.72527490015,460955.90548038605,484428.0,-30601.99933539686,-6.317140903374053
West,2021,425585.68668353907,428346.2268684702,431342.38400071114,435585.18611739535,439472.06365438626,442843.8372722698,444773.8685387564,498527.0,-62941.81388260465,-12.625557669415027
