region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Central Mountains,2030,339300.9549862035,341387.3041762358,346046.966639755,350925.69941587886,355192.82633349317,359585.8875157922,361452.41068529023,baseline,350925.69941587886,0.0,0.0
East,2030,490905.11065375915,492806.23018831003,497119.84020848916,504089.95392130024,510335.39129351475,515042.5487418286,517949.39568707277,baseline,504089.95392130024,0.0,0.0
Metro,2030,818855.2416989238,831955.9232969035,851637.5392641017,872654.0384943262,896139.8747461222,918585.6078152696,930113.6718965198,baseline,872654.0384943262,0.0,0.0
North,2030,323015.0308966792,325794.69253692694,330627.80578169064,335487.2392543479,340839.1010519401,345577.3106536888,348051.43762360513,baseline,335487.2392543479,0.0,0.0
South,2030,353831.6578379673,356988.6352336073,361373.91203115537,368745.11508925306,373692.6141740321,380764.5943529173,385015.1485099267,baseline,368745.11508925306,0.0,0.0
West,2030,419819.0821811741,423161.5757584338,427471.28436148755,432700.03338873613,438406.3917300354,444637.2098949445,449397.4751634851,baseline,432700.03338873613,0.0,0.0
Central Mountains,2030,331606.94383454794,333669.768028652,338236.08235954156,343021.20549981785,347215.39786762383,351523.65337687836,353358.66062723316,hurricane_cat1,350925.69941587886,-7904.493916061008,-2.2524693771981243
East,2030,478224.29888715514,480087.4072343039,484307.1984983589,491132.57085404196,497235.121095057,501859.8761718825,504695.34412833204,hurricane_cat1,504089.95392130024,-12957.383067258284,-2.5704505647183007
Metro,2030,801045.704420977,813914.5831055942,833248.7158146176,853922.8049181867,876986.4919271481,899020.5238100466,910390.475714196,hurricane_cat1,872654.0384943262,-18731.233576139435,-2.146467299739795
North,2030,316383.19448605285,319117.233163102,323865.01349805173,328645.42127787916,333910.84145149763,338569.57959131786,341002.9505377871,hurricane_cat1,335487.2392543479,-6841.817976468767,-2.0393675752542344
South,2030,345423.9835549904,348525.5139247109,352818.12676366785,360040.0681096117,364904.95299545745,371828.8171562483,376005.2937404533,hurricane_cat1,368745.11508925306,-8705.046979641367,-2.360721979336418
West,2030,410757.9912193065,414035.7631662231,418281.745493337,423415.31486146944,429021.8444686963,435142.4916195517,439818.2423366362,hurricane_cat1,432700.03338873613,-9284.718527266697,-2.1457633027093714
Central Mountains,2030,324052.1614838199,326091.496057196,330565.9396623274,335258.82521608064,339381.12872627296,343605.66682260676,345409.58742613427,hurricane_cat2,350925.69941587886,-15666.874199798214,-4.46444196759484
East,2030,465805.1603995617,467631.5744783001,471758.3146414692,478441.19153814693,484403.43589009217,488946.7632425685,491712.16381036944,hurricane_cat2,504089.95392130024,-25648.762383153313,-5.088132025570512
Metro,2030,783545.2509024043,796185.4131187144,815176.7607491774,835512.490400387,858159.8122072463,879787.9414792929,891001.0944702175,hurricane_cat2,872654.0384943262,-37141.5480939392,-4.256159538094051
North,2030,309860.0003936657,312548.9577589824,317212.57046896557,321914.9402219134,327094.95579113456,331675.2152527317,334068.3541130747,hurricane_cat2,335487.2392543479,-13572.29903243453,-4.045548517016697
South,2030,337175.81792083493,340222.58817098127,344425.39904586086,351499.07433239615,356282.29312636156,363060.452772694,367163.7588696767,hurricane_cat2,368745.11508925306,-17246.040756856906,-4.676954365261919
West,2030,401852.9800604895,405066.99836244783,409249.86818179145,414290.62012645364,419797.6330180145,425809.55297970324,430401.97446586704,hurricane_cat2,432700.03338873613,-18409.413262282498,-4.254543989309922
Central Mountains,2030,313497.4020949792,315503.2498515642,319848.9781744576,324412.44801520044,328433.616584401,332540.6593955838,334300.90596196655,hurricane_cat3,350925.69941587886,-26513.25140067842,-7.55523218869696
East,2030,448509.4502548309,450284.3055029237,454281.8019531877,460763.9891290092,466530.2060039024,470958.8886295931,473626.4355713018,hurricane_cat3,504089.95392130024,-43325.96479229105,-8.59488757021633
Metro,2030,759072.8221207617,771391.5455954636,789901.2619411261,809760.5895952638,831823.0284467342,852881.2415979834,863872.6728475846,hurricane_cat3,872654.0384943262,-62893.44889906235,-7.207145801740453
North,2030,300726.976172741,303352.4635846183,307897.83575266105,312490.4185679506,317550.21035516995,322020.06339533674,324356.6269983452,hurricane_cat3,335487.2392543479,-22996.820686397317,-6.854752728452482
South,2030,325664.9375687003,328634.6613519691,332712.5495014029,339577.654920873,344245.8420113181,350819.97959924827,354820.3180198857,hurricane_cat3,368745.11508925306,-29167.460168380057,-7.9099244911543325
West,2030,389398.3026473357,392522.90302816575,396616.6729712918,401527.0396404426,406894.262368962,412753.3379862435,417228.7494751874,hurricane_cat3,432700.03338873613,-31172.99374829355,-7.204296589523913
Central Mountains,2030,299181.3050031419,301140.4301153656,305310.86827366403,309697.7348647603,313578.166477356,317527.01187670615,319227.54518092785,hurricane_cat4,350925.69941587886,-41227.96455111855,-11.748345766566292
East,2030,425156.6406540844,426860.99950672965,430687.30504852335,436891.53685875965,442391.8585799892,446663.3341385992,449198.2361435094,hurricane_cat4,504089.95392130024,-67198.4170625406,-13.330640005777973
Metro,2030,725835.38156041,737714.4248299389,755565.5675512922,774771.5580185973,796034.4998085694,816314.1972070117,826999.7134739665,hurricane_cat4,872654.0384943262,-97882.48047572887,-11.216642123677662
