feature_raw,importance_mean,importance_std,feature,base_driver,lag,driver_label,plot_label
lag_total_crime_rate_lag0,0.0002906302119070059,0.0003185783425835615,lag_total_crime_rate_lag0,lag_total_crime_rate,0,Crime,Crime (lag 0)
lag_total_crime_rate_lag1,0.0003192165915888778,0.0004592883998826513,lag_total_crime_rate_lag1,lag_total_crime_rate,1,Crime,Crime (lag 1)
lag_total_crime_rate_lag2,0.00422568396755133,0.0021679782453640616,lag_total_crime_rate_lag2,lag_total_crime_rate,2,Crime,Crime (lag 2)
lag_total_crime_rate_lag3,0.004219841304354988,0.0016695219396252877,lag_total_crime_rate_lag3,lag_total_crime_rate,3,Crime,Crime (lag 3)
establishment_growth_lag0,0.0027610048561526267,0.0017994131115208435,establishment_growth_lag0,establishment_growth,0,Establishment growth,Establishment growth (lag 0)
establishment_growth_lag1,0.0022288391570666867,0.002156861042792079,establishment_growth_lag1,establishment_growth,1,Establishment growth,Establishment growth (lag 1)
establishment_growth_lag2,-0.0009324354857528583,0.0014462253063287412,establishment_growth_lag2,establishment_growth,2,Establishment growth,Establishment growth (lag 2)
establishment_growth_lag3,-0.0007307201052979661,0.0013868874771704595,establishment_growth_lag3,establishment_growth,3,Establishment growth,Establishment growth (lag 3)
income_growth_lag0,0.0017133723678662283,0.0011742912441798303,income_growth_lag0,income_growth,0,Income growth,Income growth (lag 0)
income_growth_lag1,0.0004428124460192584,0.0017917467747948638,income_growth_lag1,income_growth,1,Income growth,Income growth (lag 1)
income_growth_lag2,0.0014899731529092186,0.0006427873382798707,income_growth_lag2,income_growth,2,Income growth,Income growth (lag 2)
income_growth_lag3,0.00234006699772753,0.0008160970728366409,income_growth_lag3,income_growth,3,Income growth,Income growth (lag 3)
svi_pca_1_lag0,0.003316838014326251,0.0016588164807024197,svi_pca_1_lag0,svi_pca_1,0,SVI,SVI (lag 0)
svi_pca_1_lag1,0.002600668064471601,0.0009706425025654447,svi_pca_1_lag1,svi_pca_1,1,SVI,SVI (lag 1)
svi_pca_1_lag2,0.0035844357836042895,0.000938895783029406,svi_pca_1_lag2,svi_pca_1,2,SVI,SVI (lag 2)
svi_pca_1_lag3,0.002783150322554229,0.0010898151684450908,svi_pca_1_lag3,svi_pca_1,3,SVI,SVI (lag 3)
seismic_3yr_sum_lag0,0.004613792433315278,0.002633840328850675,seismic_3yr_sum_lag0,seismic_3yr_sum,0,Seismic exposure,Seismic exposure (lag 0)
seismic_3yr_sum_lag1,0.012753602917197937,0.005241830827405123,seismic_3yr_sum_lag1,seismic_3yr_sum,1,Seismic exposure,Seismic exposure (lag 1)
seismic_3yr_sum_lag2,0.0019575085221879007,0.0031864493509004607,seismic_3yr_sum_lag2,seismic_3yr_sum,2,Seismic exposure,Seismic exposure (lag 2)
seismic_3yr_sum_lag3,0.0006305755654293033,0.00030730059198324074,seismic_3yr_sum_lag3,seismic_3yr_sum,3,Seismic exposure,Seismic exposure (lag 3)
wind_3yr_sum_lag0,-0.005830523916810859,0.001701626824260925,wind_3yr_sum_lag0,wind_3yr_sum,0,Wind exposure,Wind exposure (lag 0)
wind_3yr_sum_lag1,0.10963017320513743,0.0283874879235496,wind_3yr_sum_lag1,wind_3yr_sum,1,Wind exposure,Wind exposure (lag 1)
wind_3yr_sum_lag2,7.755417564718759e-05,6.537025761665382e-05,wind_3yr_sum_lag2,wind_3yr_sum,2,Wind exposure,Wind exposure (lag 2)
wind_3yr_sum_lag3,-8.287841966215792e-05,6.185095326853628e-05,wind_3yr_sum_lag3,wind_3yr_sum,3,Wind exposure,Wind exposure (lag 3)
