scenario,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,2856361.5501794433,2976181.473135134,-119819.92295569088,-4.025961589952093
hurricane_cat4,2898855.8492821148,2976181.473135134,-77325.62385301944,-2.598148820930734
earthquake_m7_2,2921057.883881671,2976181.473135134,-55123.58925346332,-1.8521582017441858
earthquake_m7_5,2921057.883881671,2976181.473135134,-55123.58925346332,-1.8521582017441858
hurricane_cat3,2929522.8622289905,2976181.473135134,-46658.61090614367,-1.5677340688836796
earthquake_m6_8,2933790.8321402017,2976181.473135134,-42390.6409949325,-1.4243298460653964
earthquake_m6_5,2946532.2850556225,2976181.473135134,-29649.188079511747,-0.9962157330506815
hurricane_cat2,2950574.8041665796,2976181.473135134,-25606.668968554586,-0.8603866800360231
earthquake_m6_0,2958470.648820414,2976181.473135134,-17710.824314719997,-0.5950854971240469
hurricane_cat1,2962357.3285586596,2976181.473135134,-13824.144576474559,-0.4644926628722035
