region,year,p05,p10,p25,p50,p75,p90,p95,observed_population
Central Mountains,2018,400664.4488543357,400827.52069018583,401255.24428234756,402061.33846247767,402796.19817880023,403490.20709757094,403859.50843741087,404200.0
Central Mountains,2019,393072.19210040604,393444.21610025817,394292.2429367986,395216.2380344309,396087.51542593865,397067.2817250336,397508.42384191405,396616.0
Central Mountains,2020,390725.9380863139,391098.83537669363,391899.86983144237,392803.52973642026,393928.17535793566,394905.8408276687,395512.22660897346,389848.0
Central Mountains,2021,386219.8055184678,386833.2264417786,387568.03053313924,388545.80613744294,389797.0843196972,390900.9452592211,391407.87474455603,400440.0
East,2018,600064.0909912557,600818.7275022563,602202.6603450263,603021.4631024308,604234.5643270212,605051.2303912847,605383.2780348782,613537.0
East,2019,584523.3175990273,585595.8842382544,587160.4437457349,588516.4390769964,589828.1151685352,590992.0074032951,591575.6063743664,603974.0
East,2020,576841.3358823115,578009.3503055781,579803.4777568334,581332.1714639064,582859.6302794812,584215.9937501289,585006.0601587131,595309.0
East,2021,569129.3579737041,569786.934995036,571686.937218837,573310.2236080007,575074.0815634573,576658.7936941909,577332.955203622,582876.0
Metro,2018,1019409.2079319389,1021989.1710758702,1025104.9088157068,1026846.5523250529,1030233.4796154171,1033557.5994414377,1035127.333623444,1019476.0
Metro,2019,1003299.1386312308,1004540.6042949345,1008550.5215118753,1012932.3618202873,1017099.2056104098,1020851.7531211267,1023759.5473303344,995659.0
Metro,2020,994514.297801651,997007.1691887289,1000898.6812704079,1004572.3170959834,1008546.9610411648,1013767.6796888673,1016101.5329008767,973505.0
Metro,2021,984230.1151407027,986202.4509466809,989494.6078181887,993581.8740197958,999246.5606553472,1003383.8014831308,1005347.305868746,1012017.0
North,2018,385207.91411978233,386042.9447098169,387147.1514874323,387800.458302264,388402.8083849304,389158.51920174196,389601.74488983914,388094.0
North,2019,379174.8389741778,380008.41848105006,380996.48168197274,382156.2160081099,383378.16527596477,384127.85533616843,384549.2784493628,381280.0
North,2020,377760.36176929827,378143.5485185947,379028.17916801455,380218.41015174345,381283.7889482596,382095.30228233663,382769.9733533424,375181.0
North,2021,373105.8278943713,373527.5203334042,374605.29177300725,376086.40526292485,377263.5516870611,378431.362836325,379239.67408460117,383940.0
South,2018,448323.1105300614,448855.76445978036,449660.6174193106,450500.2814379075,451214.51414141234,451951.61194037367,452643.880019096,457425.0
South,2019,432451.38714540505,432774.1606247622,433824.7625899327,435328.30403115205,436455.8425636976,437678.56056132744,438000.42889662186,446946.0
South,2020,421586.0049288233,422232.2177209902,423583.7384393231,424881.94595464016,426533.8571389493,428263.1378078039,428777.0549019372,437371.0
South,2021,411689.8835299622,412487.0194036567,413464.4499915596,415142.84614356334,416702.0106888026,418779.72696574876,419083.9866574136,433474.0
West,2018,501707.7330960554,502494.78740613157,502959.07269769907,504069.3751602437,505018.55814883363,505644.5210662737,505979.7994398706,504209.0
West,2019,493606.55820267054,494209.8457198935,495427.9484389698,496440.31943760253,497325.7472298959,498670.115342815,499128.79590741685,493972.0
West,2020,489669.208577303,490169.4935469447,491392.57706771774,492656.55120770505,494145.62220395764,495494.8917319734,496077.2751826117,484428.0
West,2021,483402.41218055255,484094.4201644174,485449.116806924,486782.1580090092,488278.0539690433,489631.0434432728,490073.4900998123,498527.0
