municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Adjuntas,Central Mountains,2030,16187.343358349837,16358.363258307876,16566.48649850246,16752.12993968087,17014.822694148726,17189.577528026755,17271.661954060786,baseline,16752.12993968087,0.0,0.0
Aguada,West,2030,33762.54343994698,34108.71895176309,34592.23038785329,35027.66433438162,35499.10572794058,35884.853965287926,36258.270237571705,baseline,35027.66433438162,0.0,0.0
Aguadilla,West,2030,47153.04624342002,48020.02217798029,49317.68618008419,50353.559995488686,51432.82003340537,52840.36813889941,53490.82012675904,baseline,50353.559995488686,0.0,0.0
Aguas Buenas,Central Mountains,2030,21450.863807945432,21564.09220574757,21865.35845276004,22065.92335107903,22296.089092814815,22480.84089916768,22654.983668089448,baseline,22065.92335107903,0.0,0.0
Aibonito,Central Mountains,2030,21249.693944995146,21458.510044778825,22102.23739752736,22836.25584072363,23524.75308224081,24093.29402966685,24568.867258570786,baseline,22836.25584072363,0.0,0.0
Arecibo,North,2030,76787.25705987719,77562.69811730017,79175.088904721,80613.46736062085,82295.51095792421,83709.33794488157,84545.76459685032,baseline,80613.46736062085,0.0,0.0
Arroyo,South,2030,13100.952552889026,13243.166122650278,13492.919458919729,13795.982790661492,14114.934197963305,14442.303938566261,14563.067847610173,baseline,13795.982790661492,0.0,0.0
Añasco,West,2030,22882.54124482782,22998.12697900132,23186.93064416576,23431.57115298224,23718.225981693806,23922.482878903196,24082.167709353376,baseline,23431.57115298224,0.0,0.0
Barceloneta,North,2030,20230.94395857611,20383.43462338491,20656.081682266486,20906.053004419417,21233.371497046996,21500.10947502369,21732.548770786616,baseline,20906.053004419417,0.0,0.0
Barranquitas,Central Mountains,2030,25887.123216472548,26138.48425314007,26562.92823586651,27064.374415862494,27459.18708127877,27810.597290780195,28120.19218910602,baseline,27064.374415862494,0.0,0.0
Bayamón,Metro,2030,159157.75782041508,160498.6361130855,163343.73826264607,168063.60415505752,173106.60693692364,176281.41343128576,177650.43185711434,baseline,168063.60415505752,0.0,0.0
Cabo Rojo,West,2030,42587.86012521223,42852.23198980234,43241.0583871765,43713.014085487615,44132.400951965836,44400.46848127965,44639.79955640419,baseline,43713.014085487615,0.0,0.0
Caguas,East,2030,109160.89682740803,110020.1861396493,111304.28339008053,112886.93674952965,114175.85652605417,115219.89342820385,115856.20931226104,baseline,112886.93674952965,0.0,0.0
Camuy,North,2030,29039.40958309886,29269.211967611067,29852.33464302836,30445.606141029875,31149.37086971281,31675.118468064342,32008.627185420653,baseline,30445.606141029875,0.0,0.0
Canóvanas,East,2030,35594.88755356167,36060.95568703846,36711.10661991274,37369.04736800298,37986.01206420906,38640.99933404064,38894.5620384264,baseline,37369.04736800298,0.0,0.0
Carolina,Metro,2030,134887.18618326378,135763.23001069075,137322.4786728126,139558.14449020842,142563.18342966086,144848.81718805962,146219.5752026097,baseline,139558.14449020842,0.0,0.0
Cataño,Metro,2030,20256.27502916529,20410.63342514009,20596.443086359894,20838.772652308602,21043.887061813068,21193.11104459486,21327.436398521597,baseline,20838.772652308602,0.0,0.0
Cayey,Central Mountains,2030,37161.20683843026,37362.725933978545,37677.15120570032,38090.46173021385,38485.85239010651,38798.210580852625,39039.33120232204,baseline,38090.46173021385,0.0,0.0
Ceiba,East,2030,9547.044567302062,9618.597609674385,9745.721018719945,9919.600237075274,10048.34947753557,10230.733485139308,10302.298940562903,baseline,9919.600237075274,0.0,0.0
Ciales,Central Mountains,2030,14990.353277530778,15096.281243353276,15329.843794639653,15653.090050125733,15994.788577541267,16216.633435334054,16503.426982193603,baseline,15653.090050125733,0.0,0.0
Cidra,Central Mountains,2030,35473.81331315132,35791.447152556226,36300.289369058184,36806.26881161335,37416.03777465936,37836.15595067602,38164.8478548817,baseline,36806.26881161335,0.0,0.0
Coamo,South,2030,29066.405036954533,29463.430012761077,30174.474141529794,31107.907002258602,31829.11536594382,32668.64577496561,32993.23638600813,baseline,31107.907002258602,0.0,0.0
Comerío,Central Mountains,2030,16981.3746898325,17069.93220776688,17219.479508352088,17439.786168247112,17567.827026993913,17747.989517572223,17855.965745734204,baseline,17439.786168247112,0.0,0.0
Corozal,Central Mountains,2030,30522.707399007217,30824.684568052744,31399.833150760423,32063.87806465641,32552.693476432065,33083.678547614414,33328.49948835582,baseline,32063.87806465641,0.0,0.0
Culebra,East,2030,1043.3812040739213,1071.9772327507349,1116.170823496795,1173.6159986412554,1242.4701993426277,1293.4239091596064,1335.838773424607,baseline,1173.6159986412554,0.0,0.0
Dorado,North,2030,32262.119040869187,32667.347066244693,32969.39511078437,33318.49198903461,33594.72849967402,33919.69718017674,34193.886608261215,baseline,33318.49198903461,0.0,0.0
Fajardo,East,2030,26295.887550494816,26596.331728722365,27210.668683659977,28138.509392496737,28916.212435009722,29508.350363415273,30066.426449874572,baseline,28138.509392496737,0.0,0.0
Florida,North,2030,10385.431245107582,10457.697605491672,10590.652420112878,10724.827001171994,10853.832871509218,10953.282640950045,11033.574234462509,baseline,10724.827001171994,0.0,0.0
Guayama,South,2030,30340.170813273784,30492.161083487572,31375.392930344082,32013.530089397987,32650.42396986423,33299.24252130928,33770.229270368305,baseline,32013.530089397987,0.0,0.0
Guayanilla,South,2030,15375.310794749541,15473.885908958337,15660.895711447429,15814.800062158916,16032.696240955447,16305.303848075617,16380.547578228185,baseline,15814.800062158916,0.0,0.0
Guaynabo,Metro,2030,78299.64835530915,78956.05679168305,80750.45132912624,82106.00676613805,83923.50990624612,85805.69926720258,86772.97740825353,baseline,82106.00676613805,0.0,0.0
Gurabo,East,2030,32666.49065915266,33276.5458303655,34530.26939607197,35780.004366873814,37145.30750658689,38089.273860248926,39444.78927464918,baseline,35780.004366873814,0.0,0.0
Guánica,West,2030,10626.057878845495,10762.140259341279,11017.221462414307,11278.016233257078,11542.041360885933,11785.212562936615,11963.82350809203,baseline,11278.016233257078,0.0,0.0
Hatillo,North,2030,34490.129451972636,34777.784707368264,35186.89725097723,35633.853799640674,36032.80887679775,36410.84489531135,36663.58219997239,baseline,35633.853799640674,0.0,0.0
Hormigueros,West,2030,14120.33603421107,14163.184904388982,14303.949458036026,14413.154947967112,14559.817065964004,14705.215643816242,14788.189650921917,baseline,14413.154947967112,0.0,0.0
