scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_0,San Juan,Metro,308110.153092338,309872.0121047741,-1761.8590124361217,-0.5685763617271768
earthquake_m6_0,Ponce,South,120546.42614300406,121505.66019451046,-959.2340515063988,-0.789456268926751
earthquake_m6_0,Bayamón,Metro,167229.9417680601,168063.60415505752,-833.6623869974283,-0.4960398125392344
earthquake_m6_0,Carolina,Metro,138802.7498148731,139558.14449020842,-755.394675335323,-0.5412759521092103
earthquake_m6_0,Caguas,East,112191.95589593319,112886.93674952965,-694.9808535964548,-0.615643291958979
earthquake_m6_0,Guaynabo,Metro,81680.3301755456,82106.00676613805,-425.67659059244033,-0.5184475623140362
earthquake_m6_0,Mayagüez,West,66321.50713236112,66714.18801079149,-392.6808784303721,-0.5886017504505237
earthquake_m6_0,Trujillo Alto,Metro,61322.796446077286,61689.74417618965,-366.9477301123625,-0.5948277708274126
earthquake_m6_0,Juana Díaz,South,42033.94810256376,42400.00791388366,-366.0598113199012,-0.8633484504611068
earthquake_m6_0,Arecibo,North,80275.85082432162,80613.46736062085,-337.6165362992324,-0.4188090989671979
earthquake_m6_0,Toa Alta,Metro,60902.34946870353,61237.793324372935,-335.44385566940764,-0.5477726048889149
earthquake_m6_0,Toa Baja,Metro,67691.75560607735,68004.46401358768,-312.7084075103339,-0.4598351182473153
earthquake_m6_0,Isabela,West,39456.91908153563,39732.63219319399,-275.7131116583623,-0.693921083098015
earthquake_m6_0,San Sebastián,West,36125.28319777679,36400.003665518205,-274.720467741412,-0.7547264837274048
earthquake_m6_0,Coamo,South,30836.06746410651,31107.907002258602,-271.83953815209316,-0.8738599422081214
earthquake_m6_0,Humacao,East,44796.06735820965,45064.33021830673,-268.2628600970784,-0.5952886879656774
earthquake_m6_0,Guayama,South,31746.90382248162,32013.530089397987,-266.62626691636615,-0.8328549403074593
earthquake_m6_0,Vega Baja,North,49624.94814341098,49885.26592075094,-260.3177773399657,-0.5218329952445546
earthquake_m6_0,Gurabo,East,35520.51655022513,35780.004366873814,-259.4878166486815,-0.7252313722156025
earthquake_m6_0,Cabo Rojo,West,43456.504773692046,43713.014085487615,-256.5093117955694,-0.5868030772115723
earthquake_m6_0,Río Grande,East,41056.12277368376,41308.94515148988,-252.82237780612195,-0.6120281621304083
earthquake_m6_0,Yauco,South,30147.64396978489,30387.66431078514,-240.02034100025048,-0.7898611046425928
earthquake_m6_0,Canóvanas,East,37141.45105244262,37369.04736800298,-227.59631556036038,-0.6090503547469029
earthquake_m6_0,Moca,West,34393.508548627,34620.348555556455,-226.8400069294512,-0.6552216150147457
earthquake_m6_0,Aguadilla,West,50130.23780054618,50353.559995488686,-223.32219494250603,-0.44350825435682023
earthquake_m6_0,Aguada,West,34816.042866370706,35027.66433438162,-211.62146801091149,-0.6041552356752292
earthquake_m6_0,Juncos,East,32709.84607359585,32918.6609916224,-208.81491802654637,-0.6343360019403235
earthquake_m6_0,San Lorenzo,East,33296.94739574166,33496.94457585037,-199.99718010870856,-0.597060963742038
earthquake_m6_0,Las Piedras,East,31005.38212004653,31198.371167160032,-192.98904711350042,-0.6185869322455019
earthquake_m6_0,Cayey,Central Mountains,37901.17428998789,38090.46173021385,-189.2874402259622,-0.4969418369528898
earthquake_m6_0,Salinas,South,22708.78157694389,22894.06764114357,-185.28606419968128,-0.8093191087926136
earthquake_m6_0,Fajardo,East,27954.73428582937,28138.509392496737,-183.77510666736634,-0.6531088911069711
earthquake_m6_0,Naranjito,Central Mountains,26903.343784603956,27085.49973741303,-182.15595280907291,-0.6725220305145858
earthquake_m6_0,Cidra,Central Mountains,36628.67272874014,36806.26881161335,-177.59608287321316,-0.48251585560657784
earthquake_m6_0,Corozal,Central Mountains,31889.35319121797,32063.87806465641,-174.52487343843677,-0.5443036961608623
earthquake_m6_0,Villalba,South,19582.758687895963,19750.83868037527,-168.07999247930638,-0.8510017989581029
earthquake_m6_0,San Germán,West,29248.122244864535,29415.147182065637,-167.02493720110215,-0.5678194848636928
earthquake_m6_0,Dorado,North,33154.39391810683,33318.49198903461,-164.0980709277792,-0.4925134996559425
earthquake_m6_0,Hatillo,North,35471.646526114695,35633.853799640674,-162.20727352597896,-0.45520553134113895
earthquake_m6_0,Yabucoa,East,26200.498585393405,26358.465341298423,-157.96675590501764,-0.5993017949247427
earthquake_m6_0,Lares,Central Mountains,25852.08628664857,26009.43141476871,-157.34512812014145,-0.6049541245672811
earthquake_m6_0,Manatí,North,36212.521732707086,36366.04527654721,-153.52354384012142,-0.42216177940890964
earthquake_m6_0,Santa Isabel,South,18012.80231926698,18165.33097350825,-152.5286542412723,-0.8396690072078252
earthquake_m6_0,Peñuelas,South,18085.809852410024,18238.229503599166,-152.41965118914231,-0.8357151726765119
earthquake_m6_0,Barranquitas,Central Mountains,26926.201703387866,27064.374415862494,-138.1727124746285,-0.5105335536359014
earthquake_m6_0,Morovis,Central Mountains,26433.22002375355,26564.542813439253,-131.32278968570245,-0.49435366009485776
earthquake_m6_0,Sabana Grande,West,21006.078419379228,21137.31049099842,-131.23207161919345,-0.6208551067794562
earthquake_m6_0,Lajas,West,21514.23011456416,21645.391562267323,-131.16144770316168,-0.6059555325014537
earthquake_m6_0,Aibonito,Central Mountains,22705.152008591656,22836.25584072363,-131.103832131972,-0.57410388570869
earthquake_m6_0,Utuado,Central Mountains,25818.28184818238,25947.139012428008,-128.85716424562634,-0.4966141515020484
earthquake_m6_0,Añasco,West,23305.096122119197,23431.57115298224,-126.47503086304278,-0.5397633391175553
earthquake_m6_0,Naguabo,East,20602.3685413443,20726.763292884396,-124.39475154009415,-0.6001648679164465
earthquake_m6_0,Aguas Buenas,Central Mountains,21942.66740871748,22065.92335107903,-123.25594236154939,-0.558580488115047
earthquake_m6_0,Vega Alta,North,32441.526926988845,32563.298626085714,-121.77169909686927,-0.3739538198974742
earthquake_m6_0,Arroyo,South,13676.597965093035,13795.982790661492,-119.38482556845702,-0.8653593395989786
earthquake_m6_0,Loíza,East,20291.36448033621,20409.75482053809,-118.39034020188046,-0.5800674297309328
earthquake_m6_0,Guayanilla,South,15697.002469397132,15814.800062158916,-117.79759276178447,-0.7448566677971877
earthquake_m6_0,Patillas,South,13894.873456266148,14005.914380625578,-111.04092435942948,-0.7928145306459442
earthquake_m6_0,Orocovis,Central Mountains,19592.7776815065,19695.71791124165,-102.94022973514802,-0.5226528436234011
earthquake_m6_0,Barceloneta,North,20806.566215002793,20906.053004419417,-99.48678941662365,-0.47587552464156063
earthquake_m6_0,Cataño,Metro,20740.217868523134,20838.772652308602,-98.55478378546832,-0.47293948367227867
earthquake_m6_0,Luquillo,East,15611.921575074979,15710.201098535366,-98.27952346038728,-0.6255777557777392
earthquake_m6_0,Guánica,West,11182.42074805294,11278.016233257078,-95.59548520413773,-0.8476267743102004
earthquake_m6_0,Camuy,North,30353.067991610405,30445.606141029875,-92.53814941946985,-0.30394582716079105
earthquake_m6_0,Comerío,Central Mountains,17348.909267737894,17439.786168247112,-90.8769005092181,-0.5210895341978394
earthquake_m6_0,Rincón,West,14147.45318938349,14236.207086822731,-88.75389743924097,-0.6234378082445362
