region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Central Mountains,2030,364139.81990149146,364495.05590985954,365478.8284168934,366731.7182364984,367834.408058196,369212.9126707564,369605.93543556466,baseline,366731.7182364984,0.0,0.0
East,2030,506603.2982033742,507649.4436599887,509370.0395988069,511319.66344207566,512988.6921788227,514536.198027443,515880.5897664974,baseline,511319.66344207566,0.0,0.0
Metro,2030,907810.5700737584,911817.6201497512,916670.1977260126,921805.4782085718,928761.231794632,934483.4921211979,937832.2907106909,baseline,921805.4782085718,0.0,0.0
North,2030,348444.1444515402,349090.0612350447,350780.7280392853,351939.0608739915,353527.0200439204,354591.5336682007,355341.6869298572,baseline,351939.0608739915,0.0,0.0
South,2030,377926.66186760686,378584.75729485037,379655.0916272452,381348.17132198333,383112.52765994513,384462.1700805056,385546.7287943931,baseline,381348.17132198333,0.0,0.0
West,2030,450763.0489234674,451523.2427103216,452757.63415020244,454340.50356000906,455774.8543355252,457180.00738737243,458107.32868416095,baseline,454340.50356000906,0.0,0.0
Central Mountains,2030,362529.0704239463,363118.57328001317,364049.89839717175,365323.0822541709,366428.39288396086,367767.97848159954,368183.1498457672,hurricane_cat1,366731.7182364984,-1408.6359823275125,-0.38410530430834167
East,2030,503669.0876033288,504687.86128934106,506325.4009166728,508264.07068781735,509912.2423960917,511398.71636059514,512570.2596407971,hurricane_cat1,511319.66344207566,-3055.5927542583086,-0.5975895262249108
Metro,2030,904261.1122110337,908563.7529197058,913152.4268878568,918439.6728291343,925044.7595760376,930293.6990524125,933895.5746434387,hurricane_cat1,921805.4782085718,-3365.8053794375155,-0.36513184820495864
North,2030,347192.9580995543,347766.7082329562,349646.8351515058,350660.64178742404,352232.237163811,353310.74475194,354024.8290139554,hurricane_cat1,351939.0608739915,-1278.4190865674755,-0.363250127278484
South,2030,376103.01387064485,376685.1353600431,377987.2421986105,379612.1140919145,381384.8922749832,382497.41250132234,383613.9830847612,hurricane_cat1,381348.17132198333,-1736.0572300688364,-0.4552420492933301
West,2030,449049.5822447779,449744.50583912473,450983.86816682504,452744.3650100897,454289.9942987184,455715.17216600385,456559.30364965874,hurricane_cat1,454340.50356000906,-1596.1385499193566,-0.3513088834063282
Central Mountains,2030,361122.7039813575,361850.2145347537,362706.89950204577,363886.454887432,364981.50211986573,366189.15888582537,366961.9991565706,hurricane_cat2,366731.7182364984,-2845.2633490664302,-0.7758432684111531
East,2030,500508.6880906649,501583.3101647091,503252.4244468219,505091.782988627,506827.4226723945,508372.5458235799,509297.02647857345,hurricane_cat2,511319.66344207566,-6227.880453448684,-1.218001359760772
Metro,2030,900647.5521264117,904475.706256605,909443.0443726731,914915.1228877133,920765.0994284835,926496.810201359,930267.9871677463,hurricane_cat2,921805.4782085718,-6890.355320858536,-0.7474847442053815
North,2030,346076.7592116932,346460.09654715395,348356.2578571867,349384.23499360774,351077.1243912702,352122.99608230096,352722.0224120931,hurricane_cat2,351939.0608739915,-2554.8258803837816,-0.7259284814931393
South,2030,374328.0663856614,374961.42314113147,376222.0607680101,377816.0739343953,379494.1565811318,380676.8772543376,381893.81523879786,hurricane_cat2,381348.17132198333,-3532.097387588059,-0.9262132752187257
West,2030,447432.7804521029,448095.93105595617,449473.3346718363,451087.4582884922,452548.610530194,454069.3272273237,455198.70626197086,hurricane_cat2,454340.50356000906,-3253.045271516836,-0.7159927952774247
Central Mountains,2030,358998.34658022685,359655.71629558614,360686.1179905167,361754.4177665981,362972.8926370641,363870.75611166575,364551.0349802179,hurricane_cat3,366731.7182364984,-4977.300469900307,-1.3572047964202918
East,2030,495747.58504129044,496733.18988364725,498245.64956273534,500090.3635601754,501746.47883944697,503260.4693814317,504242.4851033788,hurricane_cat3,511319.66344207566,-11229.299881900253,-2.1961408263291546
Metro,2030,895024.8962364815,898996.0495834432,904621.5174068224,910123.8716100443,916034.9870919457,921434.6273545967,925616.0062778629,hurricane_cat3,921805.4782085718,-11681.60659852752,-1.2672528938783751
North,2030,344389.4893717201,344789.52709931997,346578.1169883728,347669.61309086345,349322.7590531098,350461.00714944565,351204.985911274,hurricane_cat3,351939.0608739915,-4269.447783128067,-1.2131213206415594
South,2030,370597.71988418617,371203.9054730311,372397.1669532835,373990.62354572007,375709.37743271136,377015.34050479403,377913.43361842,hurricane_cat3,381348.17132198333,-7357.547776263265,-1.9293517917648737
West,2030,444102.9793133126,445032.21122008073,446155.64595169394,447916.6979023692,449463.03651923744,450984.6161154018,452081.87649788556,hurricane_cat3,454340.50356000906,-6423.805657639867,-1.4138747497319295
Central Mountains,2030,355115.09114942973,355818.978052001,356765.9608845317,357948.95523957873,359152.3075955657,360006.46733983996,360612.9763418787,hurricane_cat4,366731.7182364984,-8782.762996919686,-2.3948741164667537
East,2030,487203.6952157809,488037.50380088476,489796.0278352983,491463.8885447319,493135.24922604987,494701.4965021704,495592.4407246266,hurricane_cat4,511319.66344207566,-19855.77489734377,-3.883241016721257
Metro,2030,885672.6891835746,888721.3041827423,894826.5600622479,900480.4075784427,906622.501335892,912291.5951427039,915362.268449625,hurricane_cat4,921805.4782085718,-21325.070630129077,-2.3134024622604783
North,2030,340940.4894152389,341644.9221177027,343081.5451268882,344521.18003076117,345989.41429087665,347060.4807086539,347954.1694316961,hurricane_cat4,351939.0608739915,-7417.880843230349,-2.107717405623882
South,2030,363742.5620498879,364390.0413071953,365485.04442668427,367132.15389709105,368794.91533209605,370198.8533794363,371107.15926852764,hurricane_cat4,381348.17132198333,-14216.017424892285,-3.7278315444940966
West,2030,439208.7719306724,440026.75453618844,441147.6250466703,443135.61794962303,444649.7408590356,445903.69937022263,447022.981008102,hurricane_cat4,454340.50356000906,-11204.88561038603,-2.466186818606212
Central Mountains,2030,349702.2467148813,350320.0514140199,351453.89254650235,352524.1435149087,353882.3606138759,354572.92196330323,355440.76506624336,hurricane_cat5_maria_like,366731.7182364984,-14207.574721589743,-3.8741057877157883
